EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
7e4a4851-06be-44e6-9a8e-08fb3db37334,False,"[(69, 35), (41, 41)]",90,90,69,41,41,41,41,41,41,41,41,69,41,82,"[49.0, 49.0]","[0.0, 1.0]",98.0,"[44.5115, 49.9618]","[0.1603, 0.8397]",94.4733,"[49.0, 49.0]","[-0.0, 1.0]",98.0,"[49.0, 49.0]","[0.0, 1.0]",98.0,0.7884615384615384,1.0
7e4a4851-06be-44e6-9a8e-08fb3db37334,False,"[(35, 69), (41, 41)]",90,90,35,41,41,41,41,41,41,41,41,35,41,82,"[49.0, 49.0]","[0.0, 1.0]",98.0,"[49.9618, 44.5115]","[0.1603, 0.8397]",94.4733,"[49.0, 49.0]","[-0.0, 1.0]",98.0,"[49.0, 49.0]","[0.0, 1.0]",98.0,0.7884615384615384,1.0
2a33977b-5cbf-4464-ac46-a7f6557e0a75,False,"[(36, 58), (45, 45)]",100,100,36,45,45,45,45,45,45,45,45,36,45,90,"[55.0047, 66.9932]","[0.0005, 0.9995]",121.9979,"[58.7819, 61.5373]","[0.4202, 0.5798]",120.3192,"[59.9091, 59.9091]","[0.5455, 0.4545]",119.8182,"[55.0, 67.0]","[0.0, 1.0]",122.0,0.9574468085106383,1.0
2a33977b-5cbf-4464-ac46-a7f6557e0a75,False,"[(58, 36), (45, 45)]",112,112,58,45,45,45,45,45,45,45,45,58,45,90,"[66.9932, 55.0047]","[0.0005, 0.9995]",121.9979,"[61.5373, 58.7819]","[0.4202, 0.5798]",120.3192,"[59.9091, 59.9091]","[0.5455, 0.4545]",119.8182,"[67.0, 55.0]","[0.0, 1.0]",122.0,0.9574468085106383,1.0
94f8141f-5273-461b-bf9b-d4cb5f3a4edf,False,"[(78, 112), (93, 93)]",144,144,78,93,93,93,93,78,78,93,78,93,93,176,"[59.0526, 74.8]","[0.5368, 0.4632]",133.8526,"[58.5623, 75.4211]","[0.5042, 0.4958]",133.9834,"[66.0, 66.0]","[1.0, 0.0]",132.0,"[51.0, 85.0]","[0.0, 1.0]",136.0,0.9263157894736842,0.946236559139785
94f8141f-5273-461b-bf9b-d4cb5f3a4edf,False,"[(112, 78), (93, 93)]",178,178,112,93,93,93,93,112,112,93,112,93,93,176,"[74.8, 59.0526]","[0.5368, 0.4632]",133.8526,"[75.4211, 58.5623]","[0.5042, 0.4958]",133.9834,"[66.0, 66.0]","[1.0, 0.0]",132.0,"[85.0, 51.0]","[0.0, 1.0]",136.0,0.9263157894736842,0.946236559139785
87341b86-dc7b-409f-b50b-0194a5213786,False,"[(99, 243), (108, 240)]",364,364,99,108,99,99,108,99,108,99,99,108,99,336,"[265.0, 287.0]","[1.0, 0.0]",552.0,"[262.8987, 287.7004]","[0.7665, 0.2335]",550.5991,"[265.0, 287.0]","[1.0, 0.0]",552.0,"[265.0, 287.0]","[1.0, 0.0]",552.0,0.9655172413793104,0.9824561403508771
87341b86-dc7b-409f-b50b-0194a5213786,False,"[(243, 99), (240, 108)]",530,530,243,240,243,243,240,243,240,243,243,240,243,336,"[287.0, 265.0]","[1.0, 0.0]",552.0,"[287.7004, 262.8987]","[0.7665, 0.2335]",550.5991,"[287.0, 265.0]","[1.0, 0.0]",552.0,"[287.0, 265.0]","[1.0, 0.0]",552.0,0.9655172413793104,0.9824561403508771
dc30d679-2562-4913-8c58-23165fa1d42f,True,"[(80, 24), (72, 28), (59, 37)]",100,100,80,59,59,59,59,72,59,72,72,80,59,96,"[34.2222, 23.6923]","[0.0, 0.5214, 0.4786]",57.914500000000004,"[32.1732, 25.1108]","[0.0, 0.679, 0.321]",57.284000000000006,"[28.0, 28.0]","[-0.0, 1.0, 0.0]",56.0,"[41.0, 19.0]","[0.0, 0.0, 1.0]",60.0,0.9230769230769231,1.0
dc30d679-2562-4913-8c58-23165fa1d42f,True,"[(24, 80), (28, 72), (37, 59)]",56,56,24,37,37,37,37,28,37,28,28,24,37,96,"[23.6923, 34.2222]","[0.0, 0.5214, 0.4786]",57.914500000000004,"[25.1108, 32.1732]","[0.0, 0.679, 0.321]",57.284000000000006,"[28.0, 28.0]","[-0.0, 1.0, 0.0]",56.0,"[19.0, 41.0]","[0.0, 0.0, 1.0]",60.0,0.9230769230769231,1.0
baca74d4-b47b-46c2-a6d8-b9399867a256,False,"[(75, 41), (65, 87)]",112,112,75,75,75,75,65,75,75,75,75,65,75,116,"[37.0, 71.0]","[1.0, 0.0]",108.0,"[39.4721, 59.6281]","[0.7528, 0.2472]",99.1002,"[43.0714, 43.0714]","[0.3929, 0.6071]",86.1428,"[37.0, 71.0]","[1.0, 0.0]",108.0,0.7631578947368421,1.0
baca74d4-b47b-46c2-a6d8-b9399867a256,False,"[(41, 75), (87, 65)]",112,112,41,41,41,41,87,41,41,41,41,87,41,116,"[71.0, 37.0]","[1.0, 0.0]",108.0,"[59.6281, 39.4721]","[0.7528, 0.2472]",99.1002,"[43.0714, 43.0714]","[0.3929, 0.6071]",86.1428,"[71.0, 37.0]","[1.0, 0.0]",108.0,0.7631578947368421,1.0
c7f9e058-5c80-4f1d-bc91-7df6a6a58f69,False,"[(100, 66), (76, 110)]",112,112,100,100,100,100,100,100,100,100,100,76,100,160,"[18.5455, 34.0]","[0.7273, 0.2727]",52.545500000000004,"[21.8571, 27.9286]","[0.5893, 0.4107]",49.7857,"[24.0, 24.0]","[0.5, 0.5]",48.0,"[12.0, 46.0]","[1.0, 0.0]",58.0,0.8602150537634409,0.963855421686747
c7f9e058-5c80-4f1d-bc91-7df6a6a58f69,False,"[(66, 100), (110, 76)]",112,112,66,66,66,66,66,66,66,66,66,110,66,160,"[34.0, 18.5455]","[0.7273, 0.2727]",52.545500000000004,"[27.9286, 21.8571]","[0.5893, 0.4107]",49.7857,"[24.0, 24.0]","[0.5, 0.5]",48.0,"[46.0, 12.0]","[1.0, 0.0]",58.0,0.8602150537634409,0.963855421686747
2357d444-ad19-47a7-921b-044ff21bbc37,False,"[(32, 66), (36, 58), (71, 49)]",100,100,32,36,36,36,36,36,36,36,36,71,36,92,"[64.0, 64.0]","[0.0, 1.0, 0.0]",128.0,"[60.4635, 64.9094]","[0.0, 0.899, 0.101]",125.37290000000002,"[64.0, 64.0]","[-0.0, 1.0, 0.0]",128.0,"[64.0, 64.0]","[0.0, 1.0, 0.0]",128.0,0.7666666666666667,0.9787234042553191
2357d444-ad19-47a7-921b-044ff21bbc37,False,"[(66, 32), (58, 36), (49, 71)]",122,122,66,58,58,58,58,58,58,58,58,49,58,92,"[64.0, 64.0]","[0.0, 1.0, 0.0]",128.0,"[64.9094, 60.4635]","[0.0, 0.899, 0.101]",125.37290000000002,"[64.0, 64.0]","[0.0, 1.0, -0.0]",128.0,"[64.0, 64.0]","[0.0, 1.0, 0.0]",128.0,0.7666666666666667,0.9787234042553191
a920804b-ec33-4537-a465-584d4632a07c,False,"[(93, 171), (111, 155)]",298,298,93,111,93,93,111,93,111,93,93,111,93,264,"[204.9844, 193.0138]","[0.9991, 0.0009]",397.9982,"[196.616, 200.4524]","[0.5342, 0.4658]",397.0684,"[198.6471, 198.6471]","[0.6471, 0.3529]",397.2942,"[205.0, 193.0]","[1.0, 0.0]",398.0,0.9924812030075187,1.0
a920804b-ec33-4537-a465-584d4632a07c,False,"[(171, 93), (155, 111)]",364,364,171,155,171,171,155,171,155,171,171,155,171,264,"[193.0138, 204.9844]","[0.9991, 0.0009]",397.9982,"[200.4524, 196.616]","[0.5342, 0.4658]",397.0684,"[198.6471, 198.6471]","[0.6471, 0.3529]",397.2942,"[193.0, 205.0]","[1.0, 0.0]",398.0,0.9924812030075187,1.0
ea8182b3-c34b-400c-90f6-bf8c3678eabd,False,"[(62, 84), (53, 87)]",100,100,53,62,53,53,62,53,53,53,53,62,53,134,"[47.0, 57.0]","[0.0, 1.0]",104.0,"[45.1366, 57.6211]","[0.207, 0.793]",102.7577,"[47.0, 57.0]","[-0.0, 1.0]",104.0,"[47.0, 57.0]","[0.0, 1.0]",104.0,0.9178082191780822,0.9571428571428572
ea8182b3-c34b-400c-90f6-bf8c3678eabd,False,"[(84, 62), (87, 53)]",144,144,87,84,87,87,84,87,87,87,87,84,87,134,"[57.0, 47.0]","[0.0, 1.0]",104.0,"[57.6211, 45.1366]","[0.207, 0.793]",102.7577,"[57.0, 47.0]","[-0.0, 1.0]",104.0,"[57.0, 47.0]","[0.0, 1.0]",104.0,0.9178082191780822,0.9571428571428572
7d05f703-bb94-4fd3-b8a1-77e60caf561c,True,"[(63, 63), (80, 46)]",90,90,80,63,63,63,63,63,63,63,63,80,63,112,"[26.9894, 27.0106]","[0.9994, 0.0006]",54.0,"[20.5352, 33.4648]","[0.6197, 0.3803]",54.0,"[27.0, 27.0]","[1.0, 0.0]",54.0,"[10.0, 44.0]","[0.0, 1.0]",54.0,0.8888888888888888,0.8888888888888888
7d05f703-bb94-4fd3-b8a1-77e60caf561c,True,"[(63, 63), (46, 80)]",90,90,46,63,63,63,63,63,63,63,63,46,63,112,"[27.0106, 26.9894]","[0.9994, 0.0006]",54.0,"[33.4648, 20.5352]","[0.6197, 0.3803]",54.0,"[27.0, 27.0]","[1.0, 0.0]",54.0,"[44.0, 10.0]","[0.0, 1.0]",54.0,0.8888888888888888,0.8888888888888888
b2d7e070-0856-4171-99af-1b16c0ba961d,False,"[(59, 37), (67, 33)]",90,90,67,59,59,59,59,59,59,59,59,67,59,94,"[31.0, 41.0]","[1.0, 0.0]",72.0,"[28.9504, 42.0248]","[0.7438, 0.2562]",70.9752,"[31.0, 41.0]","[1.0, 0.0]",72.0,"[31.0, 41.0]","[1.0, 0.0]",72.0,0.94,0.9791666666666666
b2d7e070-0856-4171-99af-1b16c0ba961d,False,"[(37, 59), (33, 67)]",78,78,33,37,37,37,37,37,37,37,37,33,37,94,"[41.0, 31.0]","[1.0, 0.0]",72.0,"[42.0248, 28.9504]","[0.7438, 0.2562]",70.9752,"[41.0, 31.0]","[1.0, 0.0]",72.0,"[41.0, 31.0]","[1.0, 0.0]",72.0,0.94,0.9791666666666666
