eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
940716f0-0e2f-4428-bb8c-7c1305643b7c,0,False,"[(71, 94)]",210,256,57,67,210,74,159,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165.0,71.0,165.0,71.0,165.0,71.0,165.0,71.0,1.0377358490566038,1.0377358490566038
940716f0-0e2f-4428-bb8c-7c1305643b7c,0,False,"[(94, 71)]",256,210,67,57,256,85,159,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165.0,94.0,165.0,94.0,165.0,94.0,165.0,94.0,1.0377358490566038,1.0377358490566038
fe46f1f4-25ab-478a-8a96-e1107befc0b0,12,False,"[(96, 73), (79, 90)]",210,232,65,64,210,79,169,169,96,169,79,169,96,169,96,169,79,169,79,169,79,169,79,169,79,169,96,169,96,169.0,79.0,169.0,79.0154,169.0,86.6793,169.0,79.0,1.0,1.0
fe46f1f4-25ab-478a-8a96-e1107befc0b0,12,False,"[(73, 96), (90, 79)]",232,210,64,65,232,90,169,169,73,169,90,169,73,169,73,169,90,169,90,169,90,169,90,169,90,169,73,169,73,169.0,90.0,169.0,89.9846,169.0,82.32069999999999,169.0,90.0,1.0,1.0
b9914189-3a64-4253-b1b5-30a5c40f0c49,22,False,"[(47, 70)]",200,200,38,38,200,50,111,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117.0,47.0,117.0,47.0,117.0,47.0,117.0,47.0,1.054054054054054,1.054054054054054
b9914189-3a64-4253-b1b5-30a5c40f0c49,22,False,"[(70, 47)]",200,200,38,38,200,61,111,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117.0,70.0,117.0,70.0,117.0,70.0,117.0,70.0,1.054054054054054,1.054054054054054
a1510013-210a-48c8-9244-f0b80b3c4a3a,0,False,"[(231, 208)]",542,496,213,194,542,222,433,439,231,439,231,439,231,439,231,439,231,439,231,439,231,439,231,439,231,439,231,439,231,439.0,231.0,439.0,231.0,439.0,231.0,439.0,231.0,1.0138568129330254,1.0138568129330254
a1510013-210a-48c8-9244-f0b80b3c4a3a,0,False,"[(208, 231)]",496,542,194,213,496,211,433,439,208,439,208,439,208,439,208,439,208,439,208,439,208,439,208,439,208,439,208,439,208,439.0,208.0,439.0,208.0,439.0,208.0,439.0,208.0,1.0138568129330254,1.0138568129330254
a33a9e8e-5c5c-41d5-97b4-b148bce1d427,0,False,"[(195, 172)]",376,342,177,161,376,186,361,367,195,367,195,367,195,367,195,367,195,367,195,367,195,367,195,367,195,367,195,367,195,367.0,195.0,367.0,195.0,367.0,195.0,367.0,195.0,1.0166204986149585,1.0166204986149585
a33a9e8e-5c5c-41d5-97b4-b148bce1d427,0,False,"[(172, 195)]",342,376,161,177,342,175,361,367,172,367,172,367,172,367,172,367,172,367,172,367,172,367,172,367,172,367,172,367,172,367.0,172.0,367.0,172.0,367.0,172.0,367.0,172.0,1.0166204986149585,1.0166204986149585
dccfb939-c278-41b4-b967-9ac0b3eb7706,0,False,"[(209, 232)]",364,398,205,203,364,212,435,441,209,441,209,441,209,441,209,441,209,441,209,441,209,441,209,441,209,441,209,441,209,441.0,209.0,441.0,209.0,441.0,209.0,441.0,209.0,1.013793103448276,1.013793103448276
dccfb939-c278-41b4-b967-9ac0b3eb7706,0,False,"[(232, 209)]",398,364,203,205,398,223,435,441,232,441,232,441,232,441,232,441,232,441,232,441,232,441,232,441,232,441,232,441,232,441.0,232.0,441.0,232.0,441.0,232.0,441.0,232.0,1.013793103448276,1.013793103448276
216b2795-ea06-48dd-93dd-820df95ca371,22,False,"[(89, 66)]",200,200,60,66,200,80,149,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155.0,89.0,155.0,89.0,155.0,89.0,155.0,89.0,1.0402684563758389,1.0402684563758389
216b2795-ea06-48dd-93dd-820df95ca371,22,False,"[(66, 89)]",200,200,66,60,200,69,149,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155.0,66.0,155.0,66.0,155.0,66.0,155.0,66.0,1.0402684563758389,1.0402684563758389
b35b4cad-113a-44d0-a808-ae17e9c991da,0,False,"[(126, 103)]",200,144,96,54,200,126,229,229,126,229,126,229,126,229,126,229,126,229,126,229,126,229,126,229,126,229,126,229,126,229.0,126.0,229.0,126.0,229.0,126.0,229.0,126.0,1.0,1.0
b35b4cad-113a-44d0-a808-ae17e9c991da,0,False,"[(103, 126)]",144,200,54,96,144,103,229,229,103,229,103,229,103,229,103,229,103,229,103,229,103,229,103,229,103,229,103,229,103,229.0,103.0,229.0,103.0,229.0,103.0,229.0,103.0,1.0,1.0
fe62d54f-e15e-4918-81a6-93e6205b34d9,22,False,"[(118, 107)]",244,210,109,93,244,118,225,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225.0,118.0,225.0,118.0,225.0,118.0,225.0,118.0,1.0,1.0
fe62d54f-e15e-4918-81a6-93e6205b34d9,22,False,"[(107, 118)]",210,244,93,109,210,107,225,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225.0,107.0,225.0,107.0,225.0,107.0,225.0,107.0,1.0,1.0
3854a281-d46b-4de5-a439-a5fb9172d507,0,True,"[(310, 166)]",310,166,148,106,310,211,399,476,310,476,310,476,310,476,310,476,310,476,310,476,310,476,310,476,310,476,310,476,310,476.0,310.0,476.0,310.0,476.0,310.0,476.0,310.0,1.1929824561403508,1.1929824561403508
3854a281-d46b-4de5-a439-a5fb9172d507,0,True,"[(166, 310)]",166,310,106,148,166,188,399,476,166,476,166,476,166,476,166,476,166,476,166,476,166,476,166,476,166,476,166,476,166,476.0,166.0,476.0,166.0,476.0,166.0,476.0,166.0,1.1929824561403508,1.1929824561403508
d53d77c2-5932-4510-9aea-af72b913cafa,11,False,"[(104, 93), (112, 89)]",210,166,94,66,210,103,195,201,112,197,104,197,104,197,104,197,104,201,112,201,112,197,104,197,104,201,112,197,104,201.0,112.0,197.0,104.0,198.6307,107.2615,197.0,104.0,1.0307692307692307,1.0102564102564102
d53d77c2-5932-4510-9aea-af72b913cafa,11,False,"[(93, 104), (89, 112)]",166,210,66,94,166,92,195,201,89,197,93,197,93,197,93,197,93,201,89,201,89,197,93,197,93,201,89,197,93,201.0,89.0,197.0,93.0,198.6307,91.3692,197.0,93.0,1.0307692307692307,1.0102564102564102
