eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d14b05b8-77c3-45e5-991f-894750ea9322,22,False,"[(85, 108)]",222,222,76,77,222,85,193,193,85,193,85,193,85,193,85,193,85,193,85,193,85,193,85,193,85,193,85,193,85,193.0,85.0,193.0,85.0,193.0,85.0,193.0,85.0,1.0,1.0
d14b05b8-77c3-45e5-991f-894750ea9322,22,False,"[(108, 85)]",222,222,77,76,222,108,193,193,108,193,108,193,108,193,108,193,108,193,108,193,108,193,108,193,108,193,108,193,108,193.0,108.0,193.0,108.0,193.0,108.0,193.0,108.0,1.0,1.0
904e5f5e-ae9e-426d-a86b-6d3f8abb0468,11,False,"[(282, 271)]",804,804,265,262,804,282,553,553,282,553,282,553,282,553,282,553,282,553,282,553,282,553,282,553,282,553,282,553,282,553.0,282.0,553.0,282.0,553.0,282.0,553.0,282.0,1.0,1.0
904e5f5e-ae9e-426d-a86b-6d3f8abb0468,11,False,"[(271, 282)]",804,804,262,265,804,271,553,553,271,553,271,553,271,553,271,553,271,553,271,553,271,553,271,553,271,553,271,553,271,553.0,271.0,553.0,271.0,553.0,271.0,553.0,271.0,1.0,1.0
93530339-05b0-4fe2-ab67-a91795f40ac5,0,False,"[(100, 77)]",190,144,82,63,190,91,171,177,100,177,100,177,100,177,100,177,100,177,100,177,100,177,100,177,100,177,100,177,100,177.0,100.0,177.0,100.0,177.0,100.0,177.0,100.0,1.0350877192982457,1.0350877192982457
93530339-05b0-4fe2-ab67-a91795f40ac5,0,False,"[(77, 100)]",144,190,63,82,144,80,171,177,77,177,77,177,77,177,77,177,77,177,77,177,77,177,77,177,77,177,77,177,77,177.0,77.0,177.0,77.0,177.0,77.0,177.0,77.0,1.0350877192982457,1.0350877192982457
0e475716-a7d5-4ad0-b95c-c066d1b58c05,1,False,"[(130, 141)]",210,254,110,105,210,130,271,271,130,271,130,271,130,271,130,271,130,271,130,271,130,271,130,271,130,271,130,271,130,271.0,130.0,271.0,130.0,271.0,130.0,271.0,130.0,1.0,1.0
0e475716-a7d5-4ad0-b95c-c066d1b58c05,1,False,"[(141, 130)]",254,210,105,110,254,141,271,271,141,271,141,271,141,271,141,271,141,271,141,271,141,271,141,271,141,271,141,271,141,271.0,141.0,271.0,141.0,271.0,141.0,271.0,141.0,1.0,1.0
7d3cd81d-5544-4d63-bb33-71e052ef2c15,22,False,"[(107, 84), (63, 86)]",200,200,52,47,200,66,143,149,63,149,63,149,63,149,63,191,107,149,63,149,63,149,63,149,63,191,107,149,63,170.0,85.0,149.0,63.0,151.1398,65.24170000000001,149.0,63.0,1.3356643356643356,1.0419580419580419
7d3cd81d-5544-4d63-bb33-71e052ef2c15,22,False,"[(84, 107), (86, 63)]",200,200,47,52,200,77,143,149,86,149,86,149,86,149,86,191,84,149,86,149,86,149,86,149,86,191,84,149,86,170.0,85.0,149.0,86.0,151.1398,85.8981,149.0,86.0,1.3356643356643356,1.0419580419580419
02189502-bebe-4c35-9794-caa0a957c4a8,0,False,"[(87, 110), (95, 72), (92, 103)]",200,166,77,58,200,86,161,167,95,167,95,167,95,167,95,195,92,167,95,167,95,167,95,167,95,197,87,167,95,167.0,95.0,167.0,95.0,171.4709,93.8078,167.0,95.0,1.2236024844720497,1.0372670807453417
02189502-bebe-4c35-9794-caa0a957c4a8,0,False,"[(110, 87), (72, 95), (103, 92)]",166,200,58,77,166,75,161,167,72,167,72,167,72,167,72,195,103,167,72,167,72,167,72,167,72,197,110,167,72,167.0,72.0,167.0,72.0,171.4709,77.6631,167.0,72.0,1.2236024844720497,1.0372670807453417
4d0ec328-4509-440c-a1d0-0a206d0568e3,22,False,"[(539, 528), (522, 545)]",1960,1960,511,514,1960,525,1061,1067,522,1067,539,1067,539,1067,539,1067,539,1067,539,1067,539,1067,539,1067,539,1067,522,1067,539,1067.0,533.5,1067.0,533.5001,1067.0,530.5178000000001,1067.0,522.0,1.0056550424128181,1.0056550424128181
4d0ec328-4509-440c-a1d0-0a206d0568e3,22,False,"[(528, 539), (545, 522)]",1960,1960,514,511,1960,536,1061,1067,545,1067,528,1067,528,1067,528,1067,528,1067,528,1067,528,1067,528,1067,528,1067,545,1067,528,1067.0,533.5,1067.0,533.4999,1067.0,536.4821999999999,1067.0,545.0,1.0056550424128181,1.0056550424128181
f0748626-ca5c-41f2-a897-271e2f16cb38,22,False,"[(108, 97), (96, 119)]",222,222,96,83,222,108,205,215,96,205,108,205,108,205,108,205,108,205,108,205,108,205,108,205,108,215,96,205,108,208.2352,104.1176,205.0,108.0,208.5112,103.7865,205.0,108.0,1.048780487804878,1.0
f0748626-ca5c-41f2-a897-271e2f16cb38,22,False,"[(97, 108), (119, 96)]",222,222,83,96,222,97,205,215,119,205,97,205,97,205,97,205,97,205,97,205,97,205,97,205,97,215,119,205,97,208.2352,104.1176,205.0,97.0,208.5112,104.7247,205.0,97.0,1.048780487804878,1.0
f68c3df4-b247-486f-8eaf-37caf9dd2b05,22,False,"[(230, 253)]",552,552,221,230,552,233,477,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483.0,230.0,483.0,230.0,483.0,230.0,483.0,230.0,1.0125786163522013,1.0125786163522013
f68c3df4-b247-486f-8eaf-37caf9dd2b05,22,False,"[(253, 230)]",552,552,230,221,552,244,477,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483.0,253.0,483.0,253.0,483.0,253.0,483.0,253.0,1.0125786163522013,1.0125786163522013
37e5bea8-5414-434b-ba57-d7d17df820ea,23,True,"[(117, 94), (114, 103)]",210,166,84,67,210,117,211,211,117,217,114,211,117,211,117,217,114,211,117,211,117,211,117,211,117,217,114,211,117,211.0,117.0,211.0,117.0,212.2,116.4,211.0,117.0,1.028436018957346,1.0
37e5bea8-5414-434b-ba57-d7d17df820ea,23,True,"[(94, 117), (103, 114)]",166,210,67,84,166,94,211,211,94,217,103,211,94,211,94,217,103,211,94,211,94,211,94,211,94,217,103,211,94,211.0,94.0,211.0,94.0,212.2,95.8,211.0,94.0,1.028436018957346,1.0
5fa317c1-465f-4812-9097-ff8a8c6cbc83,11,True,"[(86, 97), (90, 79), (99, 76)]",210,188,75,62,210,90,169,175,99,169,90,169,90,169,90,183,86,175,99,169,90,169,90,169,90,183,86,169,90,174.5,98.25,169.0,90.0,169.397,89.8866,169.0,90.0,1.0828402366863905,1.0
5fa317c1-465f-4812-9097-ff8a8c6cbc83,11,True,"[(97, 86), (79, 90), (76, 99)]",188,210,62,75,188,79,169,175,76,169,79,169,79,169,79,183,97,175,76,169,79,169,79,169,79,183,97,169,79,174.5,76.25,169.0,79.0,169.397,79.5104,169.0,79.0,1.0828402366863905,1.0
bede80cc-da6e-433b-93fa-0b641a2c8245,11,False,"[(103, 92), (85, 96)]",232,232,74,78,232,85,181,181,85,181,85,181,85,181,85,195,103,181,85,181,85,181,85,181,85,195,103,181,85,188.0,94.0,181.0,85.0,183.6486,88.40539999999999,181.0,85.0,1.0773480662983426,1.0
bede80cc-da6e-433b-93fa-0b641a2c8245,11,False,"[(92, 103), (96, 85)]",232,232,78,74,232,96,181,181,96,181,96,181,96,181,96,195,92,181,96,181,96,181,96,181,96,195,92,181,96,188.0,94.0,181.0,96.0,183.6486,95.2432,181.0,96.0,1.0773480662983426,1.0
f1ec3818-2573-47d5-8356-8350b4437d78,22,False,"[(78, 89)]",200,188,69,66,200,78,167,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167.0,78.0,167.0,78.0,167.0,78.0,167.0,78.0,1.0,1.0
f1ec3818-2573-47d5-8356-8350b4437d78,22,False,"[(89, 78)]",188,200,66,69,188,89,167,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167.0,89.0,167.0,89.0,167.0,89.0,167.0,89.0,1.0,1.0
