eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
9b4fdc1e-564a-4d37-8ba3-06bfe2246c97,22,False,"[(60, 71), (78, 67)]",222,210,51,51,222,60,131,131,60,131,60,131,60,131,60,131,60,145,78,131,60,131,60,131,60,145,78,131,60,131.0,60.0,145.0,78.0,133.81560000000002,63.62010000000001,131.0,60.0,1.1068702290076335,1.0
629a1130-3d76-427d-86a8-b9be89244e08,0,False,"[(77, 54), (55, 78), (73, 62)]",190,144,55,40,190,68,125,131,77,135,73,131,77,131,77,135,73,131,77,131,77,131,77,131,77,133,55,131,77,131.0,77.0,131.0,77.0,131.7586,68.6552,131.0,77.0,1.08,1.048
629a1130-3d76-427d-86a8-b9be89244e08,0,False,"[(54, 77), (78, 55), (62, 73)]",144,190,40,55,144,57,125,131,54,135,62,131,54,131,54,135,62,131,54,131,54,131,54,131,54,133,78,131,54,131.0,54.0,131.0,54.0,131.7586,63.10339999999999,131.0,54.0,1.08,1.048
780401fd-b134-4819-8c03-23be4ef459c2,0,False,"[(56, 45), (64, 41)]",190,144,41,27,190,55,99,105,64,101,56,101,56,101,56,101,56,105,64,101,56,101,56,101,56,105,64,101,56,101.0,56.0,105.0,64.0,102.57639999999998,59.15289999999999,101.0,56.0,1.0606060606060606,1.02020202020202
780401fd-b134-4819-8c03-23be4ef459c2,0,False,"[(45, 56), (41, 64)]",144,190,27,41,144,44,99,105,41,101,45,101,45,101,45,101,45,105,41,101,45,101,45,101,45,105,41,101,45,101.0,45.0,105.0,41.0,102.57639999999998,43.423500000000004,101.0,45.0,1.0606060606060606,1.02020202020202
9a11640a-4304-4233-a7e1-28a812dbf3a8,22,False,"[(82, 59), (74, 63), (61, 72)]",232,244,47,50,232,61,133,141,82,133,61,133,61,133,61,137,74,133,61,133,61,133,61,133,61,141,82,133,61,133.0,61.0001,133.0,61.0,135.2545,68.32730000000001,133.0,61.0,1.0601503759398496,1.0
9a11640a-4304-4233-a7e1-28a812dbf3a8,22,False,"[(59, 82), (63, 74), (72, 61)]",244,232,50,47,244,72,133,141,59,133,72,133,72,133,72,137,63,133,72,133,72,133,72,133,72,141,59,133,72,133.0,71.9999,133.0,72.0,135.2545,66.9272,133.0,72.0,1.0601503759398496,1.0
de29c284-c10d-48c5-923b-be11438693a1,1,False,"[(177, 200), (194, 183)]",848,860,168,171,848,180,371,377,177,377,194,377,177,377,177,377,194,377,177,377,194,377,177,377,177,377,194,377,177,377.0,182.4995,377.0,182.5,377.0,185.46220000000005,377.0,194.0,1.0161725067385445,1.0161725067385445
de29c284-c10d-48c5-923b-be11438693a1,1,False,"[(200, 177), (183, 194)]",860,848,171,168,860,191,371,377,200,377,183,377,200,377,200,377,183,377,200,377,183,377,200,377,200,377,183,377,200,377.0,194.5005,377.0,194.5,377.0,191.53779999999995,377.0,183.0,1.0161725067385445,1.0161725067385445
283b7f72-b0cd-4160-a6b4-354540eec1a3,0,False,"[(83, 106), (88, 77)]",210,266,59,59,210,88,165,165,88,165,88,165,88,165,88,165,88,189,83,189,83,165,88,165,88,189,83,165,88,165.0,88.0,189.0,83.0,169.9006,86.979,165.0,88.0,1.1454545454545455,1.0
283b7f72-b0cd-4160-a6b4-354540eec1a3,0,False,"[(106, 83), (77, 88)]",266,210,59,59,266,77,165,165,77,165,77,165,77,165,77,165,77,189,106,189,106,165,77,165,77,189,106,165,77,165.0,77.0,189.0,106.0,169.9006,82.92160000000001,165.0,77.0,1.1454545454545455,1.0
42407bfd-8669-4806-9ffb-c5c8d14200a6,22,False,"[(103, 80)]",288,288,71,71,288,94,177,183,103,183,103,183,103,183,103,183,103,183,103,183,103,183,103,183,103,183,103,183,103,183.0,103.0,183.0,103.0,183.0,103.0,183.0,103.0,1.0338983050847457,1.0338983050847457
42407bfd-8669-4806-9ffb-c5c8d14200a6,22,False,"[(80, 103)]",288,288,71,71,288,83,177,183,80,183,80,183,80,183,80,183,80,183,80,183,80,183,80,183,80,183,80,183,80,183.0,80.0,183.0,80.0,183.0,80.0,183.0,80.0,1.0338983050847457,1.0338983050847457
41ae0494-8c9a-40ef-8438-dfe3c6f6eb97,23,True,"[(67, 56), (75, 52)]",210,210,46,47,210,66,121,127,75,123,67,123,67,123,67,123,67,123,67,123,67,123,67,123,67,127,75,123,67,123.0,67.0,123.0,67.0,124.24620000000004,69.4924,123.0,67.0,1.0495867768595042,1.0165289256198347
41ae0494-8c9a-40ef-8438-dfe3c6f6eb97,23,True,"[(56, 67), (52, 75)]",210,210,47,46,210,55,121,127,52,123,56,123,56,123,56,123,56,123,56,123,56,123,56,123,56,127,52,123,56,123.0,56.0,123.0,56.0,124.24620000000004,54.75380000000001,123.0,56.0,1.0495867768595042,1.0165289256198347
f6eac87d-0316-4f33-b4a2-eba5c16c6800,22,False,"[(104, 81), (100, 123)]",288,288,81,72,288,95,179,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185,104,185,104,223,100,185,104,185.0,104.0,204.0,102.0,188.60659999999996,103.62039999999999,185.0,104.0,1.2458100558659218,1.0335195530726258
f6eac87d-0316-4f33-b4a2-eba5c16c6800,22,False,"[(81, 104), (123, 100)]",288,288,72,81,288,84,179,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185,81,185,81,223,123,185,81,185.0,81.0,204.0,102.0,188.60659999999996,84.9862,185.0,81.0,1.2458100558659218,1.0335195530726258
018531bb-c23b-4128-b9d6-0d82190c23ac,34,False,"[(217, 184), (163, 208)]",298,320,73,68,298,166,365,371,163,371,163,371,163,371,163,401,217,371,163,371,163,371,163,371,163,401,217,371,163,371.0,163.0,379.8462,178.9231,380.1837,179.5306,371.0,163.0,1.0986301369863014,1.0164383561643835
018531bb-c23b-4128-b9d6-0d82190c23ac,34,False,"[(184, 217), (208, 163)]",320,298,68,73,320,199,365,371,208,371,208,371,208,371,208,401,184,371,208,371,208,371,208,371,208,401,184,371,208,371.0,208.0,379.8462,200.9231,380.1837,200.6531,371.0,208.0,1.0986301369863014,1.0164383561643835
2953df40-056f-4cad-bf71-d2b7d00c5e95,1,False,"[(71, 104), (79, 90), (62, 107)]",210,266,48,63,210,62,169,169,62,169,79,169,79,169,79,169,79,169,62,169,79,169,62,169,62,175,71,169,79,169.0,62.0,169.0,62.0,169.0,69.7654,169.0,79.0,1.0355029585798816,1.0
2953df40-056f-4cad-bf71-d2b7d00c5e95,1,False,"[(104, 71), (90, 79), (107, 62)]",266,210,63,48,266,107,169,169,107,169,90,169,90,169,90,169,90,169,107,169,90,169,107,169,107,175,104,169,90,169.0,107.0,169.0,107.0,169.0,99.2346,169.0,90.0,1.0355029585798816,1.0
c5375d22-b0a8-48fa-a9fe-190faf00d31b,22,False,"[(66, 55), (57, 80), (74, 51)]",200,200,42,42,200,65,119,125,74,121,66,121,66,121,66,121,66,121,66,121,66,121,66,121,66,137,57,121,66,121.0,66.0,126.1764,63.0882,123.50279999999998,64.59209999999999,121.0,66.0,1.1512605042016806,1.0168067226890756
c5375d22-b0a8-48fa-a9fe-190faf00d31b,22,False,"[(55, 66), (80, 57), (51, 74)]",200,200,42,42,200,54,119,125,51,121,55,121,55,121,55,121,55,121,55,121,55,121,55,121,55,137,80,121,55,121.0,55.0,126.1764,63.0882,123.50279999999998,58.91069999999999,121.0,55.0,1.1512605042016806,1.0168067226890756
00e223b6-b566-4925-ad5d-4482671f788e,22,False,"[(113, 68), (56, 101)]",200,210,47,51,200,59,151,157,56,157,56,157,56,157,56,181,113,157,56,157,56,157,56,157,56,181,113,157,56,157.0173,56.0411,166.3334,78.1667,165.8781,77.0855,157.0,56.0,1.1986754966887416,1.0397350993377483
00e223b6-b566-4925-ad5d-4482671f788e,22,False,"[(68, 113), (101, 56)]",210,200,51,47,210,92,151,157,101,157,101,157,101,157,101,181,68,157,101,157,101,157,101,157,101,181,68,157,101,157.0173,100.9762,166.3334,88.1667,165.8781,88.7926,157.0,101.0,1.1986754966887416,1.0397350993377483
859ff1b2-a587-4fe7-8d7f-5c581a65ef49,23,False,"[(318, 295)]",442,628,100,160,442,309,607,613,318,613,318,613,318,613,318,613,318,613,318,613,318,613,318,613,318,613,318,613,318,613.0,318.0,613.0,318.0,613.0,318.0,613.0,318.0,1.0098846787479407,1.0098846787479407
859ff1b2-a587-4fe7-8d7f-5c581a65ef49,23,False,"[(295, 318)]",628,442,160,100,628,298,607,613,295,613,295,613,295,613,295,613,295,613,295,613,295,613,295,613,295,613,295,613,295,613.0,295.0,613.0,295.0,613.0,295.0,613.0,295.0,1.0098846787479407,1.0098846787479407
fa3765c7-8a02-4ec6-ad81-353620f9e3ef,22,False,"[(84, 73)]",232,244,70,55,232,87,151,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157.0,84.0,157.0,84.0,157.0,84.0,157.0,84.0,1.0397350993377483,1.0397350993377483
fa3765c7-8a02-4ec6-ad81-353620f9e3ef,22,False,"[(73, 84)]",244,232,55,70,244,64,151,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157.0,73.0,157.0,73.0,157.0,73.0,157.0,73.0,1.0397350993377483,1.0397350993377483
5f1516e2-1cb5-4b6a-a7bd-b393eb10aef2,1,False,"[(105, 116)]",298,332,91,98,298,105,221,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221.0,105.0,221.0,105.0,221.0,105.0,221.0,105.0,1.0,1.0
5f1516e2-1cb5-4b6a-a7bd-b393eb10aef2,1,False,"[(116, 105)]",332,298,98,91,332,116,221,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221.0,116.0,221.0,116.0,221.0,116.0,221.0,116.0,1.0,1.0
70898a42-be61-49cd-aa83-170ee0e8558e,22,False,"[(67, 78), (73, 62), (77, 54)]",200,200,46,43,200,68,125,131,77,135,73,131,77,131,77,145,67,135,73,135,73,131,77,131,77,145,67,131,77,131.0,76.9999,140.0,70.0,134.5437,73.4563,131.0,77.0,1.16,1.048
70898a42-be61-49cd-aa83-170ee0e8558e,22,False,"[(78, 67), (62, 73), (54, 77)]",200,200,43,46,200,57,125,131,54,135,62,131,54,131,54,145,78,135,62,135,62,131,54,131,54,145,78,131,54,131.0,54.0001,140.0,70.0,134.5437,61.0874,131.0,54.0,1.16,1.048
59e79701-27c9-44dc-957b-3d1af883f030,0,False,"[(57, 68), (65, 42)]",190,144,48,31,190,65,107,107,65,107,65,107,65,107,65,125,57,107,65,107,65,107,65,107,65,125,57,107,65,107.0,65.0,107.0,65.0,110.4366,63.4726,107.0,65.0,1.1682242990654206,1.0
59e79701-27c9-44dc-957b-3d1af883f030,0,False,"[(68, 57), (42, 65)]",144,190,31,48,144,42,107,107,42,107,42,107,42,107,42,125,68,107,42,107,42,107,42,107,42,125,68,107,42,107.0,42.0,107.0,42.0,110.4366,46.964,107.0,42.0,1.1682242990654206,1.0
92dd2eac-65f4-4704-914c-8d2aa5df923a,22,False,"[(71, 48), (54, 65), (63, 52)]",200,200,42,39,200,62,113,119,71,115,63,115,63,115,63,119,54,115,63,115,63,115,63,115,63,119,71,115,63,115.0,63.0,117.0,58.5,115.96019999999999,60.83959999999999,115.0,63.0,1.0530973451327434,1.0176991150442478
