eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
551e5075-f6eb-4094-8174-3c613267e96e,0,False,"[(646, 669)]",716,750,635,669,716,646,1315,1315,646,1315,646,1315,646,1315,646,1315,646,1315,646,1315,646,1315,646,1315,646,1315,646,1315,646,1315.0,646.0,1315.0,646.0,1315.0,646.0,1315.0,646.0,1.0,1.0
551e5075-f6eb-4094-8174-3c613267e96e,0,False,"[(669, 646)]",750,716,669,635,750,669,1315,1315,669,1315,669,1315,669,1315,669,1315,669,1315,669,1315,669,1315,669,1315,669,1315,669,1315,669,1315.0,669.0,1315.0,669.0,1315.0,669.0,1315.0,669.0,1.0,1.0
cbbce598-02cc-471c-8a78-aa41658c0b4d,1,False,"[(185, 196)]",210,232,174,187,210,185,381,381,185,381,185,381,185,381,185,381,185,381,185,381,185,381,185,381,185,381,185,381,185,381.0,185.0,381.0,185.0,381.0,185.0,381.0,185.0,1.0,1.0
cbbce598-02cc-471c-8a78-aa41658c0b4d,1,False,"[(196, 185)]",232,210,187,174,232,196,381,381,196,381,196,381,196,381,196,381,196,381,196,381,196,381,196,381,196,381,196,381,196,381.0,196.0,381.0,196.0,381.0,196.0,381.0,196.0,1.0,1.0
faca0da8-5519-4e6d-ba58-85aa8fc78783,22,True,"[(415, 426)]",442,430,415,394,442,415,841,841,415,841,415,841,415,841,415,841,415,841,415,841,415,841,415,841,415,841,415,841,415,841.0,415.0,841.0,415.0,841.0,415.0,841.0,415.0,1.0,1.0
faca0da8-5519-4e6d-ba58-85aa8fc78783,22,True,"[(426, 415)]",430,442,394,415,430,426,841,841,426,841,426,841,426,841,426,841,426,841,426,841,426,841,426,841,426,841,426,841,426,841.0,426.0,841.0,426.0,841.0,426.0,841.0,426.0,1.0,1.0
43b26a87-b95f-4b3f-8f72-8ee5c613732c,0,False,"[(204, 181)]",222,188,204,161,222,204,385,385,204,385,204,385,204,385,204,385,204,385,204,385,204,385,204,385,204,385,204,385,204,385.0,204.0,385.0,204.0,385.0,204.0,385.0,204.0,1.0,1.0
43b26a87-b95f-4b3f-8f72-8ee5c613732c,0,False,"[(181, 204)]",188,222,161,204,188,181,385,385,181,385,181,385,181,385,181,385,181,385,181,385,181,385,181,385,181,385,181,385,181,385.0,181.0,385.0,181.0,385.0,181.0,385.0,181.0,1.0,1.0
810da76a-ddad-44bd-b623-a44351417c52,12,False,"[(188, 177)]",210,222,156,177,210,188,365,365,188,365,188,365,188,365,188,365,188,365,188,365,188,365,188,365,188,365,188,365,188,365.0,188.0,365.0,188.0,365.0,188.0,365.0,188.0,1.0,1.0
810da76a-ddad-44bd-b623-a44351417c52,12,False,"[(177, 188)]",222,210,177,156,222,177,365,365,177,365,177,365,177,365,177,365,177,365,177,365,177,365,177,365,177,365,177,365,177,365.0,177.0,365.0,177.0,365.0,177.0,365.0,177.0,1.0,1.0
