eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
1e2722b3-3d47-4fca-8fbd-05076cb15a63,1,False,"[(138, 115), (130, 119)]",420,364,102,79,420,129,247,253,138,249,130,249,130,249,130,249,130,253,138,249,130,249,130,249,130,253,138,249,130,250.47209999999995,132.94420000000002,253.0,138.0,249.0,130.0,249.0,130.0,1.0242914979757085,1.008097165991903
81d71672-d8d4-4670-93c5-5af4c1d47ab9,11,False,"[(59, 70), (80, 69)]",254,254,50,47,254,59,129,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,149,80,129,59,129.95590000000004,60.00370000000001,139.0,69.5,129.0,59.0,129.0,59.0,1.1550387596899225,1.0
81d71672-d8d4-4670-93c5-5af4c1d47ab9,11,False,"[(70, 59), (69, 80)]",254,254,47,50,254,70,129,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,149,69,129,70,129.95590000000004,69.9522,139.0,69.5,129.0,70.0,129.0,70.0,1.1550387596899225,1.0
4f552c38-f75f-4603-897c-a6e6c2bbdbf9,0,True,"[(219, 208), (227, 204)]",376,210,78,39,376,218,425,431,227,427,219,427,219,427,219,427,219,431,227,431,227,427,219,431,227,427,219,427,219,430.716,226.432,431.0,227.0,431.0,227.0,427.0,219.0,1.0141176470588236,1.0047058823529411
4f552c38-f75f-4603-897c-a6e6c2bbdbf9,0,True,"[(208, 219), (204, 227)]",210,376,39,78,210,207,425,431,204,427,208,427,208,427,208,427,208,431,204,431,204,427,208,431,204,427,208,427,208,430.716,204.284,431.0,204.0,431.0,204.0,427.0,208.0,1.0141176470588236,1.0047058823529411
66f7d35a-0fcd-4f5e-875d-693de8e82b67,22,False,"[(623, 964), (610, 973), (597, 982), (579, 1008)]",728,1090,147,216,728,597,1579,1587,579,1587,623,1579,597,1579,597,1587,623,1583,610,1587,623,1587,579,1579,597,1587,579,1579,597,1579.5558,598.8066,1583.1818,610.5909,1579.0,597.0,1579.0,597.0,1.0050664977834072,1.0
66f7d35a-0fcd-4f5e-875d-693de8e82b67,22,False,"[(964, 623), (973, 610), (982, 597), (1008, 579)]",1090,728,216,147,1090,982,1579,1587,1008,1587,964,1579,982,1579,982,1587,964,1583,973,1587,964,1587,1008,1579,982,1587,1008,1579,982,1579.5558,980.7492,1583.1818,972.5909,1579.0,982.0,1579.0,982.0,1.0050664977834072,1.0
d448563e-4bf1-452f-8a48-05ed338f9444,11,False,"[(695, 68)]",848,188,177,35,848,695,763,763,695,763,695,763,695,763,695,763,695,763,695,763,695,763,695,763,695,763,695,763,695,763.0,695.0,763.0,695.0,763.0,695.0,763.0,695.0,1.0,1.0
d448563e-4bf1-452f-8a48-05ed338f9444,11,False,"[(68, 695)]",188,848,35,177,188,68,763,763,68,763,68,763,68,763,68,763,68,763,68,763,68,763,68,763,68,763,68,763,68,763.0,68.0,763.0,68.0,763.0,68.0,763.0,68.0,1.0,1.0
aa84a0db-6551-4eea-b3d0-fa59cc21582f,0,False,"[(53, 76), (82, 59), (57, 68)]",210,256,39,49,210,56,123,129,53,125,57,125,57,125,57,125,57,129,53,125,57,125,57,125,57,141,82,125,57,126.57780000000002,59.46530000000001,129.0,53.0,125.0,57.0,125.0,57.0,1.146341463414634,1.016260162601626
aa84a0db-6551-4eea-b3d0-fa59cc21582f,0,False,"[(76, 53), (59, 82), (68, 57)]",256,210,49,39,256,67,123,129,76,125,68,125,68,125,68,125,68,129,76,125,68,125,68,125,68,141,59,125,68,126.57780000000002,67.11250000000001,129.0,76.0,125.0,68.0,125.0,68.0,1.146341463414634,1.016260162601626
7d0a317b-f244-4a09-b95d-a6fb9d9d5f31,23,False,"[(61, 50), (56, 79)]",210,210,39,39,210,61,111,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,135,56,111,61,114.64599999999996,60.240399999999994,118.76479999999998,59.38239999999999,111.0,61.0,111.0,61.0,1.2162162162162162,1.0
