eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
fdbbb83e-2293-4f53-b077-be5211a23c26,22,True,"[(266, 210)]",266,210,230,192,266,248,463,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,476,266,1.0280777537796977,1.0280777537796977
fdbbb83e-2293-4f53-b077-be5211a23c26,22,True,"[(210, 266)]",210,266,192,230,210,215,463,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,476,210,1.0280777537796977,1.0280777537796977
e899a960-f182-41ac-8818-5e252ca6f8f0,22,True,"[(178, 155)]",200,200,147,155,200,178,333,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,1.0,1.0
e899a960-f182-41ac-8818-5e252ca6f8f0,22,True,"[(155, 178)]",200,200,155,147,200,155,333,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,1.0,1.0
00b9f923-4851-40ba-9474-3f161d8b7cde,22,True,"[(232, 222)]",232,222,205,213,232,228,445,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,454,232,1.0202247191011236,1.0202247191011236
00b9f923-4851-40ba-9474-3f161d8b7cde,22,True,"[(222, 232)]",222,232,213,205,222,217,445,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,454,222,1.0202247191011236,1.0202247191011236
905fe150-c722-4851-8901-638aca31292b,0,True,"[(190, 144)]",190,144,190,144,190,190,334,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,334,190,1.0,1.0
905fe150-c722-4851-8901-638aca31292b,0,True,"[(144, 190)]",144,190,144,190,144,144,334,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,334,144,1.0,1.0
9a01d409-ab41-4daf-a2a4-58e43c008527,22,True,"[(137, 346)]",200,386,128,314,200,137,483,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,483,137,1.0,1.0
9a01d409-ab41-4daf-a2a4-58e43c008527,22,True,"[(346, 137)]",386,200,314,128,386,346,483,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,483,346,1.0,1.0
312548fc-a611-4af0-9935-0de65e529228,11,False,"[(150, 127)]",210,188,150,116,210,150,277,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,1.0,1.0
312548fc-a611-4af0-9935-0de65e529228,11,False,"[(127, 150)]",188,210,116,150,188,127,277,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,1.0,1.0
94c127fb-688e-4114-bb26-860bd1a06c50,23,True,"[(200, 177)]",200,222,155,168,200,200,377,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,377,200,1.0,1.0
94c127fb-688e-4114-bb26-860bd1a06c50,23,True,"[(177, 200)]",222,200,168,155,222,177,377,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,377,177,1.0,1.0
68c877e0-e14c-4758-9197-60996221987a,22,True,"[(200, 244)]",200,244,173,235,200,182,431,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,444,200,1.0301624129930393,1.0301624129930393
68c877e0-e14c-4758-9197-60996221987a,22,True,"[(244, 200)]",244,200,235,173,244,249,431,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,444,244,1.0301624129930393,1.0301624129930393
cba218d2-76b9-48b8-9600-f3706cb92177,0,False,"[(193, 216)]",210,256,182,212,210,193,409,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,1.0,1.0
cba218d2-76b9-48b8-9600-f3706cb92177,0,False,"[(216, 193)]",256,210,212,182,256,216,409,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,1.0,1.0
d170793a-ff9c-4093-b28a-488d2fd52fac,0,False,"[(202, 179)]",234,188,202,165,234,202,381,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,381,202,1.0,1.0
d170793a-ff9c-4093-b28a-488d2fd52fac,0,False,"[(179, 202)]",188,234,165,202,188,179,381,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,381,179,1.0,1.0
022ffb7a-e86e-4fbf-8cbf-7bb4d7405187,0,False,"[(263, 286)]",276,322,240,286,276,263,549,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,549,263,1.0,1.0
022ffb7a-e86e-4fbf-8cbf-7bb4d7405187,0,False,"[(286, 263)]",322,276,286,240,322,286,549,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,549,286,1.0,1.0
2f506f74-e6e3-4d91-b39a-7e661f44f1de,22,True,"[(261, 250)]",288,254,261,227,288,264,505,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,511,261,1.011881188118812,1.011881188118812
2f506f74-e6e3-4d91-b39a-7e661f44f1de,22,True,"[(250, 261)]",254,288,227,261,254,241,505,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,511,250,1.011881188118812,1.011881188118812
52531e16-6f5f-4835-93ac-ba950f192b8b,0,False,"[(163, 140)]",190,144,163,117,190,163,303,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,1.0,1.0
52531e16-6f5f-4835-93ac-ba950f192b8b,0,False,"[(140, 163)]",144,190,117,163,144,140,303,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,1.0,1.0
11a8671e-c51b-4f6a-878c-582e0405bc17,11,True,"[(208, 185)]",232,210,199,174,232,199,387,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,393,208,1.0155038759689923,1.0155038759689923
11a8671e-c51b-4f6a-878c-582e0405bc17,11,True,"[(185, 208)]",210,232,174,199,210,188,387,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,393,185,1.0155038759689923,1.0155038759689923
7281f1b1-b88b-447a-a297-692efe619650,1,False,"[(187, 210)]",232,244,187,199,232,187,397,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,1.0,1.0
7281f1b1-b88b-447a-a297-692efe619650,1,False,"[(210, 187)]",244,232,199,187,244,210,397,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,1.0,1.0
956eddaf-c3d4-404e-9688-e00168e0f76d,1,True,"[(225, 258)]",232,276,214,226,232,225,483,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,483,225,1.0,1.0
956eddaf-c3d4-404e-9688-e00168e0f76d,1,True,"[(258, 225)]",276,232,226,214,276,258,483,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,483,258,1.0,1.0
f5b18089-f0aa-41f6-8e85-0e9d1cd6dfae,23,True,"[(232, 254)]",232,254,205,209,232,238,465,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,486,232,1.0451612903225806,1.0451612903225806
f5b18089-f0aa-41f6-8e85-0e9d1cd6dfae,23,True,"[(254, 232)]",254,232,209,205,254,227,465,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,486,254,1.0451612903225806,1.0451612903225806
0e707121-839d-45d1-b0f8-54fa8e30d9a1,0,False,"[(316, 293)]",388,342,316,270,388,316,609,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,609,316,1.0,1.0
0e707121-839d-45d1-b0f8-54fa8e30d9a1,0,False,"[(293, 316)]",342,388,270,316,342,293,609,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,609,293,1.0,1.0
d4e3b05f-2f99-45bd-8c04-a1c3cb8a278f,22,True,"[(200, 200)]",200,200,183,200,200,200,400,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,1.0,1.0
d4e3b05f-2f99-45bd-8c04-a1c3cb8a278f,22,True,"[(200, 200)]",200,200,200,183,200,200,400,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,400,200,1.0,1.0
8c1f1cf3-9f21-431a-88a7-d3ddb884350e,1,True,"[(222, 210)]",222,210,213,201,222,225,427,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,1.0117096018735363,1.0117096018735363
8c1f1cf3-9f21-431a-88a7-d3ddb884350e,1,True,"[(210, 222)]",210,222,201,213,210,202,427,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,1.0117096018735363,1.0117096018735363
6f1fda57-e9a9-45ee-a907-fa7cf5be5c62,0,True,"[(212, 166)]",212,166,198,161,212,198,373,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,378,212,1.0134048257372654,1.0134048257372654
6f1fda57-e9a9-45ee-a907-fa7cf5be5c62,0,True,"[(166, 212)]",166,212,161,198,166,175,373,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,378,166,1.0134048257372654,1.0134048257372654
94d16228-928d-401e-b226-46a7aded9396,11,False,"[(155, 144)]",200,166,155,121,200,155,299,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,1.0,1.0
94d16228-928d-401e-b226-46a7aded9396,11,False,"[(144, 155)]",166,200,121,155,166,144,299,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,1.0,1.0
6abc03c1-1e95-48be-aab8-75bf31157f97,0,False,"[(274, 251)]",310,276,274,240,310,274,525,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,525,274,1.0,1.0
