eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
a0819349-91ac-430b-abb7-8b13d9f1be3f,1,False,"[(61, 72), (74, 63)]",254,288,47,54,254,61,133,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,137,74,133,61,133.0,61.0,133.0,61.0,134.49030000000005,65.84360000000001,133.0,61.0,1.0300751879699248,1.0
a0819349-91ac-430b-abb7-8b13d9f1be3f,1,False,"[(72, 61), (63, 74)]",288,254,54,47,288,72,133,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,137,63,133,72,133.0,72.0,133.0,72.0,134.49030000000005,68.64670000000001,133.0,72.0,1.0300751879699248,1.0
7037088b-6322-431a-8c9a-0b93560fa072,22,False,"[(47, 70), (69, 58), (52, 63)]",200,200,38,38,200,50,111,117,47,115,52,115,52,115,52,127,69,115,52,115,52,115,52,115,52,127,69,115,52,115.0,52.0,115.0,52.0,115.20759999999996,52.294099999999986,121.0,60.5,1.1441441441441442,1.0360360360360361
7037088b-6322-431a-8c9a-0b93560fa072,22,False,"[(70, 47), (58, 69), (63, 52)]",200,200,38,38,200,61,111,117,70,115,63,115,63,115,63,127,58,115,63,115,63,115,63,115,63,127,58,115,63,115.0,63.0,115.0,63.0,115.20759999999996,62.9135,121.0,60.5,1.1441441441441442,1.0360360360360361
1c9944fb-ce77-4232-b152-1c843548742c,11,False,"[(50, 61), (59, 48)]",210,210,39,39,210,59,107,107,59,107,59,107,59,107,59,111,50,107,59,107,59,107,59,107,59,111,50,107,59,107.0,59.0,107.0,59.0,108.64840000000004,55.2911,109.0,54.5,1.0373831775700935,1.0
1c9944fb-ce77-4232-b152-1c843548742c,11,False,"[(61, 50), (48, 59)]",210,210,39,39,210,48,107,107,48,107,48,107,48,107,48,111,61,107,48,107,48,107,48,107,48,111,61,107,48,107.0,48.0,107.0,48.0,108.64840000000004,53.35730000000001,109.0,54.5,1.0373831775700935,1.0
3f36acd6-61b5-44a3-9152-6941fb091f94,1,False,"[(57, 68)]",232,266,43,50,232,57,125,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125.0,57.0,125.0,57.0,125.0,57.0,125.0,57.0,1.0,1.0
3f36acd6-61b5-44a3-9152-6941fb091f94,1,False,"[(68, 57)]",266,232,50,43,266,68,125,125,68,125,68,125,68,125,68,125,68,125,68,125,68,125,68,125,68,125,68,125,68,125.0,68.0,125.0,68.0,125.0,68.0,125.0,68.0,1.0,1.0
42c38de0-6f31-4e4b-baf4-6d0785317c37,22,False,"[(47, 70), (51, 62), (72, 61)]",200,200,38,38,200,50,111,117,47,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,133,72,113,51,113.0,51.0,113.0,51.0,113.90560000000005,50.09440000000001,123.0,61.5,1.1981981981981982,1.018018018018018
42c38de0-6f31-4e4b-baf4-6d0785317c37,22,False,"[(70, 47), (62, 51), (61, 72)]",200,200,38,38,200,61,111,117,70,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,133,61,113,62,113.0,62.0,113.0,62.0,113.90560000000005,63.811200000000014,123.0,61.5,1.1981981981981982,1.018018018018018
bba82802-b14f-41aa-b03a-cd9100960e5a,23,False,"[(53, 76), (67, 56), (75, 52)]",210,232,39,43,210,66,121,127,75,123,67,123,67,123,67,123,67,129,53,123,67,123,67,123,67,127,75,123,67,123.0,67.0,123.0,67.0,125.00559999999996,62.3201,128.8236,53.4118,1.0661157024793388,1.0165289256198347
bba82802-b14f-41aa-b03a-cd9100960e5a,23,False,"[(76, 53), (56, 67), (52, 75)]",232,210,43,39,232,55,121,127,52,123,56,123,56,123,56,123,56,129,76,123,56,123,56,123,56,127,52,123,56,123.0,56.0,123.0,56.0,125.00559999999996,62.68549999999999,128.8236,75.4118,1.0661157024793388,1.0165289256198347
305692bc-aade-4eb8-85ed-46bf7a69d75c,0,False,"[(77, 66), (60, 71), (53, 76)]",210,256,39,49,210,56,123,129,53,131,60,129,53,129,53,143,77,129,53,131,60,129,53,129,53,143,77,129,53,129.0,53.0,129.0,53.0,130.4846,58.196200000000005,129.0,53.0,1.1626016260162602,1.048780487804878
305692bc-aade-4eb8-85ed-46bf7a69d75c,0,False,"[(66, 77), (71, 60), (76, 53)]",256,210,49,39,256,67,123,129,76,131,71,129,76,129,76,143,66,129,76,131,71,129,76,129,76,143,66,129,76,129.0,76.0,129.0,76.0,130.4846,72.2884,129.0,76.0,1.1626016260162602,1.048780487804878
f1b670c2-2906-4510-896a-ad109c08661f,22,False,"[(201, 190), (130, 273), (188, 199), (175, 208), (166, 221), (157, 234), (148, 247), (139, 260)]",508,518,94,95,508,175,383,403,130,387,188,383,175,383,175,391,201,387,188,387,188,383,175,383,175,403,130,383,175,383.0,175.0,383.0,175.0,387.0457,165.897,387.18179999999995,188.59089999999998,1.052219321148825,1.0
f1b670c2-2906-4510-896a-ad109c08661f,22,False,"[(190, 201), (273, 130), (199, 188), (208, 175), (221, 166), (234, 157), (247, 148), (260, 139)]",518,508,95,94,518,208,383,403,273,387,199,383,208,383,208,391,190,387,199,387,199,383,208,383,208,403,273,383,208,383.0,208.0,383.0,208.0,387.0457,221.14870000000002,387.18179999999995,198.59089999999998,1.052219321148825,1.0
a80d40dd-b88e-4890-9345-476796b53142,22,False,"[(70, 47), (62, 51), (53, 64)]",200,200,38,38,200,61,111,117,70,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,117,70,113,62,113.0,62.0,113.0,62.0,113.95979999999997,59.84030000000001,115.0,57.5,1.054054054054054,1.018018018018018
a80d40dd-b88e-4890-9345-476796b53142,22,False,"[(47, 70), (51, 62), (64, 53)]",200,200,38,38,200,50,111,117,47,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,117,47,113,51,113.0,51.0,113.0,51.0,113.95979999999997,54.11949999999999,115.0,57.5,1.054054054054054,1.018018018018018
687a1546-aec3-40b4-9ce8-f81fed382d0c,22,False,"[(51, 62), (64, 53), (47, 70)]",200,200,38,38,200,50,111,117,47,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,117,47,113,51,113.0,51.0,113.0,51.0,113.95979999999997,54.11949999999999,115.0,57.5,1.054054054054054,1.018018018018018
687a1546-aec3-40b4-9ce8-f81fed382d0c,22,False,"[(62, 51), (53, 64), (70, 47)]",200,200,38,38,200,61,111,117,70,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,117,70,113,62,113.0,62.0,113.0,62.0,113.95979999999997,59.84030000000001,115.0,57.5,1.054054054054054,1.018018018018018
9decc5c2-190a-458a-ae68-b6b7d696e1f3,1,False,"[(82, 59), (53, 64)]",210,244,39,46,210,53,117,117,53,117,53,117,53,117,53,117,53,117,53,117,53,117,53,117,53,141,82,117,53,117.0,53.0,117.0,53.0,120.0634,56.70160000000001,117.0,53.0,1.205128205128205,1.0
