eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
a930fe63-a07d-42e8-90dd-063c11e71979,11,False,"[(82, 59), (74, 63)]",200,166,56,48,200,73,135,141,82,137,74,137,74,137,74,137,74,141,82,137,74,137,74,137,74,141,82,137,74,137.0,74.0,138.4823,76.9647,137.0,74.0,141.0,82.0,1.0444444444444445,1.0148148148148148
a930fe63-a07d-42e8-90dd-063c11e71979,11,False,"[(59, 82), (63, 74)]",166,200,48,56,166,62,135,141,59,137,63,137,63,137,63,137,63,141,59,137,63,137,63,137,63,141,59,137,63,137.0,63.0,138.4823,61.5176,137.0,63.0,141.0,59.0,1.0444444444444445,1.0148148148148148
887c8511-3585-46f9-99d1-1fdbefc3deb3,22,False,"[(271, 294)]",442,442,266,253,442,274,559,565,271,565,271,565,271,565,271,565,271,565,271,565,271,565,271,565,271,565,271,565,271,565.0,271.0,565.0,271.0,565.0,271.0,565.0,271.0,1.0107334525939178,1.0107334525939178
887c8511-3585-46f9-99d1-1fdbefc3deb3,22,False,"[(294, 271)]",442,442,253,266,442,285,559,565,294,565,294,565,294,565,294,565,294,565,294,565,294,565,294,565,294,565,294,565,294,565.0,294.0,565.0,294.0,565.0,294.0,565.0,294.0,1.0107334525939178,1.0107334525939178
8b6af87d-a8b1-4e61-91d1-4a1b865e6b7c,0,False,"[(90, 113)]",210,256,70,86,210,93,197,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203.0,90.0,203.0,90.0,203.0,90.0,203.0,90.0,1.0304568527918783,1.0304568527918783
8b6af87d-a8b1-4e61-91d1-4a1b865e6b7c,0,False,"[(113, 90)]",256,210,86,70,256,104,197,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203.0,113.0,203.0,113.0,203.0,113.0,203.0,113.0,1.0304568527918783,1.0304568527918783
ffccb15c-fffd-40e5-90b4-6c12b05ddf89,0,False,"[(149, 126), (141, 130)]",256,210,112,109,256,140,269,275,149,271,141,271,141,271,141,271,141,275,149,275,149,271,141,271,141,275,149,271,141,271.0,141.0,272.6255,144.2509,271.0,141.0,275.0,149.0,1.0223048327137547,1.0074349442379182
ffccb15c-fffd-40e5-90b4-6c12b05ddf89,0,False,"[(126, 149), (130, 141)]",210,256,109,112,210,129,269,275,126,271,130,271,130,271,130,271,130,275,126,275,126,271,130,271,130,275,126,271,130,271.0,130.0,272.6255,128.3746,271.0,130.0,275.0,126.0,1.0223048327137547,1.0074349442379182
519fc86b-1c97-489c-b246-640ca79b7cbd,0,False,"[(129, 152), (146, 135), (149, 126)]",232,278,114,121,232,149,275,275,149,281,146,275,149,275,149,281,146,281,129,281,129,275,149,281,129,281,146,275,149,280.0884,132.0387,278.1899,138.3669,275.0,149.0,281.0,129.0,1.0218181818181817,1.0
519fc86b-1c97-489c-b246-640ca79b7cbd,0,False,"[(152, 129), (135, 146), (126, 149)]",278,232,121,114,278,126,275,275,126,281,135,275,126,275,126,281,135,281,152,281,152,275,126,281,152,281,135,275,126,280.0884,148.0497,278.1899,139.823,275.0,126.0,281.0,152.0,1.0218181818181817,1.0
