eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
c6647f23-18a9-482a-af3d-60fd43d1c970,0,False,"[(70, 93)]",210,244,61,73,210,73,157,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163.0,70.0,163.0,70.0,163.0,70.0,163.0,70.0,1.0382165605095541,1.0382165605095541
c6647f23-18a9-482a-af3d-60fd43d1c970,0,False,"[(93, 70)]",244,210,73,61,244,84,157,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163.0,93.0,163.0,93.0,163.0,93.0,163.0,93.0,1.0382165605095541,1.0382165605095541
0bf7fa37-33b6-4fb7-b133-f15f5241fbfb,22,False,"[(118, 107)]",222,166,88,53,222,118,225,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225.0,118.0,225.0,118.0,225.0,118.0,225.0,118.0,1.0,1.0
0bf7fa37-33b6-4fb7-b133-f15f5241fbfb,22,False,"[(107, 118)]",166,222,53,88,166,107,225,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225.0,107.0,225.0,107.0,225.0,107.0,225.0,107.0,1.0,1.0
9f59724b-9fe1-4857-820c-c9bf1fe084c2,0,False,"[(103, 80), (70, 81)]",210,256,59,71,210,70,151,151,70,151,70,151,70,151,70,151,70,151,70,151,70,151,70,151,70,183,103,151,70,151.0,70.0,151.0,70.0,151.7532,70.7767,151.0,70.0,1.2119205298013245,1.0
9f59724b-9fe1-4857-820c-c9bf1fe084c2,0,False,"[(80, 103), (81, 70)]",256,210,71,59,256,81,151,151,81,151,81,151,81,151,81,151,81,151,81,151,81,151,81,151,81,183,80,151,81,151.0,81.0,151.0,81.0,151.7532,80.97649999999999,151.0,81.0,1.2119205298013245,1.0
31eae4cf-cc79-4685-8d0b-ffc969852b3c,0,False,"[(875, 258)]",1124,342,360,84,1124,866,1127,1133,875,1133,875,1133,875,1133,875,1133,875,1133,875,1133,875,1133,875,1133,875,1133,875,1133,875,1133.0,875.0,1133.0,875.0,1133.0,875.0,1133.0,875.0,1.005323868677906,1.005323868677906
31eae4cf-cc79-4685-8d0b-ffc969852b3c,0,False,"[(258, 875)]",342,1124,84,360,342,261,1127,1133,258,1133,258,1133,258,1133,258,1133,258,1133,258,1133,258,1133,258,1133,258,1133,258,1133,258,1133.0,258.0,1133.0,258.0,1133.0,258.0,1133.0,258.0,1.005323868677906,1.005323868677906
9cd6f0fb-58b2-4544-b2b6-d03981e49e9b,0,False,"[(57, 46), (48, 59), (65, 42)]",200,166,47,31,200,56,101,107,65,103,57,103,57,103,57,103,57,107,65,103,57,103,57,103,57,107,48,103,57,103.0,57.0,107.0,65.0,103.65710000000001,55.5213,103.0,57.0,1.0594059405940595,1.0198019801980198
9cd6f0fb-58b2-4544-b2b6-d03981e49e9b,0,False,"[(46, 57), (59, 48), (42, 65)]",166,200,31,47,166,45,101,107,42,103,46,103,46,103,46,103,46,107,42,103,46,103,46,103,46,107,59,103,46,103.0,46.0,107.0,42.0,103.65710000000001,48.1358,103.0,46.0,1.0594059405940595,1.0198019801980198
