eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
6b62a9f2-dbfa-4608-8408-7567ad2c5889,1,False,"[(155, 166)]",254,288,141,166,254,155,321,321,155,321,155,321,155,321,155,321,155,321,155,321,155,321,155,321,155,321,155,321,155,321.0,155.0,321.0,155.0,321.0,155.0,321.0,155.0,1.0,1.0
6b62a9f2-dbfa-4608-8408-7567ad2c5889,1,False,"[(166, 155)]",288,254,166,141,288,166,321,321,166,321,166,321,166,321,166,321,166,321,166,321,166,321,166,321,166,321,166,321,166,321.0,166.0,321.0,166.0,321.0,166.0,321.0,166.0,1.0,1.0
d3475b3c-fc56-440d-ae51-003db4bdf857,11,False,"[(157, 146)]",232,210,148,132,232,157,303,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303.0,157.0,303.0,157.0,303.0,157.0,303.0,157.0,1.0,1.0
d3475b3c-fc56-440d-ae51-003db4bdf857,11,False,"[(146, 157)]",210,232,132,148,210,146,303,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303.0,146.0,303.0,146.0,303.0,146.0,303.0,146.0,1.0,1.0
e3fbb00f-467a-455e-91f4-3281a340dae5,23,True,"[(185, 152), (127, 182)]",222,188,113,128,222,127,309,309,127,309,127,309,127,309,127,337,185,337,185,337,185,309,127,337,185,309,127,309,127,329.131,168.7,325.1604,160.4751,309.0,127.0,337.0,185.0,1.0906148867313916,1.0
e3fbb00f-467a-455e-91f4-3281a340dae5,23,True,"[(152, 185), (182, 127)]",188,222,128,113,188,182,309,309,182,309,182,309,182,309,182,337,152,337,152,337,152,309,182,337,152,309,182,309,182,329.131,160.431,325.1604,164.6853,309.0,182.0,337.0,152.0,1.0906148867313916,1.0
c4757fce-f014-4f34-ae59-3467f8f5bcc5,23,False,"[(61, 72), (91, 68)]",210,210,55,52,210,61,133,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,159,91,133,61,133.0,61.0,136.1911,64.68199999999999,133.0,61.0,141.41180000000003,70.70590000000001,1.1954887218045114,1.0
c4757fce-f014-4f34-ae59-3467f8f5bcc5,23,False,"[(72, 61), (68, 91)]",210,210,52,55,210,72,133,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,159,68,133,72,133.0,72.0,136.1911,71.50909999999999,133.0,72.0,141.41180000000003,70.70590000000001,1.1954887218045114,1.0
82aa17fe-32c7-46f6-9fe8-e87feb252687,11,False,"[(449, 438)]",760,760,431,427,760,449,887,887,449,887,449,887,449,887,449,887,449,887,449,887,449,887,449,887,449,887,449,887,449,887.0,449.0,887.0,449.0,887.0,449.0,887.0,449.0,1.0,1.0
82aa17fe-32c7-46f6-9fe8-e87feb252687,11,False,"[(438, 449)]",760,760,427,431,760,438,887,887,438,887,438,887,438,887,438,887,438,887,438,887,438,887,438,887,438,887,438,887,438,887.0,438.0,887.0,438.0,887.0,438.0,887.0,438.0,1.0,1.0
