eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
a16de4f1-5a7c-4a86-a84e-6c0745ccca8b,1,False,"[(285, 308)]",870,892,274,290,870,288,587,593,285,593,285,593,285,593,285,593,285,593,285,593,285,593,285,593,285,593,285,593,285,593.0,285.0,593.0,285.0,593.0,285.0,593.0,285.0,1.010221465076661,1.010221465076661
a16de4f1-5a7c-4a86-a84e-6c0745ccca8b,1,False,"[(308, 285)]",892,870,290,274,892,299,587,593,308,593,308,593,308,593,308,593,308,593,308,593,308,593,308,593,308,593,308,593,308,593.0,308.0,593.0,308.0,593.0,308.0,593.0,308.0,1.010221465076661,1.010221465076661
96710ff5-144f-4d8a-aa33-3bfd7a07341d,22,False,"[(72, 61)]",266,232,54,47,266,72,133,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133.0,72.0,133.0,72.0,133.0,72.0,133.0,72.0,1.0,1.0
96710ff5-144f-4d8a-aa33-3bfd7a07341d,22,False,"[(61, 72)]",232,266,47,54,232,61,133,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133.0,61.0,133.0,61.0,133.0,61.0,133.0,61.0,1.0,1.0
36022b08-1a86-42a8-8bd2-a7f43beb3239,11,False,"[(78, 67)]",266,232,60,47,266,78,145,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145.0,78.0,145.0,78.0,145.0,78.0,145.0,78.0,1.0,1.0
36022b08-1a86-42a8-8bd2-a7f43beb3239,11,False,"[(67, 78)]",232,266,47,60,232,67,145,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145.0,67.0,145.0,67.0,145.0,67.0,145.0,67.0,1.0,1.0
a83c4c90-3505-4cbb-91da-797614632d7b,23,False,"[(88, 111), (94, 105), (106, 95)]",276,254,70,66,276,91,193,199,88,199,94,199,88,199,88,199,94,201,106,201,106,199,94,199,94,199,88,199,88,201.0,106.0,199.4889,96.93350000000001,199.2668,95.60059999999999,199.0,88.0,1.0414507772020725,1.0310880829015545
a83c4c90-3505-4cbb-91da-797614632d7b,23,False,"[(111, 88), (105, 94), (95, 106)]",254,276,66,70,254,102,193,199,111,199,105,199,111,199,111,199,105,201,95,201,95,199,105,199,105,199,111,199,111,201.0,95.0,199.4889,102.55539999999999,199.2668,103.6662,199.0,111.0,1.0414507772020725,1.0310880829015545
a33e1e22-af08-4ac2-baad-7dc2a9cbe8b7,0,False,"[(125, 148)]",342,376,111,121,342,128,267,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273.0,125.0,273.0,125.0,273.0,125.0,273.0,125.0,1.0224719101123596,1.0224719101123596
a33e1e22-af08-4ac2-baad-7dc2a9cbe8b7,0,False,"[(148, 125)]",376,342,121,111,376,139,267,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273.0,148.0,273.0,148.0,273.0,148.0,273.0,148.0,1.0224719101123596,1.0224719101123596
