eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
5e29f8e5-a5bd-4c2f-81c5-d427be71dd90,22,False,"[(93, 126)]",331,387,79,90,331,93,219,219,93,219,93,219,93,219,93,219,93,219,93,219,93,219,93,219,93,219,93,219,93,219.0,93.0,219.0,93.0,219.0,93.0,219.0,93.0,1.0,1.0
5e29f8e5-a5bd-4c2f-81c5-d427be71dd90,22,False,"[(126, 93)]",387,331,90,79,387,126,219,219,126,219,126,219,126,219,126,219,126,219,126,219,126,219,126,219,126,219,126,219,126,219.0,126.0,219.0,126.0,219.0,126.0,219.0,126.0,1.0,1.0
f058be95-5cc2-4810-bb11-814be1199af0,0,False,"[(109, 98), (96, 107)]",331,377,82,89,331,96,203,203,96,203,96,203,96,203,96,207,109,203,96,203,96,203,96,203,96,207,109,203,96,203.0,96.0,203.0,96.0,204.47339999999997,100.7884,203.0,96.0,1.019704433497537,1.0
f058be95-5cc2-4810-bb11-814be1199af0,0,False,"[(98, 109), (107, 96)]",377,331,89,82,377,107,203,203,107,203,107,203,107,203,107,207,98,203,107,203,107,203,107,203,107,207,98,203,107,203.0,107.0,203.0,107.0,204.47339999999997,103.685,203.0,107.0,1.019704433497537,1.0
77ce2693-0a99-40cb-ad56-07a63c43ab28,0,False,"[(123, 146), (157, 134)]",331,377,112,124,331,126,263,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,291,157,269,123,269.0,123.0,269.0,123.0,274.10429999999997,130.8885,269.0,123.0,1.1064638783269962,1.0228136882129277
77ce2693-0a99-40cb-ad56-07a63c43ab28,0,False,"[(146, 123), (134, 157)]",377,331,124,112,377,137,263,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,291,134,269,146,269.0,146.0,269.0,146.0,274.10429999999997,143.2158,269.0,146.0,1.1064638783269962,1.0228136882129277
b49a7d85-bfe4-4b57-9194-69d8cedb0147,22,False,"[(220, 529)]",695,981,211,297,695,223,743,749,220,749,220,749,220,749,220,749,220,749,220,749,220,749,220,749,220,749,220,749,220,749.0,220.0,749.0,220.0,749.0,220.0,749.0,220.0,1.0080753701211305,1.0080753701211305
b49a7d85-bfe4-4b57-9194-69d8cedb0147,22,False,"[(529, 220)]",981,695,297,211,981,520,743,749,529,749,529,749,529,749,529,749,529,749,529,749,529,749,529,749,529,749,529,749,529,749.0,529.0,749.0,529.0,749.0,529.0,749.0,529.0,1.0080753701211305,1.0080753701211305
4d254bf6-8463-4557-983c-c13a816e37b2,11,False,"[(99, 88), (81, 92)]",331,331,70,70,331,81,173,173,81,173,81,173,81,173,81,187,99,173,81,173,81,173,81,173,81,187,99,173,81,173.0,81.0,173.0,81.0,175.60519999999997,84.3495,180.0,90.0,1.0809248554913296,1.0
4d254bf6-8463-4557-983c-c13a816e37b2,11,False,"[(88, 99), (92, 81)]",331,331,70,70,331,92,173,173,92,173,92,173,92,173,92,187,88,173,92,173,92,173,92,173,92,187,88,173,92,173.0,92.0,173.0,92.0,175.60519999999997,91.25569999999999,180.0,90.0,1.0809248554913296,1.0
