eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
b9e80970-0db2-42a0-81da-10243c0e155e,11,False,"[(104, 137), (100, 155)]",188,254,75,86,188,147,239,255,100,241,104,241,104,241,104,241,104,255,100,241,104,241,104,241,104,255,100,241,104,244.19299999999998,103.0877,241.0,104.0,241.0,104.0,255.0,100.0,1.0669456066945606,1.00836820083682
9dcf2eb5-6561-4814-bcf3-22a3897017b3,45,False,"[(179, 134), (170, 215)]",298,320,94,107,298,170,307,313,179,313,179,313,179,313,179,313,179,313,179,313,179,313,179,313,179,385,170,313,179,323.009,177.7489,313.0,179.0,313.0,179.0,366.6,172.3,1.254071661237785,1.019543973941368
9dcf2eb5-6561-4814-bcf3-22a3897017b3,45,False,"[(134, 179), (215, 170)]",320,298,107,94,320,137,307,313,134,313,134,313,134,313,134,313,134,313,134,313,134,313,134,313,134,385,215,313,134,323.009,145.2601,313.0,134.0,313.0,134.0,366.6,194.3,1.254071661237785,1.019543973941368
348735ae-2707-4bbf-b482-19ce088598c5,11,False,"[(102, 125)]",276,298,91,103,276,105,221,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227.0,102.0,227.0,102.0,227.0,102.0,227.0,102.0,1.0271493212669682,1.0271493212669682
348735ae-2707-4bbf-b482-19ce088598c5,11,False,"[(125, 102)]",298,276,103,91,298,116,221,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227.0,125.0,227.0,125.0,227.0,125.0,227.0,125.0,1.0271493212669682,1.0271493212669682
c70cd4a8-3568-41c5-89ff-9786814a1c4a,0,False,"[(57, 80), (91, 68), (88, 77)]",210,256,43,54,210,74,137,137,57,137,57,137,57,137,57,165,88,137,57,137,57,137,57,137,57,165,88,137,57,141.90910000000002,64.58680000000001,137.0,57.0,137.0,57.0,137.0,57.0,1.2043795620437956,1.0
c70cd4a8-3568-41c5-89ff-9786814a1c4a,0,False,"[(80, 57), (68, 91), (77, 88)]",256,210,54,43,256,63,137,137,80,137,80,137,80,137,80,165,77,137,80,137,80,137,80,137,80,165,77,137,80,141.90910000000002,77.32230000000001,137.0,80.0,137.0,80.0,137.0,80.0,1.2043795620437956,1.0
fdebe5b6-801d-47c5-8e97-4860a93c1669,22,False,"[(112, 431)]",310,606,98,182,310,112,543,543,112,543,112,543,112,543,112,543,112,543,112,543,112,543,112,543,112,543,112,543,112,543.0,112.0,543.0,112.0,543.0,112.0,543.0,112.0,1.0,1.0
fdebe5b6-801d-47c5-8e97-4860a93c1669,22,False,"[(431, 112)]",606,310,182,98,606,431,543,543,431,543,431,543,431,543,431,543,431,543,431,543,431,543,431,543,431,543,431,543,431,543.0,431.0,543.0,431.0,543.0,431.0,543.0,431.0,1.0,1.0
a1d19bc9-46be-40b6-8a89-40c5f2a6fa03,0,False,"[(160, 137), (120, 143)]",254,300,105,111,254,123,257,263,120,263,120,263,120,263,120,297,160,263,120,263,120,263,120,263,120,297,160,263,120,266.7323,124.39099999999999,263.0,120.0,263.0,120.0,263.0,120.0,1.1556420233463034,1.0233463035019454
a1d19bc9-46be-40b6-8a89-40c5f2a6fa03,0,False,"[(137, 160), (143, 120)]",300,254,111,105,300,134,257,263,143,263,143,263,143,263,143,297,137,263,143,263,143,263,143,263,143,297,137,263,143,266.7323,142.3413,263.0,143.0,263.0,143.0,263.0,143.0,1.1556420233463034,1.0233463035019454
047ba7df-ea6f-4513-a5d4-9bc2d7731c43,11,False,"[(99, 88), (86, 109)]",266,232,77,65,266,99,187,195,86,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,195,86,187,99,189.6497,94.6943,187.0,99.0,187.0,99.0,187.0,99.0,1.0427807486631016,1.0
047ba7df-ea6f-4513-a5d4-9bc2d7731c43,11,False,"[(88, 99), (109, 86)]",232,266,65,77,232,88,187,195,109,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,195,109,187,88,189.6497,94.9554,187.0,88.0,187.0,88.0,187.0,88.0,1.0427807486631016,1.0
9562cddb-8d2f-4b0c-841d-77b8a7449b27,11,False,"[(97, 74), (94, 83), (68, 91)]",232,232,59,60,232,68,159,159,68,159,68,159,68,159,68,177,94,159,68,159,68,159,68,159,68,177,94,159,68,163.53949999999998,78.97040000000001,159.0,68.0,159.0,68.0,165.0,82.5,1.1132075471698113,1.0
