eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
b32ee982-9d36-4c58-942a-b9a6f282593e,23,True,"[(73, 84), (80, 57)]",210,210,60,48,210,80,137,137,80,137,80,137,80,137,80,157,73,137,80,137,80,137,80,137,80,157,73,137,80,137.0,80.0,141.4906,78.4283,150.5294,75.2647,137.0,80.0,1.145985401459854,1.0
b32ee982-9d36-4c58-942a-b9a6f282593e,23,True,"[(84, 73), (57, 80)]",210,210,48,60,210,57,137,137,57,137,57,137,57,137,57,157,84,137,57,137,57,137,57,137,57,157,84,137,57,137.0,57.0,141.4906,63.0623,150.5294,75.2647,137.0,57.0,1.145985401459854,1.0
fe05b91d-418a-4e73-a162-6f5908f24753,22,False,"[(135, 112)]",310,310,103,103,310,126,241,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,247,135,1.0248962655601659,1.0248962655601659
fe05b91d-418a-4e73-a162-6f5908f24753,22,False,"[(112, 135)]",310,310,103,103,310,115,241,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,247,112,1.0248962655601659,1.0248962655601659
d83ab6a3-c81c-45cc-ab56-5e8cdcc7b3bf,0,True,"[(564, 210)]",564,210,185,57,564,303,595,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,774,564,1.3008403361344538,1.3008403361344538
d83ab6a3-c81c-45cc-ab56-5e8cdcc7b3bf,0,True,"[(210, 564)]",210,564,57,185,210,292,595,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,774,210,1.3008403361344538,1.3008403361344538
5908cf57-b372-4012-97d1-8c55e9499289,0,False,"[(647, 624)]",1278,980,485,371,1278,638,1265,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1271,647,1.0047430830039525,1.0047430830039525
5908cf57-b372-4012-97d1-8c55e9499289,0,False,"[(624, 647)]",980,1278,371,485,980,627,1265,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1271,624,1.0047430830039525,1.0047430830039525
b2a3db6b-0006-4caa-8eec-8f84431d98bf,22,False,"[(277, 254), (269, 258)]",750,750,245,245,750,268,525,531,277,527,269,527,269,527,269,527,269,527,269,527,269,527,269,527,269,531,277,527,269,527.0,269.0,528.3062,271.6124,527.0,269.0,527.0,269.0,1.0114285714285713,1.0038095238095237
b2a3db6b-0006-4caa-8eec-8f84431d98bf,22,False,"[(254, 277), (258, 269)]",750,750,245,245,750,257,525,531,254,527,258,527,258,527,258,527,258,527,258,527,258,527,258,527,258,531,254,527,258,527.0,258.0,528.3062,256.6938,527.0,258.0,527.0,258.0,1.0114285714285713,1.0038095238095237
