eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
9f316494-844a-464d-9654-3b51b83ff42b,1,False,"[(31, 20)]",67,45,13,9,67,31,51,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51.0,31.0,51.0,31.0,51.0,31.0,51.0,31.0,1.0,1.0
a6374cc5-6fde-43e3-b117-406b93b62adc,0,False,"[(32, 55)]",45,79,9,20,45,35,81,87,32,87,32,87,32,87,32,87,32,87,32,87,32,87,32,87,32,87,32,87,32,87.0,32.0,87.0,32.0,87.0,32.0,87.0,32.0,1.0740740740740742,1.0740740740740742
a6374cc5-6fde-43e3-b117-406b93b62adc,0,False,"[(55, 32)]",79,45,20,9,79,46,81,87,55,87,55,87,55,87,55,87,55,87,55,87,55,87,55,87,55,87,55,87,55,87.0,55.0,87.0,55.0,87.0,55.0,87.0,55.0,1.0740740740740742,1.0740740740740742
9571a1d3-9a68-4a5c-bde6-fd8952809112,23,True,"[(40, 29)]",45,45,9,18,45,40,69,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69.0,40.0,69.0,40.0,69.0,40.0,69.0,40.0,1.0,1.0
9571a1d3-9a68-4a5c-bde6-fd8952809112,23,True,"[(29, 40)]",45,45,18,9,45,29,69,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69.0,29.0,69.0,29.0,69.0,29.0,69.0,29.0,1.0,1.0
ba3f1a88-b3c9-44c0-856e-f19f700cde73,22,True,"[(34, 23), (42, 19)]",45,23,15,5,45,33,55,61,42,57,34,57,34,57,34,57,34,61,42,61,42,57,34,61,42,57,34,57,34,57.0,34.0,59.75,39.5,59.315799999999996,38.6316,60.6666,41.3333,1.1090909090909091,1.0363636363636364
ba3f1a88-b3c9-44c0-856e-f19f700cde73,22,True,"[(23, 34), (19, 42)]",23,45,5,15,23,22,55,61,19,57,23,57,23,57,23,57,23,61,19,61,19,57,23,61,19,57,23,57,23,57.0,23.0,59.75,20.25,59.315799999999996,20.6842,60.6666,19.3333,1.1090909090909091,1.0363636363636364
2a1ecf00-1858-4517-9c9e-43906d7888ba,12,True,"[(36, 47), (32, 55)]",45,67,18,13,45,35,81,87,32,83,36,83,36,83,36,83,36,87,32,83,36,83,36,83,36,87,32,83,36,83.0,36.0,83.5,35.5,84.7392,34.2609,86.6666,32.3333,1.0740740740740742,1.0246913580246915
2a1ecf00-1858-4517-9c9e-43906d7888ba,12,True,"[(47, 36), (55, 32)]",67,45,13,18,67,46,81,87,55,83,47,83,47,83,47,83,47,87,55,83,47,83,47,83,47,87,55,83,47,83.0,47.0,83.5,48.0,84.7392,50.478300000000004,86.6666,54.3333,1.0740740740740742,1.0246913580246915
56fa4702-ff36-4909-b314-1c977bc81928,1,True,"[(33, 56)]",67,79,22,29,67,36,83,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89,33,89.0,33.0,89.0,33.0,89.0,33.0,89.0,33.0,1.072289156626506,1.072289156626506
56fa4702-ff36-4909-b314-1c977bc81928,1,True,"[(56, 33)]",79,67,29,22,79,47,83,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89,56,89.0,56.0,89.0,56.0,89.0,56.0,89.0,56.0,1.072289156626506,1.072289156626506
b0300479-6462-4b1f-97fc-bb33c2cc4911,0,True,"[(145, 45)]",145,45,49,22,145,145,190,190,145,190,145,190,145,190,145,190,145,190,145,190,145,190,145,190,145,190,145,190,145,190.0,145.0,190.0,145.0,190.0,145.0,190.0,145.0,1.0,1.0
b0300479-6462-4b1f-97fc-bb33c2cc4911,0,True,"[(45, 145)]",45,145,22,49,45,45,190,190,45,190,45,190,45,190,45,190,45,190,45,190,45,190,45,190,45,190,45,190,45,190.0,45.0,190.0,45.0,190.0,45.0,190.0,45.0,1.0,1.0
d03083d9-a952-4e8a-a71f-707d15ad8516,1,True,"[(35, 1)]",35,1,8,1,35,17,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36.0,35.0,36.0,35.0,36.0,35.0,36.0,35.0,1.0285714285714285,1.0285714285714285
d03083d9-a952-4e8a-a71f-707d15ad8516,1,True,"[(1, 35)]",1,35,1,8,1,18,35,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36.0,1.0,36.0,1.0,36.0,1.0,36.0,1.0,1.0285714285714285,1.0285714285714285
cca2e249-24a0-4de8-a36c-6928183ff7a0,13,True,"[(35, 35)]",35,35,9,8,35,23,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
cca2e249-24a0-4de8-a36c-6928183ff7a0,13,True,"[(35, 35)]",35,35,8,9,35,34,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
869c683d-a3bb-4387-a3f8-73bf86ae27d0,12,False,"[(41, 30)]",45,57,18,21,45,41,71,71,41,71,41,71,41,71,41,71,41,71,41,71,41,71,41,71,41,71,41,71,41,71.0,41.0,71.0,41.0,71.0,41.0,71.0,41.0,1.0,1.0
869c683d-a3bb-4387-a3f8-73bf86ae27d0,12,False,"[(30, 41)]",57,45,21,18,57,30,71,71,30,71,30,71,30,71,30,71,30,71,30,71,30,71,30,71,30,71,30,71,30,71.0,30.0,71.0,30.0,71.0,30.0,71.0,30.0,1.0,1.0
5c5c877c-6266-4a48-bc81-20794f31b93b,11,True,"[(27, 38), (36, 25)]",45,45,13,18,45,36,61,61,36,61,36,61,36,61,36,65,27,61,36,61,36,61,36,61,36,65,27,61,36,61.0,36.0,62.0769,33.5769,62.7392,32.087,63.0,31.5,1.0655737704918034,1.0
