eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
61486c68-b4fb-4423-ad30-deb14566c2c2,0,False,"[(126, 103), (118, 129), (113, 136)]",409,375,94,94,409,117,223,229,126,229,126,229,126,229,126,247,118,229,126,229,126,229,126,229,126,249,113,229,126,229.0,126.0,229.0,126.0,229.0,126.0,234.3157,122.54480000000001,1.116591928251121,1.0269058295964126
bc5c420b-3314-4f93-b457-bbbc839ea932,11,False,"[(179, 134), (144, 189)]",397,353,135,123,397,170,307,313,179,313,179,313,179,313,179,313,179,313,179,313,179,313,179,313,179,333,144,313,179,313.2222,178.6111,313.0,179.0,313.0,179.0,320.1038,166.5684,1.0846905537459284,1.019543973941368
bc5c420b-3314-4f93-b457-bbbc839ea932,11,False,"[(134, 179), (189, 144)]",353,397,123,135,353,137,307,313,134,313,134,313,134,313,134,313,134,313,134,313,134,313,134,313,134,333,189,313,134,313.2222,134.6111,313.0,134.0,313.0,134.0,320.1038,153.5354,1.0846905537459284,1.019543973941368
f8b87cfc-ba19-4c77-8eef-ffba3086db95,1,False,"[(175, 152), (167, 156), (149, 160), (140, 163)]",475,463,129,136,475,143,297,303,140,309,149,303,140,303,140,323,167,323,167,309,149,303,140,303,140,327,175,303,140,321.17639999999994,166.58819999999997,303.0,140.0,303.0,140.0,308.81230000000005,148.7185,1.101010101010101,1.02020202020202
f8b87cfc-ba19-4c77-8eef-ffba3086db95,1,False,"[(152, 175), (156, 167), (160, 149), (163, 140)]",463,475,136,129,463,154,297,303,163,309,160,303,163,303,163,323,156,323,156,309,160,303,163,303,163,327,152,303,163,321.17639999999994,154.58819999999997,303.0,163.0,303.0,163.0,308.81230000000005,160.0938,1.101010101010101,1.02020202020202
a4629998-f639-4b4e-9552-9d586ae29644,0,False,"[(117, 94), (88, 111)]",353,387,77,85,353,88,199,199,88,199,88,199,88,199,88,211,117,199,88,199,88,199,88,199,88,211,117,199,88,199.0,88.0,199.0,88.0,199.0,88.0,203.15790000000004,98.0481,1.0603015075376885,1.0
a4629998-f639-4b4e-9552-9d586ae29644,0,False,"[(94, 117), (111, 88)]",387,353,85,77,387,111,199,199,111,199,111,199,111,199,111,211,94,199,111,199,111,199,111,199,111,211,94,199,111,199.0,111.0,199.0,111.0,199.0,111.0,203.15790000000004,105.1098,1.0603015075376885,1.0
b86ad6e0-08c0-4cba-add0-867cd30a16a1,0,False,"[(470, 447)]",1169,1013,407,341,1169,461,911,917,470,917,470,917,470,917,470,917,470,917,470,917,470,917,470,917,470,917,470,917,470,917.0,470.0,917.0,470.0,917.0,470.0,917.0,470.0,1.0065861690450055,1.0065861690450055
b86ad6e0-08c0-4cba-add0-867cd30a16a1,0,False,"[(447, 470)]",1013,1169,341,407,1013,450,911,917,447,917,447,917,447,917,447,917,447,917,447,917,447,917,447,917,447,917,447,917,447,917.0,447.0,917.0,447.0,917.0,447.0,917.0,447.0,1.0065861690450055,1.0065861690450055
596a3ef6-7e4c-43e9-8759-658f696cb146,23,True,"[(453, 859)]",453,859,147,278,453,453,1312,1312,453,1312,453,1312,453,1312,453,1312,453,1312,453,1312,453,1312,453,1312,453,1312,453,1312,453,1312.0,453.0,1312.0,453.0,1312.0,453.0,1312.0,453.0,1.0,1.0
