eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d70d1c28-bc6f-4b93-97ed-899ed3f7a00b,12,False,"[(62, 73), (71, 60)]",210,222,51,51,210,71,131,131,71,131,71,131,71,131,71,135,62,135,62,135,62,131,71,131,71,135,62,131,71,131.0,71.0,132.7244,67.12,135.0,62.0,131.0,71.0,1.0305343511450382,1.0
d70d1c28-bc6f-4b93-97ed-899ed3f7a00b,12,False,"[(73, 62), (60, 71)]",222,210,51,51,222,60,131,131,60,131,60,131,60,131,60,135,73,135,73,135,73,131,60,131,60,135,73,131,60,131.0,60.0,132.7244,65.6044,135.0,73.0,131.0,60.0,1.0305343511450382,1.0
98190fe2-7087-48d2-bf0d-59b465f14022,22,False,"[(132, 87), (93, 138)]",232,222,79,78,232,123,213,219,132,219,132,219,132,219,132,219,132,219,132,219,132,219,132,219,132,231,93,219,132,219.49790000000002,130.3818,224.11419999999998,115.3791,223.6666,116.8333,219.0,132.0,1.0845070422535212,1.028169014084507
98190fe2-7087-48d2-bf0d-59b465f14022,22,False,"[(87, 132), (138, 93)]",222,232,78,79,222,90,213,219,87,219,87,219,87,219,87,219,87,219,87,219,87,219,87,219,87,231,138,219,87,219.49790000000002,89.1161,224.11419999999998,108.7351,223.6666,106.8333,219.0,87.0,1.0845070422535212,1.028169014084507
8460de9f-f90b-46bb-a5ac-68ae2c7da379,1,False,"[(72, 83), (68, 91)]",210,222,59,59,210,71,153,159,68,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,159,68,155,72,155.0,72.0,156.31439999999998,70.6856,155.3334,71.6667,155.0,72.0,1.0392156862745099,1.0130718954248366
8460de9f-f90b-46bb-a5ac-68ae2c7da379,1,False,"[(83, 72), (91, 68)]",222,210,59,59,222,82,153,159,91,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,159,91,155,83,155.0,83.0,156.31439999999998,85.6288,155.3334,83.6667,155.0,83.0,1.0392156862745099,1.0130718954248366
3b0afde6-2650-4995-b485-2b0ed0b77ee9,23,False,"[(265, 288), (269, 280)]",562,430,224,154,562,268,547,553,265,549,269,549,269,549,269,549,269,549,269,549,269,549,269,549,269,553,265,549,269,549.0,269.0,549.8063999999999,268.1935,549.0,269.0,549.0,269.0,1.0109689213893966,1.0036563071297988
3b0afde6-2650-4995-b485-2b0ed0b77ee9,23,False,"[(288, 265), (280, 269)]",430,562,154,224,430,279,547,553,288,549,280,549,280,549,280,549,280,549,280,549,280,549,280,549,280,553,288,549,280,549.0,280.0,549.8063999999999,281.6129,549.0,280.0,549.0,280.0,1.0109689213893966,1.0036563071297988
25432fb3-aaa6-4973-a43c-11622066cb25,11,False,"[(217, 206)]",562,540,199,192,562,217,423,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,423,217,1.0,1.0
25432fb3-aaa6-4973-a43c-11622066cb25,11,False,"[(206, 217)]",540,562,192,199,540,206,423,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,423,206,1.0,1.0
