eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
3115e897-c9c6-4b06-bc25-dcddc84cc72a,22,False,"[(104, 137), (95, 150)]",320,376,72,94,320,104,241,245,95,241,104,241,104,241,104,241,104,245,95,241,104,241,104,241,104,245,95,241,104,241.0,104.0,242.69510000000002,100.18620000000001,241.0,104.0,245.0,95.0,1.016597510373444,1.0
3115e897-c9c6-4b06-bc25-dcddc84cc72a,22,False,"[(137, 104), (150, 95)]",376,320,94,72,376,137,241,245,150,241,137,241,137,241,137,241,137,245,150,241,137,241,137,241,137,245,150,241,137,241.0,137.0,242.69510000000002,142.5089,241.0,137.0,245.0,150.0,1.016597510373444,1.0
6d3212c7-9b2d-49a1-8b45-53a0bdd41114,23,False,"[(83, 106), (109, 98)]",320,320,79,74,320,86,183,189,83,189,83,189,83,189,83,207,109,189,83,189,83,189,83,189,83,207,109,189,83,189.0,83.0,193.45069999999998,89.4288,189.0,83.0,201.1764,100.5882,1.1311475409836065,1.0327868852459017
6d3212c7-9b2d-49a1-8b45-53a0bdd41114,23,False,"[(106, 83), (98, 109)]",320,320,74,79,320,97,183,189,106,189,106,189,106,189,106,207,98,189,106,189,106,189,106,189,106,207,98,189,106,189.0,106.0,193.45069999999998,104.02189999999999,189.0,106.0,201.1764,100.5882,1.1311475409836065,1.0327868852459017
f177dafb-41d4-478e-a046-08a79046e5b3,22,False,"[(130, 107), (122, 111), (102, 113)]",342,354,93,93,342,102,215,215,102,215,102,215,102,215,102,233,122,215,102,215,102,215,102,215,102,237,130,215,102,215.0,102.0,218.79129999999998,106.8253,215.0,102.0,215.0,102.0,1.1023255813953488,1.0
f177dafb-41d4-478e-a046-08a79046e5b3,22,False,"[(107, 130), (111, 122), (113, 102)]",354,342,93,93,354,113,215,215,113,215,113,215,113,215,113,233,111,215,113,215,113,215,113,215,113,237,107,215,113,215.0,113.0,218.79129999999998,111.96600000000001,215.0,113.0,215.0,113.0,1.1023255813953488,1.0
f46b2faa-53c0-420e-8d83-2a638b4031fd,0,False,"[(71, 94), (88, 65), (75, 86), (80, 69)]",300,254,61,51,300,79,147,153,88,149,80,149,80,149,80,161,75,153,88,149,80,149,80,149,80,165,71,149,80,149.0,80.0,150.69129999999996,79.0486,149.0,80.0,153.0,88.0,1.1224489795918366,1.0136054421768708
f46b2faa-53c0-420e-8d83-2a638b4031fd,0,False,"[(94, 71), (65, 88), (86, 75), (69, 80)]",254,300,51,61,254,68,147,153,65,149,69,149,69,149,69,161,86,153,65,149,69,149,69,149,69,165,94,149,69,149.0,69.0,150.69129999999996,71.64269999999999,149.0,69.0,153.0,65.0,1.1224489795918366,1.0136054421768708
ef41d3df-ac46-4cbf-b705-240ecb37ae9f,22,False,"[(95, 84)]",320,332,75,75,320,95,179,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179,95,179.0,95.0,179.0,95.0,179.0,95.0,179.0,95.0,1.0,1.0
ef41d3df-ac46-4cbf-b705-240ecb37ae9f,22,False,"[(84, 95)]",332,320,75,75,332,84,179,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179,84,179.0,84.0,179.0,84.0,179.0,84.0,179.0,84.0,1.0,1.0
aab17994-5bdd-49ef-bdf6-895f07675fe3,0,False,"[(160, 183)]",562,608,146,156,562,163,337,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343.0,160.0,343.0,160.0,343.0,160.0,343.0,160.0,1.0178041543026706,1.0178041543026706
