eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
1a4635d1-8fd4-4075-9781-c0bf74469e30,22,False,"[(371, 338), (389, 334)]",452,442,132,126,452,371,709,723,389,709,371,709,371,709,371,709,371,709,371,709,371,709,371,709,371,723,389,709,371,709.0,371.0,709.0,371.0,711.0,373.5714,709.0,371.0,1.0197461212976022,1.0
1a4635d1-8fd4-4075-9781-c0bf74469e30,22,False,"[(338, 371), (334, 389)]",442,452,126,132,442,338,709,723,334,709,338,709,338,709,338,709,338,709,338,709,338,709,338,709,338,723,334,709,338,709.0,338.0,709.0,338.0,711.0,337.4286,709.0,338.0,1.0197461212976022,1.0
f3db5ca0-a34a-4f71-89a6-b1627f89e343,22,False,"[(220, 197), (211, 200), (194, 217)]",640,640,171,180,640,194,411,411,194,411,211,411,211,411,211,411,211,411,211,411,211,411,211,411,211,417,220,411,211,411.0,205.46589999999998,411.0,211.0,411.0,204.0337,411.0,205.5,1.0145985401459854,1.0
f3db5ca0-a34a-4f71-89a6-b1627f89e343,22,False,"[(197, 220), (200, 211), (217, 194)]",640,640,180,171,640,217,411,411,217,411,200,411,200,411,200,411,200,411,200,411,200,411,200,411,200,417,197,411,200,411.0,205.53410000000002,411.0,200.0,411.0,206.9663,411.0,205.5,1.0145985401459854,1.0
e41a54c0-d9fc-42da-bc03-f8ed8cff7844,0,False,"[(179, 156)]",354,320,129,120,354,170,329,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335.0,179.0,335.0,179.0,335.0,179.0,335.0,179.0,1.0182370820668694,1.0182370820668694
e41a54c0-d9fc-42da-bc03-f8ed8cff7844,0,False,"[(156, 179)]",320,354,120,129,320,159,329,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335.0,156.0,335.0,156.0,335.0,156.0,335.0,156.0,1.0182370820668694,1.0182370820668694
56e61b96-938c-4b3f-8c6d-bf0e015deb84,22,False,"[(188, 155)]",332,276,98,78,332,170,329,343,188,343,188,343,188,343,188,343,188,343,188,343,188,343,188,343,188,343,188,343,188,343.0,188.0,343.0,188.0,343.0,188.0,343.0,188.0,1.0425531914893618,1.0425531914893618
56e61b96-938c-4b3f-8c6d-bf0e015deb84,22,False,"[(155, 188)]",276,332,78,98,276,159,329,343,155,343,155,343,155,343,155,343,155,343,155,343,155,343,155,343,155,343,155,343,155,343.0,155.0,343.0,155.0,343.0,155.0,343.0,155.0,1.0425531914893618,1.0425531914893618
2467c932-5a8d-4e74-bf43-6598ae5a4292,22,False,"[(478, 467)]",1608,1574,462,444,1608,478,945,945,478,945,478,945,478,945,478,945,478,945,478,945,478,945,478,945,478,945,478,945,478,945.0,478.0,945.0,478.0,945.0,478.0,945.0,478.0,1.0,1.0
2467c932-5a8d-4e74-bf43-6598ae5a4292,22,False,"[(467, 478)]",1574,1608,444,462,1574,467,945,945,467,945,467,945,467,945,467,945,467,945,467,945,467,945,467,945,467,945,467,945,467,945.0,467.0,945.0,467.0,945.0,467.0,945.0,467.0,1.0,1.0
