eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
6e19fe3b-d385-4dfb-afd6-ed0f96ff425a,1,False,"[(121, 98)]",365,353,103,87,365,121,219,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219.0,121.0,219.0,121.0,219.0,121.0,219.0,121.0,1.0,1.0
6e19fe3b-d385-4dfb-afd6-ed0f96ff425a,1,False,"[(98, 121)]",353,365,87,103,353,98,219,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219.0,98.0,219.0,98.0,219.0,98.0,219.0,98.0,1.0,1.0
3991e634-378b-488f-ae30-ef4ad871b09e,0,False,"[(117, 140)]",375,421,106,120,375,117,257,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257.0,117.0,257.0,117.0,257.0,117.0,257.0,117.0,1.0,1.0
3991e634-378b-488f-ae30-ef4ad871b09e,0,False,"[(140, 117)]",421,375,120,106,421,140,257,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257.0,140.0,257.0,140.0,257.0,140.0,257.0,140.0,1.0,1.0
a634c7c8-f223-44c3-ac8a-ef6f8e8524f4,0,False,"[(94, 71), (86, 97)]",355,309,76,57,355,85,159,165,94,165,94,165,94,165,94,183,86,165,94,165,94,165,94,165,94,183,86,165,94,168.85170000000005,92.28820000000002,165.0,94.0,165.0,94.0,165.0,94.0,1.150943396226415,1.0377358490566038
a634c7c8-f223-44c3-ac8a-ef6f8e8524f4,0,False,"[(71, 94), (97, 86)]",309,355,57,76,309,74,159,165,71,165,71,165,71,165,71,183,97,165,71,165,71,165,71,165,71,183,97,165,71,168.85170000000005,76.5635,165.0,71.0,165.0,71.0,165.0,71.0,1.150943396226415,1.0377358490566038
db6c718d-182f-47fc-8d29-21f00d95b855,22,False,"[(99, 122)]",365,353,91,99,365,99,221,221,99,221,99,221,99,221,99,221,99,221,99,221,99,221,99,221,99,221,99,221,99,221.0,99.0,221.0,99.0,221.0,99.0,221.0,99.0,1.0,1.0
db6c718d-182f-47fc-8d29-21f00d95b855,22,False,"[(122, 99)]",353,365,99,91,353,122,221,221,122,221,122,221,122,221,122,221,122,221,122,221,122,221,122,221,122,221,122,221,122,221.0,122.0,221.0,122.0,221.0,122.0,221.0,122.0,1.0,1.0
5be9bf02-265f-4ae5-924b-b385f92a4b01,22,False,"[(143, 120)]",387,387,120,111,387,134,257,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263.0,143.0,263.0,143.0,263.0,143.0,263.0,143.0,1.0233463035019454,1.0233463035019454
5be9bf02-265f-4ae5-924b-b385f92a4b01,22,False,"[(120, 143)]",387,387,111,120,387,123,257,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263.0,120.0,263.0,120.0,263.0,120.0,263.0,120.0,1.0233463035019454,1.0233463035019454
