eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
8996a083-8ede-4732-abed-23eec8561235,22,False,"[(41, 52), (59, 48)]",134,134,27,34,134,41,93,93,41,93,41,93,41,93,41,93,41,93,41,93,41,93,41,93,41,107,59,93,41,95.71249999999998,44.4875,100.0,50.0,93.0,41.0,93.0,41.0,1.1505376344086022,1.0
8996a083-8ede-4732-abed-23eec8561235,22,False,"[(52, 41), (48, 59)]",134,134,34,27,134,52,93,93,52,93,52,93,52,93,52,93,52,93,52,93,52,93,52,93,52,107,48,93,52,95.71249999999998,51.224999999999994,100.0,50.0,93.0,52.0,93.0,52.0,1.1505376344086022,1.0
49d65cb1-b46c-463b-bd39-073f60fbf854,0,False,"[(36, 25), (44, 21)]",80,34,17,7,80,35,59,65,44,61,36,61,36,61,36,61,36,65,44,65,44,65,44,65,44,61,36,61,36,63.5143,41.0286,65.0,44.0,65.0,44.0,61.0,36.0,1.1016949152542372,1.0338983050847457
49d65cb1-b46c-463b-bd39-073f60fbf854,0,False,"[(25, 36), (21, 44)]",34,80,7,17,34,24,59,65,21,61,25,61,25,61,25,61,25,65,21,65,21,65,21,65,21,61,25,61,25,63.5143,22.4857,65.0,21.0,65.0,21.0,61.0,25.0,1.1016949152542372,1.0338983050847457
bc822385-57c4-48f9-a6c3-ba64b93efb68,0,False,"[(52, 75)]",122,156,32,57,122,55,121,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127.0,52.0,127.0,52.0,127.0,52.0,127.0,52.0,1.0495867768595042,1.0495867768595042
bc822385-57c4-48f9-a6c3-ba64b93efb68,0,False,"[(75, 52)]",156,122,57,32,156,66,121,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127.0,75.0,127.0,75.0,127.0,75.0,127.0,75.0,1.0495867768595042,1.0495867768595042
bb963d10-5129-4dc5-bcc1-48a4e446d7fd,0,False,"[(40, 51), (36, 59)]",100,146,27,30,100,39,89,95,36,91,40,91,40,91,40,91,40,95,36,91,40,91,40,91,40,95,36,91,40,92.70410000000001,38.296,95.0,36.0,91.0,40.0,91.0,40.0,1.0674157303370786,1.0224719101123596
bb963d10-5129-4dc5-bcc1-48a4e446d7fd,0,False,"[(51, 40), (59, 36)]",146,100,30,27,146,50,89,95,59,91,51,91,51,91,51,91,51,95,59,91,51,91,51,91,51,95,59,91,51,92.70410000000001,54.408100000000005,95.0,59.0,91.0,51.0,91.0,51.0,1.0674157303370786,1.0224719101123596
c32cbfd7-e77f-4c23-b5f7-7ac6ea4115da,22,False,"[(349, 84)]",420,178,163,75,420,340,427,433,349,433,349,433,349,433,349,433,349,433,349,433,349,433,349,433,349,433,349,433,349,433.0,349.0,433.0,349.0,433.0,349.0,433.0,349.0,1.0140515222482436,1.0140515222482436
c32cbfd7-e77f-4c23-b5f7-7ac6ea4115da,22,False,"[(84, 349)]",178,420,75,163,178,87,427,433,84,433,84,433,84,433,84,433,84,433,84,433,84,433,84,433,84,433,84,433,84,433.0,84.0,433.0,84.0,433.0,84.0,433.0,84.0,1.0140515222482436,1.0140515222482436
