eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
2341f5de-6407-48b2-aeef-e9b7a6dc6b8f,0,False,"[(108, 119), (117, 106), (125, 102)]",355,309,107,91,355,116,221,227,125,223,117,223,117,223,117,227,108,227,125,223,117,223,117,223,117,227,108,223,117,223.0,117.0,227.0,125.0,223.6898,115.44800000000001,223.0,117.0,1.0271493212669682,1.009049773755656
2341f5de-6407-48b2-aeef-e9b7a6dc6b8f,0,False,"[(119, 108), (106, 117), (102, 125)]",309,355,91,107,309,105,221,227,102,223,106,223,106,223,106,227,119,227,102,223,106,223,106,223,106,227,119,223,106,223.0,106.0,227.0,102.0,223.6898,108.24180000000001,223.0,106.0,1.0271493212669682,1.009049773755656
69f946f3-d122-4e33-9393-279f20639f9a,11,False,"[(137, 126)]",485,463,116,112,485,137,263,263,137,263,137,263,137,263,137,263,137,263,137,263,137,263,137,263,137,263,137,263,137,263.0,137.0,263.0,137.0,263.0,137.0,263.0,137.0,1.0,1.0
69f946f3-d122-4e33-9393-279f20639f9a,11,False,"[(126, 137)]",463,485,112,116,463,126,263,263,126,263,126,263,126,263,126,263,126,263,126,263,126,263,126,263,126,263,126,263,126,263.0,126.0,263.0,126.0,263.0,126.0,263.0,126.0,1.0,1.0
168cd7d8-4a3a-44c5-9de9-68324f82e82f,23,True,"[(116, 105), (99, 122), (124, 101), (108, 119)]",375,375,85,94,375,102,215,221,99,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,227,108,221,116,221.0,116.0,221.0,110.5,221.0,109.53820000000002,221.0,110.49990000000003,1.0558139534883721,1.027906976744186
168cd7d8-4a3a-44c5-9de9-68324f82e82f,23,True,"[(105, 116), (122, 99), (101, 124), (119, 108)]",375,375,94,85,375,113,215,221,122,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,227,119,221,105,221.0,105.0,221.0,110.5,221.0,111.46179999999998,221.0,110.50009999999997,1.0558139534883721,1.027906976744186
6ea46f4e-56dd-4326-a3f2-658f072632bb,0,False,"[(99, 110), (103, 80)]",355,309,76,66,355,94,177,183,103,183,103,183,103,183,103,209,99,183,103,183,103,183,103,183,103,209,99,183,103,183.0,103.0,183.0,103.0,185.7706,102.5738,183.0,103.0,1.1807909604519775,1.0338983050847457
6ea46f4e-56dd-4326-a3f2-658f072632bb,0,False,"[(110, 99), (80, 103)]",309,355,66,76,309,83,177,183,80,183,80,183,80,183,80,209,110,183,80,183,80,183,80,183,80,209,110,183,80,183.0,80.0,183.0,80.0,185.7706,83.1968,183.0,80.0,1.1807909604519775,1.0338983050847457
d48c3dab-6351-4bb4-921e-bcaeba673710,22,False,"[(95, 106), (103, 80)]",365,365,68,69,365,94,177,183,103,183,103,183,103,183,103,201,95,183,103,183,103,183,103,183,103,201,95,183,103,183.0,103.0,195.17639999999994,97.58819999999997,187.41290000000004,101.0387,183.0,103.0,1.1355932203389831,1.0338983050847457
d48c3dab-6351-4bb4-921e-bcaeba673710,22,False,"[(106, 95), (80, 103)]",365,365,69,68,365,83,177,183,80,183,80,183,80,183,80,201,106,183,80,183,80,183,80,183,80,201,106,183,80,183.0,80.0,195.17639999999994,97.58819999999997,187.41290000000004,86.37419999999997,183.0,80.0,1.1355932203389831,1.0338983050847457
3cfe1957-78bc-47a6-b451-83ca2d613c4a,1,False,"[(533, 510)]",1993,1981,505,496,1993,533,1043,1043,533,1043,533,1043,533,1043,533,1043,533,1043,533,1043,533,1043,533,1043,533,1043,533,1043,533,1043.0,533.0,1043.0,533.0,1043.0,533.0,1043.0,533.0,1.0,1.0
3cfe1957-78bc-47a6-b451-83ca2d613c4a,1,False,"[(510, 533)]",1981,1993,496,505,1981,510,1043,1043,510,1043,510,1043,510,1043,510,1043,510,1043,510,1043,510,1043,510,1043,510,1043,510,1043,510,1043.0,510.0,1043.0,510.0,1043.0,510.0,1043.0,510.0,1.0,1.0
f0acf0cd-c8b5-459c-9c23-5b320f9bd9f6,0,False,"[(197, 152)]",409,331,139,128,409,197,349,349,197,349,197,349,197,349,197,349,197,349,197,349,197,349,197,349,197,349,197,349,197,349.0,197.0,349.0,197.0,349.0,197.0,349.0,197.0,1.0,1.0
f0acf0cd-c8b5-459c-9c23-5b320f9bd9f6,0,False,"[(152, 197)]",331,409,128,139,331,152,349,349,152,349,152,349,152,349,152,349,152,349,152,349,152,349,152,349,152,349,152,349,152,349.0,152.0,349.0,152.0,349.0,152.0,349.0,152.0,1.0,1.0
4af1f9e9-4255-4f69-8cdc-fa0f08a72276,0,False,"[(118, 107)]",355,309,109,96,355,118,225,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225,118,225.0,118.0,225.0,118.0,225.0,118.0,225.0,118.0,1.0,1.0
4af1f9e9-4255-4f69-8cdc-fa0f08a72276,0,False,"[(107, 118)]",309,355,96,109,309,107,225,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225,107,225.0,107.0,225.0,107.0,225.0,107.0,225.0,107.0,1.0,1.0
3b9d16a0-be63-46d8-80cf-0ae09de3b824,12,False,"[(158, 169), (172, 149)]",375,409,122,135,375,172,321,321,172,327,158,321,172,321,172,327,158,327,158,327,158,321,172,321,172,327,158,321,172,321.0,172.0,327.0,158.0,323.7368,165.614,321.0004,171.9991,1.0186915887850467,1.0
3b9d16a0-be63-46d8-80cf-0ae09de3b824,12,False,"[(169, 158), (149, 172)]",409,375,135,122,409,149,321,321,149,327,169,321,149,321,149,327,169,327,169,327,169,321,149,321,149,327,169,321,149,321.0,149.0,327.0,169.0,323.7368,158.1228,321.0004,149.00130000000001,1.0186915887850467,1.0
