eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
ea3e9b9c-be29-4fbe-bb55-a56627748af6,22,False,"[(97, 120)]",277,277,88,88,277,100,211,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217.0,97.0,217.0,97.0,217.0,97.0,217.0,97.0,1.028436018957346,1.028436018957346
651d3615-c249-4714-a3aa-a4a33d26fc43,0,False,"[(79, 102), (104, 81)]",243,289,65,72,243,79,181,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,185,104,181,79,181.0,79.0,181.0,79.0,182.5937,88.9607,181.0,79.0,1.022099447513812,1.0
651d3615-c249-4714-a3aa-a4a33d26fc43,0,False,"[(102, 79), (81, 104)]",289,243,72,65,289,102,181,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,185,81,181,102,181.0,102.0,181.0,102.0,182.5937,93.63300000000001,181.0,102.0,1.022099447513812,1.0
9b58cecc-431f-4f28-8e9e-cc25392edb52,11,False,"[(143, 110), (114, 125), (92, 137)]",265,287,83,82,265,95,223,229,92,239,114,229,92,229,92,239,114,239,114,239,114,229,92,229,92,253,143,229,92,235.76479999999998,106.88239999999999,229.0,92.0,236.82420000000002,109.2131,229.0,92.0,1.1345291479820627,1.0269058295964126
9b58cecc-431f-4f28-8e9e-cc25392edb52,11,False,"[(110, 143), (125, 114), (137, 92)]",287,265,82,83,287,128,223,229,137,239,125,229,137,229,137,239,125,239,125,239,125,229,137,229,137,253,110,229,137,235.76479999999998,128.8824,229.0,137.0,236.82420000000002,127.6111,229.0,137.0,1.1345291479820627,1.0269058295964126
7a1d4e1d-da1f-4fa6-8c63-98f609508a85,22,False,"[(67, 100), (93, 82)]",233,243,58,62,233,67,167,167,67,175,93,167,67,167,67,175,93,167,67,175,93,167,67,167,67,175,93,167,67,171.1818,80.5909,167.0,67.0,170.332,77.82910000000001,167.0002,67.0007,1.0479041916167664,1.0
7a1d4e1d-da1f-4fa6-8c63-98f609508a85,22,False,"[(100, 67), (82, 93)]",243,233,62,58,243,100,167,167,100,175,82,167,100,167,100,175,82,167,100,175,82,167,100,167,100,175,82,167,100,171.1818,90.5909,167.0,100.0,170.332,92.50290000000001,167.0002,99.99950000000001,1.0479041916167664,1.0
e3b5d809-9fb6-4c7b-90fc-3ae6135f05f3,22,False,"[(61, 84)]",233,233,52,52,233,64,139,145,61,145,61,145,61,145,61,145,61,145,61,145,61,145,61,145,61,145,61,145,61,145.0,61.0,145.0,61.0,145.0,61.0,145.0,61.0,1.0431654676258992,1.0431654676258992
e3b5d809-9fb6-4c7b-90fc-3ae6135f05f3,22,False,"[(84, 61)]",233,233,52,52,233,75,139,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145.0,84.0,145.0,84.0,145.0,84.0,145.0,84.0,1.0431654676258992,1.0431654676258992
ef0c3c37-e639-4ed2-9974-006d6f3e5fc0,0,False,"[(75, 98)]",287,333,61,75,287,75,173,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173.0,75.0,173.0,75.0,173.0,75.0,173.0,75.0,1.0,1.0
ef0c3c37-e639-4ed2-9974-006d6f3e5fc0,0,False,"[(98, 75)]",333,287,75,61,333,98,173,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173.0,98.0,173.0,98.0,173.0,98.0,173.0,98.0,1.0,1.0
8f68eace-89ad-4d01-bacb-3c2cda304d7a,12,False,"[(479, 468)]",1387,1443,430,440,1387,479,947,947,479,947,479,947,479,947,479,947,479,947,479,947,479,947,479,947,479,947,479,947,479,947.0,479.0,947.0,479.0,947.0,479.0,947.0,479.0,1.0,1.0
8f68eace-89ad-4d01-bacb-3c2cda304d7a,12,False,"[(468, 479)]",1443,1387,440,430,1443,468,947,947,468,947,468,947,468,947,468,947,468,947,468,947,468,947,468,947,468,947,468,947,468,947.0,468.0,947.0,468.0,947.0,468.0,947.0,468.0,1.0,1.0
0d1a4d59-f335-46b5-885d-a7dae5ba170b,11,False,"[(161, 150), (148, 159)]",331,331,137,141,331,148,307,307,148,307,148,307,148,307,148,311,161,307,148,307,148,307,148,307,148,311,161,307,148,309.0,154.5,307.0,148.0,308.6471,153.3528,307.0,148.0,1.013029315960912,1.0
0d1a4d59-f335-46b5-885d-a7dae5ba170b,11,False,"[(150, 161), (159, 148)]",331,331,141,137,331,159,307,307,159,307,159,307,159,307,159,311,150,307,159,307,159,307,159,307,159,311,150,307,159,309.0,154.5,307.0,159.0,308.64689999999996,155.2942,307.0,159.0,1.013029315960912,1.0
ab713b63-49bd-4914-8b8d-56c52e7c60fb,0,False,"[(84, 95), (81, 104)]",243,289,67,77,243,84,179,185,81,179,84,179,84,179,84,179,84,185,81,179,84,179,84,179,84,185,81,179,84,185.0,81.0,179.0,84.0,180.7117,83.14410000000001,179.0,84.0,1.0335195530726258,1.0
ab713b63-49bd-4914-8b8d-56c52e7c60fb,0,False,"[(95, 84), (104, 81)]",289,243,77,67,289,95,179,185,104,179,95,179,95,179,95,179,95,185,104,179,95,179,95,179,95,185,104,179,95,185.0,104.0,179.0,95.0,180.7117,97.5676,179.0,95.0,1.0335195530726258,1.0
fb01fad6-c0fe-4f06-8759-4704a1415a41,0,False,"[(407, 384)]",1235,1189,378,364,1235,398,785,791,407,791,407,791,407,791,407,791,407,791,407,791,407,791,407,791,407,791,407,791,407,791.0,407.0,791.0,407.0,791.0,407.0,791.0,407.0,1.0076433121019108,1.0076433121019108
fb01fad6-c0fe-4f06-8759-4704a1415a41,0,False,"[(384, 407)]",1189,1235,364,378,1189,387,785,791,384,791,384,791,384,791,384,791,384,791,384,791,384,791,384,791,384,791,384,791,384,791.0,384.0,791.0,384.0,791.0,384.0,791.0,384.0,1.0076433121019108,1.0076433121019108
b665246c-209e-417e-b4e9-49bcacdc3f23,11,False,"[(153, 120), (124, 157)]",309,309,115,111,309,153,273,273,153,273,153,273,153,273,153,273,153,273,153,273,153,273,153,273,153,281,124,273,153,277.0,138.5,273.0,153.0,276.55740000000003,140.1046,273.01300000000003,152.9529,1.0293040293040292,1.0
b665246c-209e-417e-b4e9-49bcacdc3f23,11,False,"[(120, 153), (157, 124)]",309,309,111,115,309,120,273,273,120,273,120,273,120,273,120,273,120,273,120,273,120,273,120,273,120,281,157,273,120,277.0,138.5,273.0,120.0,276.55740000000003,136.4528,273.01300000000003,120.0601,1.0293040293040292,1.0
6b6ad1f2-62dc-4499-aa56-2bdb483547fd,1,False,"[(94, 83), (81, 92)]",243,277,67,78,243,81,173,173,81,173,81,173,81,173,81,177,94,173,81,173,81,173,81,173,81,177,94,173,81,173.0,81.0,173.0,81.0,174.4653,85.76230000000001,173.0,81.0,1.023121387283237,1.0
6b6ad1f2-62dc-4499-aa56-2bdb483547fd,1,False,"[(83, 94), (92, 81)]",277,243,78,67,277,92,173,173,92,173,92,173,92,173,92,177,83,173,92,173,92,173,92,173,92,177,83,173,92,173.0,92.0,173.0,92.0,174.4653,88.703,173.0,92.0,1.023121387283237,1.0
7c50944f-36ae-494f-b0eb-01bc6ab16cf0,0,True,"[(322, 345)]",375,585,127,219,375,325,661,667,322,667,322,667,322,667,322,667,322,667,322,667,322,667,322,667,322,667,322,667,322,667.0,322.0,667.0,322.0,667.0,322.0,667.0,322.0,1.0090771558245084,1.0090771558245084
7c50944f-36ae-494f-b0eb-01bc6ab16cf0,0,True,"[(345, 322)]",585,375,219,127,585,336,661,667,345,667,345,667,345,667,345,667,345,667,345,667,345,667,345,667,345,667,345,667,345,667.0,345.0,667.0,345.0,667.0,345.0,667.0,345.0,1.0090771558245084,1.0090771558245084
6fcf8ea9-ddff-4da9-9df2-9d6b0b778a6e,22,False,"[(75, 86), (71, 94), (100, 77)]",233,233,62,62,233,74,159,165,71,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,177,100,161,75,166.1764,83.0882,161.0,75.0,163.4905,78.8914,161.0,75.0,1.1132075471698113,1.0125786163522013
6fcf8ea9-ddff-4da9-9df2-9d6b0b778a6e,22,False,"[(86, 75), (94, 71), (77, 100)]",233,233,62,62,233,85,159,165,94,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,177,77,161,86,166.1764,83.0882,161.0,86.0,163.4905,84.59909999999999,161.0,86.0,1.1132075471698113,1.0125786163522013
2fc72e8a-322a-431d-9462-732dbba6a66d,12,False,"[(99, 88), (90, 101)]",309,321,79,79,309,99,187,187,99,187,99,187,99,187,99,187,99,191,90,191,90,187,99,187,99,191,90,187,99,191.0,90.0,187.0,99.0,188.6966,95.18260000000001,187.0,99.0,1.0213903743315509,1.0
2fc72e8a-322a-431d-9462-732dbba6a66d,12,False,"[(88, 99), (101, 90)]",321,309,79,79,321,88,187,187,88,187,88,187,88,187,88,187,88,191,101,191,101,187,88,187,88,191,101,187,88,191.0,101.0,187.0,88.0,188.6966,93.51400000000001,187.0,88.0,1.0213903743315509,1.0
e1efa9fe-7f05-4f60-9fdd-c27513812e1c,22,False,"[(409, 386)]",1135,1135,381,377,1135,400,789,795,409,795,409,795,409,795,409,795,409,795,409,795,409,795,409,795,409,795,409,795,409,795.0,409.0,795.0,409.0,795.0,409.0,795.0,409.0,1.0076045627376427,1.0076045627376427
e1efa9fe-7f05-4f60-9fdd-c27513812e1c,22,False,"[(386, 409)]",1135,1135,377,381,1135,389,789,795,386,795,386,795,386,795,386,795,386,795,386,795,386,795,386,795,386,795,386,795,386,795.0,386.0,795.0,386.0,795.0,386.0,795.0,386.0,1.0076045627376427,1.0076045627376427
