eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
fcdb4e00-9813-4ad2-8965-4ca0d26f2fed,1,False,"[(148, 125)]",365,353,120,114,365,139,267,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,273,148,1.0224719101123596,1.0224719101123596
fcdb4e00-9813-4ad2-8965-4ca0d26f2fed,1,False,"[(125, 148)]",353,365,114,120,353,128,267,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,273,125,1.0224719101123596,1.0224719101123596
9e801c29-c9e9-4a16-9048-24012fc06367,22,False,"[(177, 188), (186, 175)]",629,595,177,161,629,186,361,361,186,361,186,361,186,361,186,365,177,361,186,361,186,361,186,361,186,365,177,361,186,361.0,186.0,362.5659,182.4768,361.0,186.0,361.0,186.0,1.0110803324099722,1.0
9e801c29-c9e9-4a16-9048-24012fc06367,22,False,"[(188, 177), (175, 186)]",595,629,161,177,595,175,361,361,175,361,175,361,175,361,175,365,188,361,175,361,175,361,175,361,175,365,188,361,175,361.0,175.0,362.5659,180.0891,361.0,175.0,361.0,175.0,1.0110803324099722,1.0
fc14565b-1d5d-4ff4-b325-dbcc937779ff,22,False,"[(229, 162), (188, 221)]",409,419,161,139,409,220,385,391,229,409,188,391,229,391,229,409,188,409,188,409,188,391,229,391,229,409,188,391,229,391.0422,228.9037,399.0449,210.6756,404.86,197.43,391.0,229.0,1.0623376623376624,1.0155844155844156
fc14565b-1d5d-4ff4-b325-dbcc937779ff,22,False,"[(162, 229), (221, 188)]",419,409,139,161,419,165,385,391,162,409,221,391,162,391,162,409,221,409,221,409,221,391,162,391,162,409,221,391,162,391.0422,162.1385,399.0449,188.3693,404.86,207.43,391.0,162.0,1.0623376623376624,1.0155844155844156
4ce1e09c-91b2-4dab-be03-e7a8c64f1c62,23,False,"[(164, 119), (107, 152)]",343,287,96,105,343,110,253,259,107,259,107,259,107,259,107,283,164,283,164,283,164,259,107,259,107,283,164,259,107,259.5934,108.4093,269.76430000000005,132.5653,283.0,164.0,259.0,107.0,1.1185770750988142,1.023715415019763
4ce1e09c-91b2-4dab-be03-e7a8c64f1c62,23,False,"[(119, 164), (152, 107)]",287,343,105,96,287,143,253,259,152,259,152,259,152,259,152,283,119,283,119,283,119,259,152,259,152,283,119,259,152,259.5934,151.1841,269.76430000000005,137.199,283.0,119.0,259.0,152.0,1.1185770750988142,1.023715415019763
1ac8de01-1a73-4e3f-9db6-58fb180d9c50,22,False,"[(153, 176)]",365,365,153,135,365,156,323,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,1.0185758513931888,1.0185758513931888
1ac8de01-1a73-4e3f-9db6-58fb180d9c50,22,False,"[(176, 153)]",365,365,135,153,365,167,323,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,1.0185758513931888,1.0185758513931888
26d6b866-5b17-47ed-8105-217f0b574db4,11,False,"[(351, 340)]",639,463,192,133,639,351,691,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,691,351,1.0,1.0
26d6b866-5b17-47ed-8105-217f0b574db4,11,False,"[(340, 351)]",463,639,133,192,463,340,691,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,691,340,1.0,1.0
493a7a5e-ab5c-445e-866a-40cc4410f3e3,22,False,"[(106, 95)]",353,365,83,86,353,106,201,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,1.0,1.0
493a7a5e-ab5c-445e-866a-40cc4410f3e3,22,False,"[(95, 106)]",365,353,86,83,365,95,201,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,1.0,1.0
6c2f81aa-1bc1-4578-b5f8-ea3fad22b21c,0,False,"[(92, 115), (101, 112), (111, 88)]",333,287,81,75,333,102,193,199,111,199,111,199,111,199,111,213,101,199,111,199,111,199,111,199,111,213,101,199,111,199.0,111.0,201.9401,104.0172,199.0,111.0,199.0,111.0,1.1036269430051813,1.0310880829015545
