eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
acd9ee05-2a38-4eba-9f60-6f14bb6a16af,12,False,"[(380, 391), (398, 387)]",782,936,242,314,782,380,771,771,380,771,380,771,380,771,380,771,380,771,380,771,380,771,380,771,380,785,398,771,380,771.0,380.0,772.9593,382.5191,771.0,380.0,771.0,380.0,1.0181582360570687,1.0
acd9ee05-2a38-4eba-9f60-6f14bb6a16af,12,False,"[(391, 380), (387, 398)]",936,782,314,242,936,391,771,771,391,771,391,771,391,771,391,771,391,771,391,771,391,771,391,771,391,785,387,771,391,771.0,391.0,772.9593,390.4402,771.0,391.0,771.0,391.0,1.0181582360570687,1.0
04474c9a-67ec-4f1f-bab4-982f1e3b90be,22,False,"[(101, 78), (94, 83), (90, 101)]",288,254,74,64,288,92,173,179,101,177,94,177,94,177,94,177,94,179,101,177,94,177,94,177,94,191,90,177,94,177.0,94.0,177.2574,94.901,179.0,101.0,177.0,94.0,1.1040462427745665,1.023121387283237
04474c9a-67ec-4f1f-bab4-982f1e3b90be,22,False,"[(78, 101), (83, 94), (101, 90)]",254,288,64,74,254,81,173,179,78,177,83,177,83,177,83,177,83,179,78,177,83,177,83,177,83,191,101,177,83,177.0,83.0,177.2574,82.3564,179.0,78.0,177.0,83.0,1.1040462427745665,1.023121387283237
768f5f7e-b812-4539-9465-dfdb8673c189,11,False,"[(103, 92)]",288,254,94,78,288,103,195,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,1.0,1.0
768f5f7e-b812-4539-9465-dfdb8673c189,11,False,"[(92, 103)]",254,288,78,94,254,92,195,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,1.0,1.0
cd92ba9f-d1f4-4b03-9849-52fc873e13f7,1,False,"[(151, 184)]",386,442,128,148,386,142,329,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,335,151,1.0182370820668694,1.0182370820668694
cd92ba9f-d1f4-4b03-9849-52fc873e13f7,1,False,"[(184, 151)]",442,386,148,128,442,187,329,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,335,184,1.0182370820668694,1.0182370820668694
f0e52796-4018-4843-aaea-479a081fe157,1,False,"[(82, 93)]",310,298,68,75,310,82,175,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,1.0,1.0
f0e52796-4018-4843-aaea-479a081fe157,1,False,"[(93, 82)]",298,310,75,68,298,93,175,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,1.0,1.0
729fe14b-6243-420c-af5a-cf6b8dbe90c8,22,False,"[(72, 83), (105, 82)]",298,332,64,63,298,72,155,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,187,105,155,72,155.0,72.0,155.85320000000002,72.8799,155.0,72.0,155.0,72.0,1.206451612903226,1.0
729fe14b-6243-420c-af5a-cf6b8dbe90c8,22,False,"[(83, 72), (82, 105)]",332,298,63,64,332,83,155,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,187,82,155,83,155.0,83.0,155.85320000000002,82.9733,155.0,83.0,155.0,83.0,1.206451612903226,1.0
8e3780ae-1786-4a47-9b74-d3731fa7e18d,1,False,"[(240, 395)]",672,816,186,222,672,240,635,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,635,240,1.0,1.0
8e3780ae-1786-4a47-9b74-d3731fa7e18d,1,False,"[(395, 240)]",816,672,222,186,816,395,635,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,635,395,1.0,1.0
903499a2-abd3-41e7-b8e9-c57e36015979,22,False,"[(102, 79), (81, 104), (86, 97)]",288,288,67,67,288,93,175,181,102,183,86,181,102,181,102,183,86,183,86,183,86,181,102,181,102,185,81,181,102,181.0041,101.9669,182.2416,92.0673,182.353,91.1765,181.0,102.0,1.0571428571428572,1.0342857142857143
903499a2-abd3-41e7-b8e9-c57e36015979,22,False,"[(79, 102), (104, 81), (97, 86)]",288,288,67,67,288,82,175,181,79,183,97,181,79,181,79,183,97,183,97,183,97,181,79,181,79,185,104,181,79,181.0041,79.0372,182.2416,90.1743,182.353,91.1765,181.0,79.0,1.0571428571428572,1.0342857142857143
e800d8cb-463b-4afb-aa60-5782f2579540,22,False,"[(96, 85), (83, 94)]",288,276,63,62,288,77,165,177,83,177,83,177,83,177,83,181,96,181,96,181,96,177,83,177,83,181,96,177,83,177.0,83.0,178.7052,88.5418,181.0,96.0,177.0,83.0,1.096969696969697,1.0727272727272728
