eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
b80e7380-69fb-449b-a66b-a228b34af947,33,False,"[(196, 229), (187, 232)]",463,463,178,164,463,190,413,419,187,425,196,419,187,419,187,425,196,425,196,425,196,419,187,419,187,425,196,419,187,420.6933,189.5399,425.0,196.0,419.0,187.0,419.0,187.0,1.0290556900726393,1.0145278450363195
b80e7380-69fb-449b-a66b-a228b34af947,33,False,"[(229, 196), (232, 187)]",463,463,164,178,463,223,413,419,232,425,229,419,232,419,232,425,229,425,229,425,229,419,232,419,232,425,229,419,232,420.6933,231.1534,425.0,229.0,419.0,232.0,419.0,232.0,1.0290556900726393,1.0145278450363195
96b5985b-a337-45c8-8f83-3e25f4d883d9,22,False,"[(84, 95), (89, 78), (92, 69)]",299,299,60,61,299,83,155,161,92,167,89,161,92,161,92,179,84,167,89,167,89,161,92,161,92,179,84,161,92,165.20569999999998,89.8971,173.0,86.5,161.00009999999997,91.9999,161.0,92.0,1.1548387096774193,1.038709677419355
96b5985b-a337-45c8-8f83-3e25f4d883d9,22,False,"[(95, 84), (78, 89), (69, 92)]",299,299,61,60,299,72,155,161,69,167,78,161,69,161,69,179,95,167,78,167,78,161,69,161,69,179,95,161,69,165.20569999999998,75.30860000000001,173.0,86.5,161.00009999999997,69.0002,161.0,69.0,1.1548387096774193,1.038709677419355
847265f6-f7a5-46be-ac78-668fe9a4845c,0,False,"[(165, 188)]",551,597,145,160,551,168,347,353,165,353,165,353,165,353,165,353,165,353,165,353,165,353,165,353,165,353,165,353,165,353.0,165.0,353.0,165.0,353.0,165.0,353.0,165.0,1.0172910662824208,1.0172910662824208
847265f6-f7a5-46be-ac78-668fe9a4845c,0,False,"[(188, 165)]",597,551,160,145,597,179,347,353,188,353,188,353,188,353,188,353,188,353,188,353,188,353,188,353,188,353,188,353,188,353.0,188.0,353.0,188.0,353.0,188.0,353.0,188.0,1.0172910662824208,1.0172910662824208
66457269-ab58-4bb9-8d2f-6f9170ba4207,22,False,"[(114, 125), (111, 134)]",343,331,100,108,343,114,239,245,111,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,245,111,239,114,240.3703,113.3149,239.0,114.0,239.0,114.0,239.0,114.0,1.0251046025104602,1.0
66457269-ab58-4bb9-8d2f-6f9170ba4207,22,False,"[(125, 114), (134, 111)]",331,343,108,100,331,125,239,245,134,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,245,134,239,125,240.3703,127.05539999999999,239.0,125.0,239.0,125.0,239.0,125.0,1.0251046025104602,1.0
3f90379b-4d4f-417f-ba96-30d13d0e64dc,0,False,"[(135, 146), (127, 150)]",309,355,113,124,309,130,271,277,127,281,135,277,127,277,127,281,135,277,127,277,127,277,127,277,127,281,135,277,127,278.2134,129.4267,277.0,127.0,277.0,127.0,277.0,127.0,1.03690036900369,1.022140221402214
3f90379b-4d4f-417f-ba96-30d13d0e64dc,0,False,"[(146, 135), (150, 127)]",355,309,124,113,355,141,271,277,150,281,146,277,150,277,150,281,146,277,150,277,150,277,150,277,150,281,146,277,150,278.2134,148.7867,277.0,150.0,277.0,150.0,277.0,150.0,1.03690036900369,1.022140221402214
