eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
41166572-671e-4f1b-9e46-c9acbea812d3,23,False,"[(125, 80), (103, 136)]",342,320,78,71,342,116,199,205,125,205,125,205,125,205,125,239,103,205,125,205,125,205,125,205,125,239,103,205,125,214.61860000000001,118.77629999999999,205.0,125.0,205.0,125.0,215.0256,118.5128,1.2010050251256281,1.0301507537688441
08f0e57d-c457-443e-b9a8-ee69c6fefde2,23,False,"[(136, 113)]",310,320,94,95,310,127,243,249,136,249,136,249,136,249,136,249,136,249,136,249,136,249,136,249,136,249,136,249,136,249.0,136.0,249.0,136.0,249.0,136.0,249.0,136.0,1.0246913580246915,1.0246913580246915
08f0e57d-c457-443e-b9a8-ee69c6fefde2,23,False,"[(113, 136)]",320,310,95,94,320,116,243,249,113,249,113,249,113,249,113,249,113,249,113,249,113,249,113,249,113,249,113,249,113,249.0,113.0,249.0,113.0,249.0,113.0,249.0,113.0,1.0246913580246915,1.0246913580246915
bcb8fbe7-5a53-4243-8382-4952eefe7f1a,0,False,"[(199, 176)]",574,540,146,138,574,190,369,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375.0,199.0,375.0,199.0,375.0,199.0,375.0,199.0,1.016260162601626,1.016260162601626
bcb8fbe7-5a53-4243-8382-4952eefe7f1a,0,False,"[(176, 199)]",540,574,138,146,540,179,369,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375.0,176.0,375.0,176.0,375.0,176.0,375.0,176.0,1.016260162601626,1.016260162601626
b6f768f4-89bb-4255-aa5d-b8a084972cf5,0,False,"[(132, 109), (128, 151)]",332,298,114,95,332,123,235,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,279,128,241,132,244.0811,131.6757,241.0,132.0,241.0,132.0,241.0,132.0,1.1872340425531915,1.025531914893617
b6f768f4-89bb-4255-aa5d-b8a084972cf5,0,False,"[(109, 132), (151, 128)]",298,332,95,114,298,112,235,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,279,151,241,109,244.0811,112.40539999999999,241.0,109.0,241.0,109.0,241.0,109.0,1.1872340425531915,1.025531914893617
e60541c7-8fa2-4975-8259-6f503e8725a9,22,False,"[(165, 176)]",408,386,137,143,408,165,341,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341.0,165.0,341.0,165.0,341.0,165.0,341.0,165.0,1.0,1.0
e60541c7-8fa2-4975-8259-6f503e8725a9,22,False,"[(176, 165)]",386,408,143,137,386,176,341,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341.0,176.0,341.0,176.0,341.0,176.0,341.0,176.0,1.0,1.0
54032f8f-39ed-4340-8bb0-f83c2c7a7eea,0,False,"[(458, 481)]",1662,1708,447,463,1662,461,933,939,458,939,458,939,458,939,458,939,458,939,458,939,458,939,458,939,458,939,458,939,458,939.0,458.0,939.0,458.0,939.0,458.0,939.0,458.0,1.0064308681672025,1.0064308681672025
54032f8f-39ed-4340-8bb0-f83c2c7a7eea,0,False,"[(481, 458)]",1708,1662,463,447,1708,472,933,939,481,939,481,939,481,939,481,939,481,939,481,939,481,939,481,939,481,939,481,939,481,939.0,481.0,939.0,481.0,939.0,481.0,939.0,481.0,1.0064308681672025,1.0064308681672025
2a565308-50c2-49fb-9af2-a9e5aaa72332,1,False,"[(105, 94), (96, 107)]",320,332,90,83,320,105,199,199,105,199,105,199,105,199,105,199,105,203,96,203,96,199,105,199,105,203,96,199,105,200.69529999999997,101.1856,199.0,105.0,199.0,105.0,203.0,96.0,1.020100502512563,1.0
2a565308-50c2-49fb-9af2-a9e5aaa72332,1,False,"[(94, 105), (107, 96)]",332,320,83,90,332,94,199,199,94,199,94,199,94,199,94,199,94,203,107,203,107,199,94,199,94,203,107,199,94,200.69529999999997,99.50970000000001,199.0,94.0,199.0,94.0,203.0,107.0,1.020100502512563,1.0
