eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
008c8466-7d73-4077-b184-c9f4363d6291,0,False,"[(84, 61)]",201,155,62,38,201,84,145,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145,84,145.0,84.0,145.0,84.0,145.0,84.0,145.0,84.0,1.0,1.0
c6bbd27f-b3f3-486d-bb7a-d0b68670b1a0,11,False,"[(77, 66)]",199,199,68,55,199,77,143,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143.0,77.0,143.0,77.0,143.0,77.0,143.0,77.0,1.0,1.0
c6bbd27f-b3f3-486d-bb7a-d0b68670b1a0,11,False,"[(66, 77)]",199,199,55,68,199,66,143,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143.0,66.0,143.0,66.0,143.0,66.0,143.0,66.0,1.0,1.0
af020f2b-b966-4fe4-ba67-5605445d135d,0,True,"[(66, 43)]",145,133,46,43,145,66,109,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109.0,66.0,109.0,66.0,109.0,66.0,109.0,66.0,1.0,1.0
af020f2b-b966-4fe4-ba67-5605445d135d,0,True,"[(43, 66)]",133,145,43,46,133,43,109,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109.0,43.0,109.0,43.0,109.0,43.0,109.0,43.0,1.0,1.0
8a21eb74-90b7-4986-a2e8-f3fadb178dd0,0,False,"[(58, 35), (43, 54)]",145,111,28,21,145,49,87,93,58,97,43,93,58,93,58,97,43,93,58,93,58,93,58,93,58,97,43,93,58,93.0,58.0,93.0,58.0,94.48140000000001,52.4444,93.0,58.0,1.1149425287356323,1.0689655172413792
8a21eb74-90b7-4986-a2e8-f3fadb178dd0,0,False,"[(35, 58), (54, 43)]",111,145,21,28,111,38,87,93,35,97,54,93,35,93,35,97,54,93,35,93,35,93,35,93,35,97,54,93,35,93.0,35.0,93.0,35.0,94.48140000000001,42.037000000000006,93.0,35.0,1.1149425287356323,1.0689655172413792
e16889da-cd20-4117-b240-0c378041b2e2,0,False,"[(72, 49), (58, 69)]",135,89,37,26,135,63,115,121,72,127,58,121,72,121,72,127,58,121,72,121,72,121,72,121,72,127,58,121,72,121.0,72.0,121.0,72.0,122.6,68.2667,121.0,72.0,1.1043478260869566,1.0521739130434782
e16889da-cd20-4117-b240-0c378041b2e2,0,False,"[(49, 72), (69, 58)]",89,135,26,37,89,52,115,121,49,127,69,121,49,121,49,127,69,121,49,121,49,121,49,121,49,127,69,121,49,121.0,49.0,121.0,49.0,122.6,54.3333,121.0,49.0,1.1043478260869566,1.0521739130434782
90bdad29-3ca2-43d1-9e71-0370f4ba4aa9,11,False,"[(59, 126), (95, 84)]",155,199,51,66,155,95,179,185,59,179,95,179,95,179,95,179,95,185,59,179,95,185,59,185,59,179,95,179,95,182.21429999999998,75.7143,183.2308,69.6154,182.0396,76.7621,179.0,95.0,1.0335195530726258,1.0
