eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
36801618-2d20-4d33-8e64-9f63c89a30f1,0,False,"[(98, 87), (106, 83)]",321,287,77,70,321,97,183,189,106,185,98,185,98,185,98,185,98,189,106,185,98,185,98,185,98,189,106,185,98,189.0,106.0,185.0,98.0,185.0,98.0,186.4137,100.82730000000001,1.0327868852459017,1.010928961748634
36801618-2d20-4d33-8e64-9f63c89a30f1,0,False,"[(87, 98), (83, 106)]",287,321,70,77,287,86,183,189,83,185,87,185,87,185,87,185,87,189,83,185,87,185,87,185,87,189,83,185,87,189.0,83.0,185.0,87.0,185.0,87.0,186.4137,85.5864,1.0327868852459017,1.010928961748634
b86c5357-a727-49ae-ae07-16ee2b6c4010,22,False,"[(78, 101)]",321,321,69,78,321,78,179,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179.0,78.0,179.0,78.0,179.0,78.0,179.0,78.0,1.0,1.0
b86c5357-a727-49ae-ae07-16ee2b6c4010,22,False,"[(101, 78)]",321,321,78,69,321,101,179,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179.0,101.0,179.0,101.0,179.0,101.0,179.0,101.0,1.0,1.0
f690f666-2d41-49a9-9910-343439370056,23,True,"[(105, 116)]",331,331,91,102,331,105,221,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221.0,105.0,221.0,105.0,221.0,105.0,221.0,105.0,1.0,1.0
f690f666-2d41-49a9-9910-343439370056,23,True,"[(116, 105)]",331,331,102,91,331,116,221,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221.0,116.0,221.0,116.0,221.0,116.0,221.0,116.0,1.0,1.0
697e5089-258a-40ad-9cf5-fea5f34a0640,22,False,"[(86, 75), (73, 84), (69, 92)]",321,321,60,60,321,72,155,161,69,157,73,157,73,157,73,161,86,157,73,157,73,157,73,157,73,161,69,157,73,159.0,79.5,157.0,73.0,157.0,73.0,157.93959999999998,76.0538,1.038709677419355,1.0129032258064516
697e5089-258a-40ad-9cf5-fea5f34a0640,22,False,"[(75, 86), (84, 73), (92, 69)]",321,321,60,60,321,83,155,161,92,157,84,157,84,157,84,161,75,157,84,157,84,157,84,157,84,161,92,157,84,159.0,79.5,157.0,84.0,157.0,84.0,157.93959999999998,81.88579999999999,1.038709677419355,1.0129032258064516
71d92c0b-8872-4b7e-99e4-9ad1a637bb68,1,False,"[(154, 143)]",431,419,134,134,431,154,297,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297.0,154.0,297.0,154.0,297.0,154.0,297.0,154.0,1.0,1.0
71d92c0b-8872-4b7e-99e4-9ad1a637bb68,1,False,"[(143, 154)]",419,431,134,134,419,143,297,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297.0,143.0,297.0,143.0,297.0,143.0,297.0,143.0,1.0,1.0
9bd80f83-6992-4592-bc66-d856be2c5549,23,False,"[(603, 580)]",761,1145,197,349,761,594,1177,1183,603,1183,603,1183,603,1183,603,1183,603,1183,603,1183,603,1183,603,1183,603,1183,603,1183,603,1183.0,603.0,1183.0,603.0,1183.0,603.0,1183.0,603.0,1.0050977060322854,1.0050977060322854
9bd80f83-6992-4592-bc66-d856be2c5549,23,False,"[(580, 603)]",1145,761,349,197,1145,583,1177,1183,580,1183,580,1183,580,1183,580,1183,580,1183,580,1183,580,1183,580,1183,580,1183,580,1183,580,1183.0,580.0,1183.0,580.0,1183.0,580.0,1183.0,580.0,1.0050977060322854,1.0050977060322854
ae8a5a97-dfa1-484c-a4a7-15faf9698849,1,False,"[(109, 98), (91, 114)]",331,343,81,86,331,91,205,205,91,207,109,205,91,205,91,207,109,205,91,207,109,205,91,205,91,207,109,205,91,205.647,96.8235,205.0,91.0,205.0009,91.00880000000001,205.93089999999995,99.37819999999999,1.0097560975609756,1.0
ae8a5a97-dfa1-484c-a4a7-15faf9698849,1,False,"[(98, 109), (114, 91)]",343,331,86,81,343,114,205,205,114,207,98,205,114,205,114,207,98,205,114,207,98,205,114,205,114,207,98,205,114,205.647,108.8235,205.0,114.0,205.0009,113.9921,205.93089999999995,106.55269999999999,1.0097560975609756,1.0
