eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
511b4540-453f-41cd-b9f5-cfe422f51e6a,23,False,"[(112, 89), (91, 102)]",287,299,75,78,287,91,193,201,112,193,91,193,91,193,91,193,91,193,91,193,91,193,91,193,91,201,112,193,91,193.0,91.0,193.0,91.0,195.92949999999996,98.6901,193.0,91.0,1.0414507772020725,1.0
f743ca8b-64fb-44fe-a1d9-a2da41f82cb8,0,False,"[(203, 226)]",331,519,83,149,331,206,423,429,203,429,203,429,203,429,203,429,203,429,203,429,203,429,203,429,203,429,203,429,203,429.0,203.0,429.0,203.0,429.0,203.0,429.0,203.0,1.0141843971631206,1.0141843971631206
f743ca8b-64fb-44fe-a1d9-a2da41f82cb8,0,False,"[(226, 203)]",519,331,149,83,519,217,423,429,226,429,226,429,226,429,226,429,226,429,226,429,226,429,226,429,226,429,226,429,226,429.0,226.0,429.0,226.0,429.0,226.0,429.0,226.0,1.0141843971631206,1.0141843971631206
cc6df017-c369-41af-a27a-26c4b095503f,1,False,"[(128, 105), (84, 107)]",265,277,75,83,265,87,185,191,84,191,84,191,84,191,84,233,128,191,84,191,84,191,84,191,84,233,128,191,84,191.0,84.0,201.04340000000002,94.52170000000001,192.9173,86.0086,191.0,84.0,1.2594594594594595,1.0324324324324323
cc6df017-c369-41af-a27a-26c4b095503f,1,False,"[(105, 128), (107, 84)]",277,265,83,75,277,98,185,191,107,191,107,191,107,191,107,233,105,191,107,191,107,191,107,191,107,233,105,191,107,191.0,107.0,201.04340000000002,106.52170000000001,192.9173,106.90870000000001,191.0,107.0,1.2594594594594595,1.0324324324324323
e9a353ed-e99a-4dd7-9fee-0e548f2bd858,22,False,"[(136, 213)]",419,519,104,136,419,136,349,349,136,349,136,349,136,349,136,349,136,349,136,349,136,349,136,349,136,349,136,349,136,349.0,136.0,349.0,136.0,349.0,136.0,349.0,136.0,1.0,1.0
e9a353ed-e99a-4dd7-9fee-0e548f2bd858,22,False,"[(213, 136)]",519,419,136,104,519,213,349,349,213,349,213,349,213,349,213,349,213,349,213,349,213,349,213,349,213,349,213,349,213,349.0,213.0,349.0,213.0,349.0,213.0,349.0,213.0,1.0,1.0
361f5ef4-c9b8-4166-9c29-e88c9d6baa3b,22,False,"[(284, 119), (235, 180)]",397,277,131,110,397,284,403,403,284,415,235,403,284,403,284,415,235,403,284,415,235,403,284,403,284,415,235,403,284,403.0,284.0,407.909,263.9545,408.27139999999997,262.4749,404.7042,277.04089999999997,1.0297766749379653,1.0
361f5ef4-c9b8-4166-9c29-e88c9d6baa3b,22,False,"[(119, 284), (180, 235)]",277,397,110,131,277,119,403,403,119,415,180,403,119,403,119,415,180,403,119,415,180,403,119,403,119,415,180,403,119,403.0,119.0,407.909,143.9545,408.27139999999997,145.7965,404.7042,127.66329999999999,1.0297766749379653,1.0
f6af93c2-cb2d-4626-8eb9-a918c4de6c2f,11,False,"[(216, 117), (212, 135)]",419,309,129,97,419,216,333,333,216,347,212,333,216,333,216,347,212,333,216,347,212,333,216,333,216,347,212,333,216,333.0,216.0,333.0,216.0,335.3925,215.3164,333.0,216.0,1.042042042042042,1.0
