eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
3ac9a8fb-0b8a-43ef-8c8d-8549bbebd9d7,0,False,"[(134, 123)]",520,474,120,112,520,134,257,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,257,134,1.0,1.0
3ac9a8fb-0b8a-43ef-8c8d-8549bbebd9d7,0,False,"[(123, 134)]",474,520,112,120,474,123,257,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,257,123,1.0,1.0
844c332e-0bb4-4cb9-ba39-c173d6475439,11,False,"[(173, 250), (182, 215)]",342,386,144,160,342,182,397,423,173,397,182,397,182,397,182,397,182,397,182,397,182,397,182,397,182,423,173,397,182,397.0,182.0,402.3681,180.1418,403.5,179.75,397.0,182.0,1.0654911838790933,1.0
844c332e-0bb4-4cb9-ba39-c173d6475439,11,False,"[(250, 173), (215, 182)]",386,342,160,144,386,215,397,423,250,397,215,397,215,397,215,397,215,397,215,397,215,397,215,397,215,423,250,397,215,397.0,215.0,402.3681,222.2263,403.5,223.75,397.0,215.0,1.0654911838790933,1.0
8659bfc1-da54-412c-9f28-22396e5b20ce,11,False,"[(67, 78)]",310,276,58,55,310,67,145,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,1.0,1.0
8659bfc1-da54-412c-9f28-22396e5b20ce,11,False,"[(78, 67)]",276,310,55,58,276,78,145,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,1.0,1.0
3efd09fc-b0fa-4279-84fb-80c23177e7be,23,False,"[(155, 144), (138, 161)]",342,310,111,105,342,141,293,299,138,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,155,299,138,299,155,299.0,154.9956,299.0,147.373,299.0,155.0,299.0,138.0,1.0204778156996588,1.0204778156996588
3efd09fc-b0fa-4279-84fb-80c23177e7be,23,False,"[(144, 155), (161, 138)]",310,342,105,111,310,152,293,299,161,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,144,299,161,299,144,299.0,144.0044,299.0,151.627,299.0,144.0,299.0,161.0,1.0204778156996588,1.0204778156996588
9f85f960-4d00-4836-8fb8-a9b6885320c9,0,False,"[(127, 150)]",320,366,104,132,320,127,277,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,1.0,1.0
9f85f960-4d00-4836-8fb8-a9b6885320c9,0,False,"[(150, 127)]",366,320,132,104,366,150,277,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,1.0,1.0
0500b0c2-e06b-4f16-83bf-d84df2d810c7,1,False,"[(284, 261), (259, 270)]",870,892,250,247,870,259,529,529,259,529,259,529,259,529,259,529,259,529,259,529,259,529,259,529,259,545,284,529,259,529.0,259.0,533.1357,265.4621,529.0,259.0,529.0,259.0,1.0302457466918715,1.0
0500b0c2-e06b-4f16-83bf-d84df2d810c7,1,False,"[(261, 284), (270, 259)]",892,870,247,250,892,270,529,529,270,529,270,529,270,529,270,529,270,529,270,529,270,529,270,529,270,545,261,529,270,529.0,270.0,533.1357,267.6736,529.0,270.0,529.0,270.0,1.0302457466918715,1.0
658758c5-08f7-4c90-b315-c0721df6e802,1,False,"[(140, 117)]",332,320,107,99,332,140,257,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,1.0,1.0
658758c5-08f7-4c90-b315-c0721df6e802,1,False,"[(117, 140)]",320,332,99,107,320,117,257,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,1.0,1.0
c4dc4589-921a-46c6-95e0-8f04a679b1f5,11,False,"[(112, 101)]",386,386,92,92,386,112,213,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,213,112,1.0,1.0
c4dc4589-921a-46c6-95e0-8f04a679b1f5,11,False,"[(101, 112)]",386,386,92,92,386,101,213,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,213,101,1.0,1.0
ee674d28-0595-49c6-8b13-560b3c9877b9,22,False,"[(80, 103), (89, 100), (109, 86)]",310,310,71,71,310,83,177,183,80,189,89,183,80,183,80,189,89,189,89,189,89,183,80,183,80,195,109,183,80,183.0,80.0,187.5089,90.8966,189.0,94.5,183.0,80.0,1.1016949152542372,1.0338983050847457
ee674d28-0595-49c6-8b13-560b3c9877b9,22,False,"[(103, 80), (100, 89), (86, 109)]",310,310,71,71,310,94,177,183,103,189,100,183,103,183,103,189,100,189,100,189,100,183,103,183,103,195,86,183,103,183.0,103.0,187.5089,96.6123,189.0,94.5,183.0,103.0,1.1016949152542372,1.0338983050847457
11db2b45-6fca-432f-91a5-5676e49420fa,11,False,"[(289, 300)]",364,386,129,75,364,289,589,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,589,289,1.0,1.0
11db2b45-6fca-432f-91a5-5676e49420fa,11,False,"[(300, 289)]",386,364,75,129,386,300,589,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,589,300,1.0,1.0
a62245c0-c2e3-4412-bbb1-6bde09350d00,0,False,"[(111, 134), (140, 117)]",310,276,102,106,310,114,239,245,111,245,111,245,111,245,111,245,111,257,140,257,140,245,111,245,111,257,140,245,111,245.00079999999997,111.002,250.0783,123.2726,257.0,140.0,245.0,111.0,1.0753138075313808,1.0251046025104602
a62245c0-c2e3-4412-bbb1-6bde09350d00,0,False,"[(134, 111), (117, 140)]",276,310,106,102,276,125,239,245,134,245,134,245,134,245,134,245,134,257,117,257,117,245,134,245,134,257,117,245,134,245.00079999999997,133.9988,250.0783,126.8057,257.0,117.0,245.0,134.0,1.0753138075313808,1.0251046025104602
3ca64a6d-0619-47ea-8692-668b18ab88e3,0,True,"[(102, 113)]",364,398,88,102,364,102,215,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,215,102,1.0,1.0
3ca64a6d-0619-47ea-8692-668b18ab88e3,0,True,"[(113, 102)]",398,364,102,88,398,113,215,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,215,113,1.0,1.0
8585c915-f0b2-4dc7-8b9d-ec30eb78da7b,23,False,"[(200, 177), (167, 178)]",342,408,117,138,342,167,345,345,167,345,167,345,167,345,167,345,167,345,167,345,167,345,167,345,167,377,200,345,167,345.0,167.0,345.7182,167.7406,345.0,167.0,345.0,167.0,1.0927536231884059,1.0
8585c915-f0b2-4dc7-8b9d-ec30eb78da7b,23,False,"[(177, 200), (178, 167)]",408,342,138,117,408,178,345,345,178,345,178,345,178,345,178,345,178,345,178,345,178,345,178,345,178,377,177,345,178,345.0,178.0,345.7182,177.9776,345.0,178.0,345.0,178.0,1.0927536231884059,1.0
9cc419de-3679-43f5-8c41-e4e28bc1648a,23,True,"[(486, 672)]",486,672,188,194,486,501,991,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1158,486,1.1685166498486377,1.1685166498486377
9cc419de-3679-43f5-8c41-e4e28bc1648a,23,True,"[(672, 486)]",672,486,194,188,672,490,991,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1158,672,1.1685166498486377,1.1685166498486377
05fb50af-812f-4861-9138-80870501e50e,22,False,"[(99, 76)]",310,310,75,67,310,90,169,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,175,99,1.0355029585798816,1.0355029585798816
