eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
03b2d9be-1e67-4a81-acad-694aa4e3896e,22,False,"[(82, 71), (63, 74)]",122,134,40,53,122,63,137,137,63,137,63,137,63,137,63,153,82,137,63,137,63,137,63,137,63,153,82,137,63,137.0,63.0,137.0,63.0,137.0,63.0,139.0611,65.4476,1.1167883211678833,1.0
03b2d9be-1e67-4a81-acad-694aa4e3896e,22,False,"[(71, 82), (74, 63)]",134,122,53,40,134,74,137,137,74,137,74,137,74,137,74,153,71,137,74,137,74,137,74,137,74,153,71,137,74,137.0,74.0,137.0,74.0,137.0,74.0,139.0611,73.6135,1.1167883211678833,1.0
088cd92a-92a7-4428-9ad2-c13cf47a4860,1,False,"[(59, 82), (96, 73)]",112,100,41,48,112,62,135,141,59,141,59,141,59,141,59,141,59,141,59,141,59,141,59,141,59,169,96,141,59,162.3044,87.1522,141.0,59.0,141.02870000000001,59.038,150.0488,70.9573,1.2518518518518518,1.0444444444444445
088cd92a-92a7-4428-9ad2-c13cf47a4860,1,False,"[(82, 59), (73, 96)]",100,112,48,41,100,73,135,141,82,141,82,141,82,141,82,141,82,141,82,141,82,141,82,141,82,169,73,141,82,162.3044,75.1522,141.0,82.0,141.02870000000001,81.9907,150.0488,79.0915,1.2518518518518518,1.0444444444444445
d7e7852e-3d00-451b-9e09-7257cb1b0ebc,12,True,"[(68, 45), (65, 54), (58, 81)]",112,122,26,27,112,59,107,113,68,119,65,113,68,113,68,119,65,119,65,119,65,113,68,113,68,139,58,113,68,131.353,60.6765,113.0,68.0,113.0,68.0,119.5308,64.8142,1.2990654205607477,1.0560747663551402
d7e7852e-3d00-451b-9e09-7257cb1b0ebc,12,True,"[(45, 68), (54, 65), (81, 58)]",122,112,27,26,122,48,107,113,45,119,54,113,45,113,45,119,54,119,54,119,54,113,45,113,45,139,81,113,45,131.353,70.6765,113.0,45.0,113.0,45.0,119.5308,54.7166,1.2990654205607477,1.0560747663551402
267978ed-3e0d-49ec-9445-0770f628fdf1,22,False,"[(411, 36)]",442,90,162,27,442,402,441,447,411,447,411,447,411,447,411,447,411,447,411,447,411,447,411,447,411,447,411,447,411,447.0,411.0,447.0,411.0,447.0,411.0,447.0,411.0,1.0136054421768708,1.0136054421768708
267978ed-3e0d-49ec-9445-0770f628fdf1,22,False,"[(36, 411)]",90,442,27,162,90,39,441,447,36,447,36,447,36,447,36,447,36,447,36,447,36,447,36,447,36,447,36,447,36,447.0,36.0,447.0,36.0,447.0,36.0,447.0,36.0,1.0136054421768708,1.0136054421768708
d0206e16-8025-4878-b76c-5cc06f93c863,0,False,"[(53, 30)]",80,34,26,16,80,44,77,83,53,83,53,83,53,83,53,83,53,83,53,83,53,83,53,83,53,83,53,83,53,83.0,53.0,83.0,53.0,83.0,53.0,83.0,53.0,1.077922077922078,1.077922077922078
d0206e16-8025-4878-b76c-5cc06f93c863,0,False,"[(30, 53)]",34,80,16,26,34,33,77,83,30,83,30,83,30,83,30,83,30,83,30,83,30,83,30,83,30,83,30,83,30,83.0,30.0,83.0,30.0,83.0,30.0,83.0,30.0,1.077922077922078,1.077922077922078
