eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d9269350-4ebd-4652-94d9-b788fe9ce157,1,False,"[(107, 118), (98, 121)]",375,397,86,94,375,101,213,219,98,225,107,219,98,219,98,225,107,219,98,225,107,219,98,219,98,225,107,219,98,219.0,98.0,220.4919,100.2379,219.5,98.75,219.0,98.0,1.056338028169014,1.028169014084507
d9269350-4ebd-4652-94d9-b788fe9ce157,1,False,"[(118, 107), (121, 98)]",397,375,94,86,397,112,213,219,121,225,118,219,121,219,121,225,118,219,121,225,118,219,121,219,121,225,118,219,121,219.0,121.0,220.4919,120.254,219.5,120.75,219.0,121.0,1.056338028169014,1.028169014084507
4255e606-b54b-4dd7-8a83-59f8545b522e,1,False,"[(98, 87)]",365,353,80,73,365,98,185,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,1.0,1.0
4255e606-b54b-4dd7-8a83-59f8545b522e,1,False,"[(87, 98)]",353,365,73,80,353,87,185,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,1.0,1.0
3901e3c9-c5f7-4be6-9d75-d29a56a1e3fb,22,False,"[(220, 265)]",607,629,211,215,607,223,479,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,485,220,1.0125260960334028,1.0125260960334028
3901e3c9-c5f7-4be6-9d75-d29a56a1e3fb,22,False,"[(265, 220)]",629,607,215,211,629,256,479,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,485,265,1.0125260960334028,1.0125260960334028
1dbb2848-6ba2-4acf-81e6-c988300d4a59,0,False,"[(100, 89), (83, 106)]",375,409,69,79,375,86,183,189,83,189,100,189,100,189,100,189,100,189,83,189,83,189,83,189,83,189,100,189,100,189.0,83.0152,189.0,91.1111,189.0,83.0,189.0,83.0,1.0327868852459017,1.0327868852459017
1dbb2848-6ba2-4acf-81e6-c988300d4a59,0,False,"[(89, 100), (106, 83)]",409,375,79,69,409,97,183,189,106,189,89,189,89,189,89,189,89,189,106,189,106,189,106,189,106,189,89,189,89,189.0,105.9848,189.0,97.8889,189.0,106.0,189.0,106.0,1.0327868852459017,1.0327868852459017
65be422d-c8df-4a49-a638-9c153236ecfb,22,False,"[(123, 100), (116, 105)]",375,387,94,89,375,114,217,223,123,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,223,123,221,116,221.0,116.0,221.78390000000002,118.7436,221.0,116.0,221.0,116.0,1.0276497695852536,1.0184331797235022
65be422d-c8df-4a49-a638-9c153236ecfb,22,False,"[(100, 123), (105, 116)]",387,375,89,94,387,103,217,223,100,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,223,100,221,105,221.0,105.0,221.78390000000002,103.0403,221.0,105.0,221.0,105.0,1.0276497695852536,1.0184331797235022
df1935df-dfd9-4358-909a-b2bcade7d631,55,False,"[(256, 223), (265, 210)]",585,419,160,99,585,265,475,475,265,479,256,475,265,475,265,479,256,475,265,475,265,475,265,475,265,479,256,475,265,475.0,265.0,476.22180000000003,262.2509,475.0,265.0,475.0,265.0,1.0084210526315789,1.0
df1935df-dfd9-4358-909a-b2bcade7d631,55,False,"[(223, 256), (210, 265)]",419,585,99,160,419,210,475,475,210,479,223,475,210,475,210,479,223,475,210,475,210,475,210,475,210,479,223,475,210,475.0,210.0,476.22180000000003,213.9709,475.0,210.0,475.0,210.0,1.0084210526315789,1.0
eca81977-0ac0-4761-aa33-78cc1fb76c99,1,True,"[(128, 117), (107, 118)]",375,397,93,98,375,107,225,225,107,225,107,225,107,225,107,245,128,225,107,225,107,225,107,225,107,245,128,225,107,225.0,107.0,225.8718,107.9154,225.0,107.0,225.0,107.0,1.0888888888888888,1.0
eca81977-0ac0-4761-aa33-78cc1fb76c99,1,True,"[(117, 128), (118, 107)]",397,375,98,93,397,118,225,225,118,225,118,225,118,225,118,245,117,225,118,225,118,225,118,225,118,245,117,225,118,225.0,118.0,225.8718,117.9564,225.0,118.0,225.0,118.0,1.0888888888888888,1.0
db66d6b4-4836-4e7a-ab4b-9a87d7af5e70,0,False,"[(109, 98), (91, 102)]",365,331,80,73,365,91,193,193,91,193,91,193,91,193,91,207,109,207,109,207,109,193,91,193,91,207,109,193,91,193.0,91.0,195.9006,94.7293,207.0,109.0,193.0,91.0,1.072538860103627,1.0
db66d6b4-4836-4e7a-ab4b-9a87d7af5e70,0,False,"[(98, 109), (102, 91)]",331,365,73,80,331,102,193,193,102,193,102,193,102,193,102,207,98,207,98,207,98,193,102,193,102,207,98,193,102,193.0,102.0,195.9006,101.1713,207.0,98.0,193.0,102.0,1.072538860103627,1.0
91162112-225c-4fc7-bf97-10c6dcecf031,22,False,"[(140, 95)]",387,365,99,90,387,131,229,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,235,140,1.0262008733624455,1.0262008733624455
91162112-225c-4fc7-bf97-10c6dcecf031,22,False,"[(95, 140)]",365,387,90,99,365,98,229,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,235,95,1.0262008733624455,1.0262008733624455
c2602f1d-f3fe-4940-b3fa-ae207ddad3dc,0,False,"[(123, 146)]",419,453,114,114,419,126,263,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,269,123,1.0228136882129277,1.0228136882129277
c2602f1d-f3fe-4940-b3fa-ae207ddad3dc,0,False,"[(146, 123)]",453,419,114,114,453,137,263,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,269,146,1.0228136882129277,1.0228136882129277
a85c63dd-0660-4b79-af0e-9d1a949228da,11,False,"[(165, 154)]",453,419,151,140,453,165,319,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,319,165,1.0,1.0
a85c63dd-0660-4b79-af0e-9d1a949228da,11,False,"[(154, 165)]",419,453,140,151,419,154,319,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,319,154,1.0,1.0
10265a4b-2853-45f3-992b-5fdf8979c025,1,False,"[(277, 300)]",815,827,266,273,815,280,571,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,577,277,1.010507880910683,1.010507880910683
10265a4b-2853-45f3-992b-5fdf8979c025,1,False,"[(300, 277)]",827,815,273,266,827,291,571,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,577,300,1.010507880910683,1.010507880910683
e3e20d72-92e6-4974-b6ba-31ce311be572,22,False,"[(189, 222), (229, 196), (243, 166)]",419,387,139,130,419,243,409,409,243,411,189,409,243,409,243,411,189,425,229,425,229,409,243,409,243,425,229,409,243,409.6871,224.4464,409.96180000000004,217.0293,409.8182,220.9091,409.0,243.0,1.039119804400978,1.0
e3e20d72-92e6-4974-b6ba-31ce311be572,22,False,"[(222, 189), (196, 229), (166, 243)]",387,419,130,139,387,166,409,409,166,411,222,409,166,409,166,411,222,425,196,425,196,409,166,409,166,425,196,409,166,409.6871,185.2407,409.96180000000004,192.9325,409.8182,188.9091,409.0,166.0,1.039119804400978,1.0
c02a1773-2884-446b-a563-5a7b31cb2904,22,False,"[(128, 161)]",365,375,114,148,365,128,289,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,1.0,1.0
