eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
2d793670-1a15-400c-8176-08b509a8a66d,22,False,"[(355, 454)]",969,1091,323,382,969,355,809,809,355,809,355,809,355,809,355,809,355,809,355,809,355,809,355,809,355,809,355,809,355,809.0,355.0,809.0,355.0,809.0,355.0,809.0,355.0,1.0,1.0
2d793670-1a15-400c-8176-08b509a8a66d,22,False,"[(454, 355)]",1091,969,382,323,1091,454,809,809,454,809,454,809,454,809,454,809,454,809,454,809,454,809,454,809,454,809,454,809,454,809.0,454.0,809.0,454.0,809.0,454.0,809.0,454.0,1.0,1.0
35221226-a636-4113-ae38-bdebf9da741d,22,False,"[(150, 117)]",353,343,118,105,353,150,267,267,150,267,150,267,150,267,150,267,150,267,150,267,150,267,150,267,150,267,150,267,150,267.0,150.0,267.0,150.0,267.0,150.0,267.0,150.0,1.0,1.0
35221226-a636-4113-ae38-bdebf9da741d,22,False,"[(117, 150)]",343,353,105,118,343,117,267,267,117,267,117,267,117,267,117,267,117,267,117,267,117,267,117,267,117,267,117,267,117,267.0,117.0,267.0,117.0,267.0,117.0,267.0,117.0,1.0,1.0
acdbc785-5399-4be8-8806-b5b47b0fc7df,0,False,"[(268, 863)]",661,1267,255,459,661,271,1125,1131,268,1131,268,1131,268,1131,268,1131,268,1131,268,1131,268,1131,268,1131,268,1131,268,1131,268,1131.0,268.0,1131.0,268.0,1131.0,268.0,1131.0,268.0,1.0053333333333334,1.0053333333333334
acdbc785-5399-4be8-8806-b5b47b0fc7df,0,False,"[(863, 268)]",1267,661,459,255,1267,854,1125,1131,863,1131,863,1131,863,1131,863,1131,863,1131,863,1131,863,1131,863,1131,863,1131,863,1131,863,1131.0,863.0,1131.0,863.0,1131.0,863.0,1131.0,863.0,1.0053333333333334,1.0053333333333334
defa6dce-a9b6-4438-aa0a-84be05646ba7,0,False,"[(74, 51), (66, 77)]",245,199,47,37,245,65,119,125,74,125,74,125,74,125,74,143,66,125,74,125,74,125,74,125,74,143,66,125,74,128.65049999999997,72.3775,125.0,74.0,125.0,74.0,125.0,74.0,1.2016806722689075,1.050420168067227
defa6dce-a9b6-4438-aa0a-84be05646ba7,0,False,"[(51, 74), (77, 66)]",199,245,37,47,199,54,119,125,51,125,51,125,51,125,51,143,77,125,51,125,51,125,51,125,51,143,77,125,51,128.65049999999997,56.272999999999996,125.0,51.0,125.0,51.0,125.0,51.0,1.2016806722689075,1.050420168067227
057fa9ce-c70f-488b-8d78-1ab3b65c3f35,1,False,"[(129, 118)]",321,309,109,118,321,129,247,247,129,247,129,247,129,247,129,247,129,247,129,247,129,247,129,247,129,247,129,247,129,247.0,129.0,247.0,129.0,247.0,129.0,247.0,129.0,1.0,1.0
057fa9ce-c70f-488b-8d78-1ab3b65c3f35,1,False,"[(118, 129)]",309,321,118,109,309,118,247,247,118,247,118,247,118,247,118,247,118,247,118,247,118,247,118,247,118,247,118,247,118,247.0,118.0,247.0,118.0,247.0,118.0,247.0,118.0,1.0,1.0
