eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
04f29590-56ca-4121-8f95-79e633f7bdae,23,True,"[(77, 100), (84, 61)]",210,232,57,47,210,75,139,145,84,145,84,145,84,145,84,177,77,177,77,145,84,145,84,145,84,177,77,145,84,151.0,82.6875,176.3044,77.1522,145.0,84.0,145.0,84.0,1.2733812949640289,1.0431654676258992
04f29590-56ca-4121-8f95-79e633f7bdae,23,True,"[(100, 77), (61, 84)]",232,210,47,57,232,64,139,145,61,145,61,145,61,145,61,177,100,177,100,145,61,145,61,145,61,177,100,145,61,151.0,68.3125,176.3044,99.1522,145.0,61.0,145.0,61.0,1.2733812949640289,1.0431654676258992
058705de-ed05-4978-a196-44e2fb595a1e,22,False,"[(138, 161), (152, 141)]",508,474,129,127,508,152,293,299,138,293,152,293,152,293,152,293,152,293,152,293,152,293,152,293,152,299,138,293,152,295.31909999999993,146.589,293.0,152.0,293.0,152.0,293.0,152.0,1.0204778156996588,1.0
058705de-ed05-4978-a196-44e2fb595a1e,22,False,"[(161, 138), (141, 152)]",474,508,127,129,474,141,293,299,161,293,141,293,141,293,141,293,141,293,141,293,141,293,141,293,141,299,161,293,141,295.31909999999993,148.7301,293.0,141.0,293.0,141.0,293.0,141.0,1.0204778156996588,1.0
05fda2dc-e7cc-47cf-a007-f3db77e24efe,22,False,"[(61, 72), (70, 47)]",200,200,38,38,200,61,111,117,70,117,70,117,70,117,70,133,61,117,70,117,70,117,70,117,70,133,61,117,70,121.54079999999999,67.44579999999999,127.8236,63.9118,117.0,70.0,117.0,70.0,1.1981981981981982,1.054054054054054
05fda2dc-e7cc-47cf-a007-f3db77e24efe,22,False,"[(72, 61), (47, 70)]",200,200,38,38,200,50,111,117,47,117,47,117,47,117,47,133,72,117,47,117,47,117,47,117,47,133,72,117,47,121.54079999999999,54.095,127.8236,63.9118,117.0,47.0,117.0,47.0,1.1981981981981982,1.054054054054054
7ca1a06f-5b3e-4a1a-9290-66f8104bc7ff,22,False,"[(89, 78), (85, 96), (80, 103)]",210,244,65,69,210,89,167,167,89,167,89,167,89,167,89,167,89,183,80,181,85,167,89,167,89,183,80,167,89,172.03879999999998,86.1657,183.0,80.0,167.0,89.0,167.0,89.0,1.095808383233533,1.0
7ca1a06f-5b3e-4a1a-9290-66f8104bc7ff,22,False,"[(78, 89), (96, 85), (103, 80)]",244,210,69,65,244,78,167,167,78,167,78,167,78,167,78,167,78,183,103,181,96,167,78,167,78,183,103,167,78,172.03879999999998,85.8731,183.0,103.0,167.0,78.0,167.0,78.0,1.095808383233533,1.0
80faa0a5-dc25-422b-a201-eb9ebe7f0112,0,False,"[(128, 117), (99, 122)]",232,278,85,103,232,102,215,221,99,221,99,221,99,221,99,245,128,221,99,221,99,221,99,221,99,245,128,221,99,223.9921,102.6155,221.0,99.0,221.0,99.0,221.0,99.0,1.1395348837209303,1.027906976744186
80faa0a5-dc25-422b-a201-eb9ebe7f0112,0,False,"[(117, 128), (122, 99)]",278,232,103,85,278,113,215,221,122,221,122,221,122,221,122,245,117,221,122,221,122,221,122,221,122,245,117,221,122,223.9921,121.3766,221.0,122.0,221.0,122.0,221.0,122.0,1.1395348837209303,1.027906976744186
