eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1,SP2,SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
c4616081-0dba-4534-ba16-45e5fb07072b,1,11,False,"[(557, 315), (561, 297)]",870,640,870,561,858,0.9999998466257904,561,297,1.0219434134884933,557,315,0.9999998466257904,561,297,0.9999998466257904,561,297,1.0219434134884933,557,315,1.0219434134884933,557,315,0.9999998466257904,561,297,0.9999998466257904,561,297,1.0219434134884933,557,315,0.9999998466257904,561,297,1.0,309.0,1.0042228185608102,309.7833,1.0219435736677116,313.0,1.0,309.0,1.0219435736677116,1.0
c4616081-0dba-4534-ba16-45e5fb07072b,1,11,False,"[(315, 557), (297, 561)]",640,870,640,297,858,0.9999998466257904,1.0219434134884933,0.9999998466257904,0.9999998466257904,1.0219434134884933,1.0219434134884933,0.9999998466257904,0.9999998466257904,1.0219434134884933,0.9999998466257904,1.0,343.0,1.0042228185608102,339.475,1.0219435736677116,325.0,1.0,343.0,1.0219435736677116,1.0
bf8d59ee-cdfb-4da5-b4ac-90c7347a64c3,0,0,False,"[(240, 240), (236, 248)]",452,464,281,239,478,1.0138886541924412,236,248,1.0045869255534574,240,240,1.0045869255534574,240,240,1.0045869255534574,240,240,1.0045869255534574,240,240,1.0045869255534574,240,240,1.0045869255534574,240,240,1.0045869255534574,240,240,1.0138886541924412,236,248,1.0045869255534574,240,240,1.0045871559633028,212.0,1.0077439833312702,213.3659,1.0138888888888888,216.0,1.0045871559633028,212.0,1.0138888888888888,1.0045871559633028
bf8d59ee-cdfb-4da5-b4ac-90c7347a64c3,0,0,False,"[(240, 240), (248, 236)]",464,452,293,239,478,1.0138886541924412,1.0045869255534574,1.0045869255534574,1.0045869255534574,1.0045869255534574,1.0045869255534574,1.0045869255534574,1.0045869255534574,1.0138886541924412,1.0045869255534574,1.0045871559633028,224.0,1.0077439833312702,221.2683,1.0138888888888888,216.0,1.0045871559633028,224.0,1.0138888888888888,1.0045871559633028
