EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
c35a4275-2509-4529-a2cc-7705aa353ac2,False,"[(21, 26), (25, 25)]",37,33,21,25,21,21,25,21,21,21,25,21,47,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[15.2381, 16.1905]","[0.8095, 0.1905]",31.4286,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[16.0, 16.0]","[1.0, 0.0]",32.0,1.103448275862069,1.0
c35a4275-2509-4529-a2cc-7705aa353ac2,False,"[(26, 21), (25, 25)]",42,38,26,25,26,26,25,26,26,26,25,26,47,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[16.1905, 15.2381]","[0.8095, 0.1905]",31.4286,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[16.0, 16.0]","[1.0, 0.0]",32.0,1.103448275862069,1.0
cd8d9de1-4fbd-4398-ab98-44f300d1c238,False,"[(23, 18), (20, 20)]",34,34,23,20,20,20,20,23,20,20,23,20,40,"[13.7499, 9.1667]","[0.0834, 0.9166]",22.916600000000003,"[12.623, 9.918]","[0.459, 0.541]",22.540999999999997,"[11.0, 11.0]","[1.0, 0.0]",22.0,"[14.0, 9.0]","[0.0, 1.0]",23.0,1.0454545454545454,1.0
cd8d9de1-4fbd-4398-ab98-44f300d1c238,False,"[(18, 23), (20, 20)]",29,29,18,20,20,20,20,18,20,20,18,20,40,"[9.1667, 13.7499]","[0.0834, 0.9166]",22.916600000000003,"[9.918, 12.623]","[0.459, 0.541]",22.540999999999997,"[11.0, 11.0]","[1.0, 0.0]",22.0,"[9.0, 14.0]","[0.0, 1.0]",23.0,1.0454545454545454,1.0
f46c4382-8585-4645-9014-aec114a5ca06,False,"[(26, 31), (30, 30)]",37,37,26,30,26,26,30,26,26,26,30,26,57,"[11.0, 16.0]","[1.0, 0.0]",27.0,"[10.443, 16.1392]","[0.8608, 0.1392]",26.5822,"[11.0, 16.0]","[1.0, 0.0]",27.0,"[11.0, 16.0]","[1.0, 0.0]",27.0,1.125,1.0
f46c4382-8585-4645-9014-aec114a5ca06,False,"[(31, 26), (30, 30)]",47,47,31,30,31,31,30,31,31,31,30,31,57,"[16.0, 11.0]","[1.0, 0.0]",27.0,"[16.1392, 10.443]","[0.8608, 0.1392]",26.5822,"[16.0, 11.0]","[1.0, 0.0]",27.0,"[16.0, 11.0]","[1.0, 0.0]",27.0,1.125,1.0
4683785b-07c8-438a-ab61-b9a0d60bcfca,False,"[(28, 23), (26, 26)]",37,37,28,26,28,28,26,26,28,28,26,28,51,"[9.1667, 13.7499]","[0.9166, 0.0834]",22.916600000000003,"[9.918, 12.623]","[0.541, 0.459]",22.540999999999997,"[11.0, 11.0]","[-0.0, 1.0]",22.0,"[9.0, 14.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
4683785b-07c8-438a-ab61-b9a0d60bcfca,False,"[(23, 28), (26, 26)]",37,37,23,26,23,23,26,26,23,23,26,23,51,"[13.7499, 9.1667]","[0.9166, 0.0834]",22.916600000000003,"[12.623, 9.918]","[0.541, 0.459]",22.540999999999997,"[11.0, 11.0]","[-0.0, 1.0]",22.0,"[14.0, 9.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
67cf345a-3ba7-48ac-9643-b0e4e0c11dec,False,"[(18, 23), (22, 22)]",34,34,18,22,18,18,22,22,18,18,22,18,41,"[16.0, 11.0]","[1.0, 0.0]",27.0,"[15.0, 11.25]","[0.75, 0.25]",26.25,"[12.0, 12.0]","[-0.0, 1.0]",24.0,"[16.0, 11.0]","[1.0, 0.0]",27.0,1.125,1.0
67cf345a-3ba7-48ac-9643-b0e4e0c11dec,False,"[(23, 18), (22, 22)]",34,34,23,22,23,23,22,22,23,23,22,23,41,"[11.0, 16.0]","[1.0, 0.0]",27.0,"[11.25, 15.0]","[0.75, 0.25]",26.25,"[12.0, 12.0]","[-0.0, 1.0]",24.0,"[11.0, 16.0]","[1.0, 0.0]",27.0,1.125,1.0
af81f770-507f-4b64-9ca2-5fb7ce2ef95d,False,"[(19, 24), (21, 21), (24, 19)]",37,35,19,21,21,21,21,21,21,21,19,21,42,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[-0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[-0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,1.032258064516129,1.0
af81f770-507f-4b64-9ca2-5fb7ce2ef95d,False,"[(24, 19), (21, 21), (19, 24)]",37,35,24,21,21,21,21,21,21,21,24,21,42,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, -0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, -0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,1.032258064516129,1.0
db909917-7703-49b3-8568-147688b425d9,False,"[(24, 29), (26, 26)]",34,34,24,26,26,26,26,26,26,26,24,26,52,"[8.0, 3.0]","[0.0, 1.0]",11.0,"[8.3333, 2.5]","[0.1667, 0.8333]",10.8333,"[8.0, 3.0]","[-0.0, 1.0]",11.0,"[8.0, 3.0]","[0.0, 1.0]",11.0,1.1,1.0
db909917-7703-49b3-8568-147688b425d9,False,"[(29, 24), (26, 26)]",29,29,29,26,26,26,26,26,26,26,29,26,52,"[3.0, 8.0]","[0.0, 1.0]",11.0,"[2.5, 8.3333]","[0.1667, 0.8333]",10.8333,"[3.0, 8.0]","[-0.0, 1.0]",11.0,"[3.0, 8.0]","[0.0, 1.0]",11.0,1.1,1.0
3a79c8e0-c2fe-4494-8460-17a82db527d5,False,"[(22, 22), (25, 20)]",34,34,25,22,22,22,22,25,22,22,25,22,44,"[11.25, 7.5]","[0.75, 0.25]",18.75,"[10.5882, 7.9412]","[0.5294, 0.4706]",18.529400000000003,"[9.0, 9.0]","[-0.0, 1.0]",18.0,"[12.0, 7.0]","[1.0, 0.0]",19.0,1.0555555555555556,1.0
3a79c8e0-c2fe-4494-8460-17a82db527d5,False,"[(22, 22), (20, 25)]",29,29,20,22,22,22,22,20,22,22,20,22,44,"[7.5, 11.25]","[0.75, 0.25]",18.75,"[7.9412, 10.5882]","[0.5294, 0.4706]",18.529400000000003,"[9.0, 9.0]","[-0.0, 1.0]",18.0,"[7.0, 12.0]","[1.0, 0.0]",19.0,1.0555555555555556,1.0
4c9c4021-aaa0-457c-a351-f143abe6bb18,False,"[(20, 20), (18, 23)]",34,34,18,20,20,20,20,20,20,20,18,20,40,"[14.0, 9.0]","[1.0, 0.0]",23.0,"[14.5455, 8.1818]","[0.7273, 0.2727]",22.7273,"[14.0, 9.0]","[1.0, 0.0]",23.0,"[14.0, 9.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
4c9c4021-aaa0-457c-a351-f143abe6bb18,False,"[(20, 20), (23, 18)]",29,29,23,20,20,20,20,20,20,20,23,20,40,"[9.0, 14.0]","[1.0, 0.0]",23.0,"[8.1818, 14.5455]","[0.7273, 0.2727]",22.7273,"[9.0, 14.0]","[1.0, 0.0]",23.0,"[9.0, 14.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
9f080082-2118-4d29-948a-557502c2287e,False,"[(25, 25), (26, 21)]",34,34,26,25,26,26,25,25,26,26,25,26,47,"[8.0, 13.0]","[0.0, 1.0]",21.0,"[8.2653, 11.9388]","[0.2653, 0.7347]",20.2041,"[9.0, 9.0]","[1.0, 0.0]",18.0,"[8.0, 13.0]","[0.0, 1.0]",21.0,1.1666666666666667,1.0
9f080082-2118-4d29-948a-557502c2287e,False,"[(25, 25), (21, 26)]",34,34,21,25,21,21,25,25,21,21,25,21,47,"[13.0, 8.0]","[0.0, 1.0]",21.0,"[11.9388, 8.2653]","[0.2653, 0.7347]",20.2041,"[9.0, 9.0]","[1.0, 0.0]",18.0,"[13.0, 8.0]","[0.0, 1.0]",21.0,1.1666666666666667,1.0
dd07918a-2f97-4662-9598-0f49624505e7,False,"[(32, 32), (29, 34)]",37,37,29,32,29,29,32,29,29,29,32,29,63,"[8.0, 13.0]","[0.0, 1.0]",21.0,"[7.2131, 13.5246]","[0.2623, 0.7377]",20.7377,"[8.0, 13.0]","[-0.0, 1.0]",21.0,"[8.0, 13.0]","[0.0, 1.0]",21.0,1.05,1.0
dd07918a-2f97-4662-9598-0f49624505e7,False,"[(32, 32), (34, 29)]",47,47,34,32,34,34,32,34,34,34,32,34,63,"[13.0, 8.0]","[0.0, 1.0]",21.0,"[13.5246, 7.2131]","[0.2623, 0.7377]",20.7377,"[13.0, 8.0]","[-0.0, 1.0]",21.0,"[13.0, 8.0]","[0.0, 1.0]",21.0,1.05,1.0
00c90bc4-e6a4-4b2a-b8d1-e59fef8a05d7,False,"[(22, 27), (27, 22), (26, 26)]",34,34,22,26,22,22,26,26,22,22,26,22,48,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[12.0, 7.0]","[1.0, 0.0, 0.0]",19.0,1.25,1.0526315789473684
00c90bc4-e6a4-4b2a-b8d1-e59fef8a05d7,False,"[(27, 22), (22, 27), (26, 26)]",34,34,27,26,27,27,26,26,27,27,26,27,48,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[7.0, 12.0]","[1.0, 0.0, 0.0]",19.0,1.25,1.0526315789473684
1be034bd-db0e-49ea-834f-826e7fd1764d,False,"[(22, 27), (26, 26)]",37,37,22,26,22,22,26,22,22,22,26,22,49,"[15.0, 20.0]","[1.0, 0.0]",35.0,"[14.3939, 20.1515]","[0.8485, 0.1515]",34.5454,"[15.0, 20.0]","[1.0, 0.0]",35.0,"[15.0, 20.0]","[1.0, 0.0]",35.0,1.09375,1.0
1be034bd-db0e-49ea-834f-826e7fd1764d,False,"[(27, 22), (26, 26)]",47,47,27,26,27,27,26,27,27,27,26,27,49,"[20.0, 15.0]","[1.0, 0.0]",35.0,"[20.1515, 14.3939]","[0.8485, 0.1515]",34.5454,"[20.0, 15.0]","[1.0, 0.0]",35.0,"[20.0, 15.0]","[1.0, 0.0]",35.0,1.09375,1.0
