eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
8f2ccbff-3449-4ec4-848d-8793c007d1ef,2,22,False,"[(159, 148), (167, 144)]",507,541,135,135,507,158,305,311,167,307,159,307,159,307,159,307,159,307,159,307,159,307,159,307,159,311,167,307,159,307.0,159.0,308.2189,161.43779999999998,307.0,159.0,307.0,159.0,0.9807073954983924,0.993485342019544
23fc1cc7-e29f-4ea5-854f-29886c59b4aa,2,22,False,"[(99, 110), (117, 106), (120, 97)]",365,353,85,87,365,99,209,217,120,209,99,209,99,209,99,209,99,223,117,209,99,209,99,209,99,223,117,209,99,209.0,99.0,212.13160000000005,107.2203,214.41180000000003,113.2059,209.0,99.0,0.937219730941704,1.0
23fc1cc7-e29f-4ea5-854f-29886c59b4aa,2,22,False,"[(110, 99), (106, 117), (97, 120)]",353,365,87,85,353,110,209,217,97,209,110,209,110,209,110,209,110,223,106,209,110,209,110,209,110,223,106,209,110,209.0,110.0,212.13160000000005,104.9113,214.41180000000003,101.2059,209.0,110.0,0.937219730941704,1.0
c40273fd-3415-4e77-9fe1-8460fbabb838,0,0,False,"[(104, 81), (98, 87), (81, 104)]",355,309,72,70,355,95,179,185,104,185,98,185,104,185,104,185,98,185,104,185,98,185,104,185,104,185,81,185,104,185.0,103.9998,185.0,93.55380000000002,185.0,104.0,185.0,104.0,0.9675675675675676,0.9675675675675676
c40273fd-3415-4e77-9fe1-8460fbabb838,0,0,False,"[(81, 104), (87, 98), (104, 81)]",309,355,70,72,309,84,179,185,81,185,87,185,81,185,81,185,87,185,81,185,87,185,81,185,81,185,104,185,81,185.0,81.0002,185.0,91.4462,185.0,81.0,185.0,81.0,0.9675675675675676,0.9675675675675676
b95e5aab-b947-4510-a69b-9ddb28fad1c2,1,1,False,"[(148, 125), (116, 139), (120, 131)]",365,353,108,108,365,119,249,255,116,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,273,148,251,120,251.0001,120.0,252.6252,122.0685,265.8824,138.9412,251.0,120.0,0.912087912087912,0.9920318725099602
b95e5aab-b947-4510-a69b-9ddb28fad1c2,1,1,False,"[(125, 148), (139, 116), (131, 120)]",353,365,108,108,353,130,249,255,139,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,273,125,251,131,251.0001,131.0001,252.6252,130.5567,265.8824,126.9412,251.0,131.0,0.912087912087912,0.9920318725099602
64300348-d7d4-4723-bac3-352ca3005a29,2,22,False,"[(145, 122), (116, 127), (107, 130)]",365,353,106,98,365,110,231,237,107,243,116,237,107,237,107,243,116,243,116,243,116,237,107,237,107,267,145,237,107,237.0001,107.00009999999996,241.3407,113.511,259.2352,135.6176,237.0,107.0,0.8651685393258427,0.9746835443037974
64300348-d7d4-4723-bac3-352ca3005a29,2,22,False,"[(122, 145), (127, 116), (130, 107)]",353,365,98,106,353,121,231,237,130,243,127,237,130,237,130,243,127,243,127,243,127,237,130,237,130,267,122,237,130,237.0001,130.0,241.3407,127.8297,259.2352,123.6176,237.0,130.0,0.8651685393258427,0.9746835443037974
307902af-6be5-4015-9217-ef64035ed6d4,2,12,False,"[(110, 99), (101, 112)]",375,387,87,99,375,110,209,209,110,209,110,209,110,209,110,209,110,213,101,213,101,209,110,209,110,213,101,209,110,209.0,110.0,210.6848,106.20929999999998,213.0,101.0,209.0,110.0,0.9812206572769951,1.0
307902af-6be5-4015-9217-ef64035ed6d4,2,12,False,"[(99, 110), (112, 101)]",387,375,99,87,387,99,209,209,99,209,99,209,99,209,99,209,99,213,112,213,112,209,99,209,99,213,112,209,99,209.0,99.0,210.6848,104.4755,213.0,112.0,209.0,99.0,0.9812206572769951,1.0
2c763eab-6b12-40f8-af9d-84728ac4edc7,1,1,False,"[(50, 27), (48, 37)]",57,45,21,21,57,41,71,77,50,85,48,77,50,77,50,85,48,85,48,85,48,77,50,77,50,85,48,77,50,77.0,50.0,79.2857,49.4286,84.3334,48.1667,77.0,50.0,0.8352941176470589,0.922077922077922
2c763eab-6b12-40f8-af9d-84728ac4edc7,1,1,False,"[(27, 50), (37, 48)]",45,57,21,21,45,30,71,77,27,85,37,77,27,77,27,85,37,85,37,85,37,77,27,77,27,85,37,77,27,77.0,27.0,79.2857,29.857100000000003,84.3334,36.1667,77.0,27.0,0.8352941176470589,0.922077922077922
8b93e409-cd53-45bb-87cd-c8da8cad6d35,0,0,False,"[(194, 117), (207, 108), (215, 104)]",509,375,130,90,509,194,311,319,215,311,194,311,194,311,194,311,194,319,215,311,194,311,194,311,194,319,215,311,194,311.0001,194.0002,313.57629999999995,202.3729,319.0,215.0,311.0,194.0,0.974921630094044,1.0
8b93e409-cd53-45bb-87cd-c8da8cad6d35,0,0,False,"[(117, 194), (108, 207), (104, 215)]",375,509,90,130,375,117,311,319,104,311,117,311,117,311,117,311,117,319,104,311,117,311,117,311,117,319,104,311,117,311.0001,116.99990000000004,313.57629999999995,111.2034,319.0,104.0,311.0,117.0,0.974921630094044,1.0
4f0b5f06-bcfd-44c6-a9bc-4e0d044ffdfa,1,1,False,"[(23, 34), (36, 25)]",45,79,9,16,45,23,57,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57,23,61,36,57,23,57.0,23.0,57.88,25.86,57.0,23.0,57.0,23.0,0.9344262295081968,1.0
4f0b5f06-bcfd-44c6-a9bc-4e0d044ffdfa,1,1,False,"[(34, 23), (25, 36)]",79,45,16,9,79,34,57,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57,34,61,25,57,34,57.0,34.0,57.88,32.02,57.0,34.0,57.0,34.0,0.9344262295081968,1.0
