eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
0d9a67c1-b2fc-48ba-9ba6-1646b3ba8591,2,22,False,"[(96, 141), (173, 128)]",420,430,96,88,420,96,237,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237,96,301,173,237,96,237.0,96.0,246.81459999999993,107.8082,261.88879999999995,125.94439999999997,237.0,96.0,0.7873754152823921,1.0
0d9a67c1-b2fc-48ba-9ba6-1646b3ba8591,2,22,False,"[(141, 96), (128, 173)]",430,420,88,96,430,141,237,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237,141,301,128,237,141,237.0,141.0,246.81459999999993,139.00639999999999,261.88879999999995,135.94439999999997,237.0,141.0,0.7873754152823921,1.0
7c0f6ae6-9089-4e57-840c-68ba4acbdddb,0,0,False,"[(113, 102), (100, 111)]",430,476,83,91,430,100,211,211,100,211,100,211,100,211,100,215,113,211,100,211,100,211,100,211,100,215,113,211,100,211.0,100.0,212.51690000000008,104.9298,211.0,100.0,211.0,100.0,0.9813953488372092,1.0
7c0f6ae6-9089-4e57-840c-68ba4acbdddb,0,0,False,"[(102, 113), (111, 100)]",476,430,91,83,476,111,211,211,111,211,111,211,111,211,111,215,102,211,111,211,111,211,111,211,111,215,102,211,111,211.0,111.0,212.51690000000008,107.58710000000002,211.0,111.0,211.0,111.0,0.9813953488372092,1.0
56ef3658-ceac-4fd7-91ff-33fa10af653c,1,11,False,"[(166, 99), (151, 206), (147, 214)]",452,386,121,88,452,157,259,265,166,265,166,265,166,265,166,357,151,265,166,265,166,265,166,265,166,361,147,265,166,265.0,166.0,277.9167,163.4436,265.7164,165.8582,265.0,166.0,0.7174515235457064,0.9773584905660377
56ef3658-ceac-4fd7-91ff-33fa10af653c,1,11,False,"[(99, 166), (206, 151), (214, 147)]",386,452,88,121,386,102,259,265,99,265,99,265,99,265,99,357,206,265,99,265,99,265,99,265,99,361,214,265,99,265.0,99.0,277.9167,114.47309999999999,265.7164,99.85820000000001,265.0,99.0,0.7174515235457064,0.9773584905660377
f749949e-f622-4293-ab7f-c2541237e111,2,22,False,"[(192, 225), (222, 211)]",452,464,136,164,452,156,411,417,192,433,222,417,192,417,192,433,222,417,192,417,192,417,192,417,192,433,222,417,192,417.0,192.0,422.1862,201.724,424.6364,206.3182,417.0,192.0,0.9491916859122402,0.9856115107913669
f749949e-f622-4293-ab7f-c2541237e111,2,22,False,"[(225, 192), (211, 222)]",464,452,164,136,464,255,411,417,225,433,211,417,225,417,225,433,211,417,225,417,225,417,225,417,225,433,211,417,225,417.0,225.0,422.1862,220.4622,424.6364,218.3182,417.0,225.0,0.9491916859122402,0.9856115107913669
f1dd403a-7f42-404d-8554-72efd259e129,0,0,False,"[(102, 125), (135, 112)]",430,476,91,103,430,102,227,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227,102,227,102,247,135,227,102,227.0,102.0,232.2396,110.6454,227.0,102.0,227.0,102.0,0.9190283400809717,1.0
f1dd403a-7f42-404d-8554-72efd259e129,0,0,False,"[(125, 102), (112, 135)]",476,430,103,91,476,125,227,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227,125,227,125,247,112,227,125,227.0,125.0,232.2396,121.5942,227.0,125.0,227.0,125.0,0.9190283400809717,1.0
