eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
c2d6c3d9-e237-4796-adbb-7fba04c58ef6,0,0,False,"[(369, 358), (356, 367), (347, 370)]",1068,1102,327,342,1068,350,711,717,347,723,356,717,347,717,347,727,369,717,347,723,356,717,347,717,347,727,369,717,347,717.0005999999998,347.0014,720.4581000000001,354.6077,717.0,347.0,717.0,347.0,0.9779917469050894,0.9916317991631799
c2d6c3d9-e237-4796-adbb-7fba04c58ef6,0,0,False,"[(358, 369), (367, 356), (370, 347)]",1102,1068,342,327,1102,361,711,717,370,723,367,717,370,717,370,727,358,717,370,723,367,717,370,717,370,727,358,717,370,717.0005999999998,369.9992,720.4581000000001,365.85040000000004,717.0,370.0,717.0,370.0,0.9779917469050894,0.9916317991631799
d68f364d-ed25-4ffc-be6e-32575ba48b11,2,22,False,"[(84, 107), (88, 99), (120, 97)]",310,310,75,76,310,87,185,191,84,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,217,120,187,88,187.0,88.0,187.6015,87.39850000000001,196.7058,98.3529,187.0,88.0,0.8525345622119815,0.9893048128342246
d68f364d-ed25-4ffc-be6e-32575ba48b11,2,22,False,"[(107, 84), (99, 88), (97, 120)]",310,310,76,75,310,98,185,191,107,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,217,97,187,99,187.0,99.0,187.6015,100.203,196.7058,98.3529,187.0,99.0,0.8525345622119815,0.9893048128342246
15e52ccb-1eb4-43bc-ba80-40660c9f4f24,2,22,False,"[(105, 336), (118, 283), (154, 275), (163, 262), (167, 244), (180, 213)]",320,376,77,113,320,180,393,441,105,393,180,393,180,393,180,393,180,393,180,393,180,401,118,393,180,441,105,393,180,393.28200000000004,177.8143,396.8877,149.87,394.394,169.197,393.0,180.0,0.891156462585034,1.0
15e52ccb-1eb4-43bc-ba80-40660c9f4f24,2,22,False,"[(336, 105), (283, 118), (275, 154), (262, 163), (244, 167), (213, 180)]",376,320,113,77,376,213,393,441,336,393,213,393,213,393,213,393,213,393,213,393,213,401,283,393,213,441,336,393,213,393.28200000000004,215.4677,396.8877,247.0177,394.394,225.197,393.0,213.0,0.891156462585034,1.0
4f20c171-195b-4114-ae45-1e756d2c7ffb,2,22,False,"[(83, 106), (99, 76)]",310,310,72,63,310,99,175,175,99,175,99,175,99,175,99,189,83,175,99,175,99,175,99,175,99,189,83,175,99,175.0,99.0,179.96640000000002,93.32400000000001,182.0,91.0,175.0,99.0,0.9259259259259259,1.0
4f20c171-195b-4114-ae45-1e756d2c7ffb,2,22,False,"[(106, 83), (76, 99)]",310,310,63,72,310,76,175,175,76,175,76,175,76,175,76,189,106,175,76,175,76,175,76,175,76,189,106,175,76,175.0,76.0,179.96640000000002,86.64240000000001,182.0,91.0,175.0,76.0,0.9259259259259259,1.0
1504e623-b7bb-4898-bdf1-f817fc374678,0,0,False,"[(466, 455), (474, 451)]",1344,1310,456,440,1344,465,919,925,474,921,466,921,466,921,466,921,466,925,474,921,466,921,466,921,466,925,474,921,466,921.0,466.0,922.3528000000001,468.7057,925.0,474.0,921.0,466.0,0.9935135135135135,0.997828447339848
1504e623-b7bb-4898-bdf1-f817fc374678,0,0,False,"[(455, 466), (451, 474)]",1310,1344,440,456,1310,454,919,925,451,921,455,921,455,921,455,921,455,925,451,921,455,921,455,921,455,925,451,921,455,921.0,455.0,922.3528000000001,453.6471,925.0,451.0,921.0,455.0,0.9935135135135135,0.997828447339848
ad5bcc43-d4cd-4b52-8298-f07f25e7ce02,1,22,False,"[(106, 117), (135, 112)]",354,342,97,97,354,106,223,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223,106,247,135,223,106,223.0,106.0,226.76229999999998,110.5461,239.23520000000002,125.61760000000001,223.0,106.0,0.902834008097166,1.0
ad5bcc43-d4cd-4b52-8298-f07f25e7ce02,1,22,False,"[(117, 106), (112, 135)]",342,354,97,97,342,117,223,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223,117,247,112,223,117,223.0,117.0,226.76229999999998,116.21619999999999,239.23520000000002,113.61760000000001,223.0,117.0,0.902834008097166,1.0
67453bc6-8161-4076-b72e-99d86eeeb1e2,0,0,False,"[(359, 370), (368, 357), (376, 353)]",850,496,257,130,850,367,723,729,376,725,368,725,368,725,368,729,359,729,376,729,376,725,368,729,376,729,359,725,368,729.0,376.0,725.8713,369.7426,729.0,376.0,725.0,368.0,0.9917695473251029,0.9972413793103448
67453bc6-8161-4076-b72e-99d86eeeb1e2,0,0,False,"[(370, 359), (357, 368), (353, 376)]",496,850,130,257,496,356,723,729,353,725,357,725,357,725,357,729,370,729,353,729,353,725,357,729,353,729,370,725,357,729.0,353.0,725.8713,356.1287,729.0,353.0,725.0,357.0,0.9917695473251029,0.9972413793103448
8e890091-729d-441b-bbfc-3aaf42669116,3,23,False,"[(97, 86), (86, 97), (76, 99)]",320,320,67,68,320,79,169,175,76,183,97,175,76,175,76,183,97,183,97,183,97,175,76,175,76,183,97,175,76,175.0,76.0,178.13819999999998,84.2379,180.41180000000003,90.20590000000001,175.0,76.0,0.9234972677595629,0.9657142857142857
8e890091-729d-441b-bbfc-3aaf42669116,3,23,False,"[(86, 97), (97, 86), (99, 76)]",320,320,68,67,320,90,169,175,99,183,86,175,99,175,99,183,86,183,86,183,86,175,99,175,99,183,86,175,99,175.0,99.0,178.13819999999998,93.90029999999999,180.41180000000003,90.20590000000001,175.0,99.0,0.9234972677595629,0.9657142857142857
c14d8db8-b6c9-48a7-a601-417f0ebc4267,1,11,False,"[(88, 77), (83, 94)]",320,298,68,68,320,88,165,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,177,83,165,88,165.0,88.0,167.5827,86.9238,165.0,88.0,165.0,88.0,0.9322033898305084,1.0
c14d8db8-b6c9-48a7-a601-417f0ebc4267,1,11,False,"[(77, 88), (94, 83)]",298,320,68,68,298,77,165,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,177,94,165,77,165.0,77.0,167.5827,80.65889999999999,165.0,77.0,165.0,77.0,0.9322033898305084,1.0
