EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
9b898810-eb76-445e-a463-d8b2c3bd3c93,False,"[(128, 105), (120, 109)]",200,200,128,120,120,120,120,128,128,120,120,128,120,217,"[80.0, 57.0]","[0.0, 1.0]",137.0,"[76.8317, 58.5842]","[0.396, 0.604]",135.4159,"[72.0, 61.0]","[1.0, 0.0]",133.0,"[80.0, 57.0]","[0.0, 1.0]",137.0,0.9313304721030042,0.9475982532751092
9b898810-eb76-445e-a463-d8b2c3bd3c93,False,"[(105, 128), (109, 120)]",166,166,105,109,109,109,109,105,105,109,109,105,109,217,"[57.0, 80.0]","[0.0, 1.0]",137.0,"[58.5842, 76.8317]","[0.396, 0.604]",135.4159,"[61.0, 72.0]","[1.0, 0.0]",133.0,"[57.0, 80.0]","[0.0, 1.0]",137.0,0.9313304721030042,0.9475982532751092
678993ab-ff43-44ec-bb5a-02ebf58938d4,False,"[(185, 162), (183, 172)]",232,232,185,183,185,185,183,185,185,185,185,183,185,347,"[47.0, 48.0]","[1.0, 0.0]",95.0,"[47.3276, 46.3618]","[0.8362, 0.1638]",93.6894,"[47.1667, 47.1667]","[0.9167, 0.0833]",94.3334,"[47.0, 48.0]","[1.0, 0.0]",95.0,0.9774647887323944,1.0
678993ab-ff43-44ec-bb5a-02ebf58938d4,False,"[(162, 185), (172, 183)]",210,210,162,172,162,162,172,162,162,162,162,172,162,347,"[48.0, 47.0]","[1.0, 0.0]",95.0,"[46.3618, 47.3276]","[0.8362, 0.1638]",93.6894,"[47.1667, 47.1667]","[0.9167, 0.0833]",94.3334,"[48.0, 47.0]","[1.0, 0.0]",95.0,0.9774647887323944,1.0
bc8014a9-6e08-4b79-aec4-015e79323035,False,"[(163, 140), (131, 154)]",210,210,131,131,131,131,163,131,131,131,131,163,131,279,"[79.0, 78.0]","[0.0, 1.0]",157.0,"[70.2612, 81.8232]","[0.2731, 0.7269]",152.08440000000002,"[78.3043, 78.3043]","[0.0217, 0.9783]",156.6086,"[79.0, 78.0]","[0.0, 1.0]",157.0,0.9207920792079208,0.9789473684210527
bc8014a9-6e08-4b79-aec4-015e79323035,False,"[(140, 163), (154, 131)]",232,232,154,154,154,154,140,154,154,154,154,140,154,279,"[78.0, 79.0]","[0.0, 1.0]",157.0,"[81.8232, 70.2612]","[0.2731, 0.7269]",152.08440000000002,"[78.3043, 78.3043]","[0.0217, 0.9783]",156.6086,"[78.0, 79.0]","[0.0, 1.0]",157.0,0.9207920792079208,0.9789473684210527
e9d67506-8fd8-4f49-ad8a-b93c913c3f35,False,"[(156, 201), (160, 193)]",232,232,156,160,160,160,160,156,156,160,160,156,160,351,"[72.0, 107.0]","[0.0, 1.0]",179.0,"[73.6525, 103.695]","[0.4131, 0.5869]",177.3475,"[76.0, 99.0]","[1.0, 0.0]",175.0,"[72.0, 107.0]","[0.0, 1.0]",179.0,0.9831932773109243,0.9943342776203966
e9d67506-8fd8-4f49-ad8a-b93c913c3f35,False,"[(201, 156), (193, 160)]",300,300,201,193,193,193,193,201,201,193,193,201,193,351,"[107.0, 72.0]","[0.0, 1.0]",179.0,"[103.695, 73.6525]","[0.4131, 0.5869]",177.3475,"[99.0, 76.0]","[1.0, 0.0]",175.0,"[107.0, 72.0]","[0.0, 1.0]",179.0,0.9831932773109243,0.9943342776203966
e39b6926-5643-4503-ba2a-a5934f256b13,False,"[(156, 167), (169, 158)]",276,276,156,156,156,156,156,156,156,156,156,169,156,323,"[120.0, 153.0]","[1.0, 0.0]",273.0,"[115.5932, 156.0508]","[0.661, 0.339]",271.644,"[120.0, 153.0]","[1.0, 0.0]",273.0,"[120.0, 153.0]","[1.0, 0.0]",273.0,0.9877675840978594,1.0
e39b6926-5643-4503-ba2a-a5934f256b13,False,"[(167, 156), (158, 169)]",320,320,167,167,167,167,167,167,167,167,167,158,167,323,"[153.0, 120.0]","[1.0, 0.0]",273.0,"[156.0508, 115.5932]","[0.661, 0.339]",271.644,"[153.0, 120.0]","[1.0, 0.0]",273.0,"[153.0, 120.0]","[1.0, 0.0]",273.0,0.9877675840978594,1.0
e186f7a6-1d1f-4737-a888-99da4360c4b2,True,"[(119, 142), (129, 140)]",210,210,119,129,119,119,129,119,119,119,119,129,119,261,"[91.0, 102.0]","[1.0, 0.0]",193.0,"[89.5106, 102.2979]","[0.8511, 0.1489]",191.80849999999998,"[91.0, 102.0]","[1.0, 0.0]",193.0,"[91.0, 102.0]","[1.0, 0.0]",193.0,0.9702602230483272,1.0
e186f7a6-1d1f-4737-a888-99da4360c4b2,True,"[(142, 119), (140, 129)]",244,244,142,140,142,142,140,142,142,142,142,140,142,261,"[102.0, 91.0]","[1.0, 0.0]",193.0,"[102.2979, 89.5106]","[0.8511, 0.1489]",191.80849999999998,"[102.0, 91.0]","[1.0, 0.0]",193.0,"[102.0, 91.0]","[1.0, 0.0]",193.0,0.9702602230483272,1.0
5eeb4fcf-cc42-44f2-803e-355c637e2b8e,True,"[(110, 99), (97, 108)]",210,210,97,97,97,97,110,97,97,97,97,110,97,201,"[113.0, 124.0]","[0.0, 1.0]",237.0,"[108.1854, 127.3332]","[0.3704, 0.6296]",235.5186,"[113.0, 124.0]","[-0.0, 1.0]",237.0,"[113.0, 124.0]","[0.0, 1.0]",237.0,0.9617224880382775,0.9804878048780488
5eeb4fcf-cc42-44f2-803e-355c637e2b8e,True,"[(99, 110), (108, 97)]",232,232,108,108,108,108,99,108,108,108,108,99,108,201,"[124.0, 113.0]","[0.0, 1.0]",237.0,"[127.3332, 108.1854]","[0.3704, 0.6296]",235.5186,"[124.0, 113.0]","[-0.0, 1.0]",237.0,"[124.0, 113.0]","[0.0, 1.0]",237.0,0.9617224880382775,0.9804878048780488
63d5e625-f75b-4257-a1f6-33bf2e8be2e4,False,"[(87, 98), (83, 106)]",200,200,83,87,87,87,87,87,87,87,87,83,87,183,"[113.0, 68.0]","[1.0, 0.0]",181.0,"[113.9007, 66.1987]","[0.7748, 0.2252]",180.0994,"[113.0, 68.0]","[1.0, 0.0]",181.0,"[113.0, 68.0]","[1.0, 0.0]",181.0,0.9682539682539683,0.9891891891891892
63d5e625-f75b-4257-a1f6-33bf2e8be2e4,False,"[(98, 87), (106, 83)]",166,166,106,98,98,98,98,98,98,98,98,106,98,183,"[68.0, 113.0]","[1.0, 0.0]",181.0,"[66.1987, 113.9007]","[0.7748, 0.2252]",180.0994,"[68.0, 113.0]","[1.0, 0.0]",181.0,"[68.0, 113.0]","[1.0, 0.0]",181.0,0.9682539682539683,0.9891891891891892
ba2335ab-7f8b-429f-ad43-89c2003b7896,False,"[(96, 119), (100, 111)]",200,200,96,100,100,100,100,100,100,100,100,96,100,209,"[100.0, 89.0]","[0.0, 1.0]",189.0,"[101.1987, 86.6027]","[0.2997, 0.7003]",187.8014,"[100.0, 89.0]","[-0.0, 1.0]",189.0,"[100.0, 89.0]","[0.0, 1.0]",189.0,0.9720930232558139,0.990521327014218
