EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
b3ab776f-f39b-40bd-bbf4-ad246d441adf,False,"[(76, 275), (80, 267)]",265,265,76,80,80,80,80,80,80,80,80,76,80,345,"[185.0, 174.0]","[0.0, 1.0]",359.0,"[186.2609, 171.4783]","[0.3152, 0.6848]",357.7392,"[185.0, 174.0]","[-0.0, 1.0]",359.0,"[185.0, 174.0]","[0.0, 1.0]",359.0,0.9829059829059829,0.9942363112391931
b3ab776f-f39b-40bd-bbf4-ad246d441adf,False,"[(275, 76), (267, 80)]",441,441,275,267,267,267,267,267,267,267,267,275,267,345,"[174.0, 185.0]","[0.0, 1.0]",359.0,"[171.4783, 186.2609]","[0.3152, 0.6848]",357.7392,"[174.0, 185.0]","[-0.0, 1.0]",359.0,"[174.0, 185.0]","[0.0, 1.0]",359.0,0.9829059829059829,0.9942363112391931
25b86954-3db5-4680-906b-eaf5d0798f23,False,"[(95, 84), (73, 96)]",255,255,73,95,73,73,95,95,95,73,73,95,73,169,"[182.0, 159.0]","[0.0, 1.0]",341.0,"[173.9193, 163.4077]","[0.3673, 0.6327]",337.327,"[167.1176, 167.1176]","[0.6765, 0.3235]",334.2352,"[182.0, 159.0]","[0.0, 1.0]",341.0,0.9441340782122905,1.0
25b86954-3db5-4680-906b-eaf5d0798f23,False,"[(84, 95), (96, 73)]",255,255,96,84,96,96,84,84,84,96,96,84,96,169,"[159.0, 182.0]","[0.0, 1.0]",341.0,"[163.4077, 173.9193]","[0.3673, 0.6327]",337.327,"[167.1176, 167.1176]","[0.6765, 0.3235]",334.2352,"[159.0, 182.0]","[0.0, 1.0]",341.0,0.9441340782122905,1.0
d3a99d3c-7240-4619-9767-0c3e6fcb2273,False,"[(136, 159), (151, 140), (153, 130)]",309,309,153,151,153,153,151,153,151,153,153,136,153,277,"[156.0001, 156.9999]","[0.0, 0.0, 1.0]",313.0,"[161.9033, 146.9296]","[0.3473, 0.0, 0.6527]",308.8329,"[156.3696, 156.3696]","[0.0217, 0.0, 0.9783]",312.7392,"[156.0, 157.0]","[0.0, 0.0, 1.0]",313.0,0.9389830508474576,0.9787985865724381
d3a99d3c-7240-4619-9767-0c3e6fcb2273,False,"[(159, 136), (140, 151), (130, 153)]",287,287,130,140,130,130,140,130,140,130,130,159,130,277,"[156.9999, 156.0001]","[0.0, 0.0, 1.0]",313.0,"[146.9296, 161.9033]","[0.3473, 0.0, 0.6527]",308.8329,"[156.3696, 156.3696]","[0.0217, 0.0, 0.9783]",312.7392,"[157.0, 156.0]","[0.0, 0.0, 1.0]",313.0,0.9389830508474576,0.9787985865724381
a97b01e7-e021-44b8-91ae-04937fa67d73,False,"[(84, 73), (75, 86)]",245,245,84,84,84,84,84,84,84,84,84,75,84,157,"[161.0, 126.0]","[1.0, 0.0]",287.0,"[164.052, 121.5915]","[0.6609, 0.3391]",285.6435,"[161.0, 126.0]","[1.0, 0.0]",287.0,"[161.0, 126.0]","[1.0, 0.0]",287.0,0.9751552795031055,1.0
a97b01e7-e021-44b8-91ae-04937fa67d73,False,"[(73, 84), (86, 75)]",199,199,73,73,73,73,73,73,73,73,73,86,73,157,"[126.0, 161.0]","[1.0, 0.0]",287.0,"[121.5915, 164.052]","[0.6609, 0.3391]",285.6435,"[126.0, 161.0]","[1.0, 0.0]",287.0,"[126.0, 161.0]","[1.0, 0.0]",287.0,0.9751552795031055,1.0
27566af3-34cc-4ffb-9da4-fb84e0346ff1,False,"[(88, 77), (83, 106)]",255,255,88,88,88,88,88,88,88,88,88,83,88,165,"[167.0, 144.0]","[1.0, 0.0]",311.0,"[167.6307, 140.342]","[0.8739, 0.1261]",307.97270000000003,"[167.0, 144.0]","[1.0, 0.0]",311.0,"[167.0, 144.0]","[1.0, 0.0]",311.0,0.873015873015873,1.0
27566af3-34cc-4ffb-9da4-fb84e0346ff1,False,"[(77, 88), (106, 83)]",221,221,77,77,77,77,77,77,77,77,77,106,77,165,"[144.0, 167.0]","[1.0, 0.0]",311.0,"[140.342, 167.6307]","[0.8739, 0.1261]",307.97270000000003,"[144.0, 167.0]","[1.0, 0.0]",311.0,"[144.0, 167.0]","[1.0, 0.0]",311.0,0.873015873015873,1.0
c387ed64-2771-4694-b928-8ea9a40b7eec,False,"[(112, 89), (96, 107)]",309,309,112,96,112,112,96,96,96,112,112,96,112,195,"[197.0345, 219.9612]","[0.9978, 0.0022]",416.9957,"[204.6584, 211.3843]","[0.5213, 0.4787]",416.04269999999997,"[207.8235, 207.8235]","[0.3235, 0.6765]",415.647,"[197.0, 220.0]","[1.0, 0.0]",417.0,0.9605911330049262,0.9701492537313433
c387ed64-2771-4694-b928-8ea9a40b7eec,False,"[(89, 112), (107, 96)]",309,309,89,107,89,89,107,107,107,89,89,107,89,195,"[219.9612, 197.0345]","[0.9978, 0.0022]",416.9957,"[211.3843, 204.6584]","[0.5213, 0.4787]",416.04269999999997,"[207.8235, 207.8235]","[0.3235, 0.6765]",415.647,"[220.0, 197.0]","[1.0, 0.0]",417.0,0.9605911330049262,0.9701492537313433
be3807bc-1ab8-4534-b0b4-8f474b29b863,False,"[(57, 68), (86, 63)]",255,255,57,57,57,57,57,86,57,57,57,86,57,125,"[198.0, 153.0]","[1.0, 0.0]",351.0,"[192.8475, 153.8884]","[0.8223, 0.1777]",346.7359,"[169.0, 158.0]","[-0.0, 1.0]",327.0,"[198.0, 153.0]","[1.0, 0.0]",351.0,0.8389261744966443,1.0
be3807bc-1ab8-4534-b0b4-8f474b29b863,False,"[(68, 57), (63, 86)]",221,221,68,68,68,68,68,63,68,68,68,63,68,125,"[153.0, 198.0]","[1.0, 0.0]",351.0,"[153.8884, 192.8475]","[0.8223, 0.1777]",346.7359,"[158.0, 169.0]","[-0.0, 1.0]",327.0,"[153.0, 198.0]","[1.0, 0.0]",351.0,0.8389261744966443,1.0
9e5514cf-a0d0-42bf-b965-ce5874d5ac64,True,"[(81, 104), (98, 87), (92, 103)]",265,265,81,98,81,81,98,81,92,81,81,92,81,179,"[184.0, 195.0]","[1.0, 0.0, 0.0]",379.0,"[176.101, 202.899]","[0.5354, 0.4646, 0.0]",379.0,"[184.0, 195.0]","[1.0, 0.0, -0.0]",379.0,"[184.0, 195.0]","[1.0, 0.0, 0.0]",379.0,0.9179487179487179,0.9675675675675676
9e5514cf-a0d0-42bf-b965-ce5874d5ac64,True,"[(104, 81), (87, 98), (103, 92)]",299,299,104,87,104,104,87,104,103,104,104,103,104,179,"[195.0, 184.0]","[1.0, 0.0, 0.0]",379.0,"[202.899, 176.101]","[0.5354, 0.4646, 0.0]",379.0,"[195.0, 184.0]","[1.0, 0.0, -0.0]",379.0,"[195.0, 184.0]","[1.0, 0.0, 0.0]",379.0,0.9179487179487179,0.9675675675675676
97c1925e-c6eb-42d0-a5fb-21fd53e5f601,False,"[(57, 68), (66, 55), (74, 51)]",245,245,74,66,66,66,57,74,66,66,66,57,66,119,"[179.0, 144.0]","[0.0, 1.0, 0.0]",323.0,"[180.3824, 142.0032]","[0.1536, 0.8464, 0.0]",322.38559999999995,"[171.0, 148.0]","[0.0, -0.0, 1.0]",319.0,"[179.0, 144.0]","[0.0, 1.0, 0.0]",323.0,0.952,0.9834710743801653
97c1925e-c6eb-42d0-a5fb-21fd53e5f601,False,"[(68, 57), (55, 66), (51, 74)]",199,199,51,55,55,55,68,51,55,55,55,68,55,119,"[144.0, 179.0]","[0.0, 1.0, 0.0]",323.0,"[142.0032, 180.3824]","[0.1536, 0.8464, 0.0]",322.38559999999995,"[148.0, 171.0]","[0.0, -0.0, 1.0]",319.0,"[144.0, 179.0]","[0.0, 1.0, 0.0]",323.0,0.952,0.9834710743801653
4aca4e87-2e66-4b07-9067-20b7b06d4a8a,False,"[(80, 103), (84, 95), (101, 90)]",265,265,80,84,84,84,84,80,84,84,84,101,84,177,"[181.0, 216.0]","[0.0, 1.0, 0.0]",397.0,"[180.8511, 216.0438]","[0.0, 0.9912, 0.0088]",396.8949,"[185.0, 208.0]","[1.0, -0.0, 0.0]",393.0,"[181.0, 216.0]","[0.0, 1.0, 0.0]",397.0,0.9267015706806283,0.9888268156424581
4aca4e87-2e66-4b07-9067-20b7b06d4a8a,False,"[(103, 80), (95, 84), (90, 101)]",311,311,103,95,95,95,95,103,95,95,95,90,95,177,"[216.0, 181.0]","[0.0, 1.0, 0.0]",397.0,"[216.0438, 180.8511]","[0.0, 0.9912, 0.0088]",396.8949,"[208.0, 185.0]","[1.0, -0.0, 0.0]",393.0,"[216.0, 181.0]","[0.0, 1.0, 0.0]",397.0,0.9267015706806283,0.9888268156424581
8beb72b0-54ae-4d9c-9aa9-fd36cebf1e55,False,"[(107, 118), (120, 97), (116, 105)]",255,255,120,116,120,120,107,120,120,120,120,107,120,211,"[135.0, 102.0]","[0.0, 1.0, 0.0]",237.0,"[138.8877, 95.7199]","[0.2991, 0.7009, 0.0]",234.6076,"[135.0, 102.0]","[0.0, 1.0, -0.0]",237.0,"[135.0, 102.0]","[0.0, 1.0, 0.0]",237.0,0.9377777777777778,0.9723502304147466
8beb72b0-54ae-4d9c-9aa9-fd36cebf1e55,False,"[(118, 107), (97, 120), (105, 116)]",199,199,97,105,97,97,118,97,97,97,97,118,97,211,"[102.0, 135.0]","[0.0, 1.0, 0.0]",237.0,"[95.7199, 138.8877]","[0.2991, 0.7009, 0.0]",234.6076,"[102.0, 135.0]","[0.0, 1.0, -0.0]",237.0,"[102.0, 135.0]","[0.0, 1.0, 0.0]",237.0,0.9377777777777778,0.9723502304147466
6ac03251-e1b7-41f1-bb3b-2dfbcf5dc8b3,False,"[(135, 158), (136, 147), (137, 126), (145, 122)]",287,287,145,137,137,137,136,135,136,137,137,135,137,261,"[150.0, 195.0]","[0.0, 0.0, 1.0, 0.0]",345.0,"[149.2364, 195.3818]","[0.0, 0.0, 0.9045, 0.0955]",344.6182,"[152.0, 163.0]","[1.0, -0.0, 0.0, 0.0]",315.0,"[150.0, 195.0]","[0.0, 0.0, 1.0, 0.0]",345.0,0.8907849829351536,0.9923954372623575
6ac03251-e1b7-41f1-bb3b-2dfbcf5dc8b3,False,"[(158, 135), (147, 136), (126, 137), (122, 145)]",321,321,122,126,126,126,147,158,147,126,126,158,126,261,"[195.0, 150.0]","[0.0, 0.0, 1.0, 0.0]",345.0,"[195.3818, 149.2364]","[0.0, 0.0, 0.9045, 0.0955]",344.6182,"[163.0, 152.0]","[1.0, -0.0, 0.0, 0.0]",315.0,"[195.0, 150.0]","[0.0, 0.0, 1.0, 0.0]",345.0,0.8907849829351536,0.9923954372623575
ad5ddcfd-753a-4231-b56f-e10c7596f220,False,"[(191, 158), (186, 175)]",265,265,191,186,191,191,186,186,186,191,191,186,191,343,"[74.0, 185.0]","[1.0, 0.0]",259.0,"[76.0392, 178.0666]","[0.5922, 0.4078]",254.1058,"[79.0, 168.0]","[-0.0, 1.0]",247.0,"[74.0, 185.0]","[1.0, 0.0]",259.0,0.9501385041551247,0.9828080229226361
ad5ddcfd-753a-4231-b56f-e10c7596f220,False,"[(158, 191), (175, 186)]",343,343,158,175,158,158,175,175,175,158,158,175,158,343,"[185.0, 74.0]","[1.0, 0.0]",259.0,"[178.0666, 76.0392]","[0.5922, 0.4078]",254.1058,"[168.0, 79.0]","[-0.0, 1.0]",247.0,"[185.0, 74.0]","[1.0, 0.0]",259.0,0.9501385041551247,0.9828080229226361
b30c1eaf-0ccb-4801-98db-3f07a0015909,False,"[(93, 70), (90, 79), (81, 92)]",265,265,93,90,93,93,90,81,81,93,93,81,93,157,"[172.0, 229.0]","[1.0, 0.0, 0.0]",401.0,"[176.8523, 220.1042]","[0.5956, 0.0, 0.4044]",396.9565,"[184.0, 207.0]","[0.0, -0.0, 1.0]",391.0,"[172.0, 229.0]","[1.0, 0.0, 0.0]",401.0,0.9075144508670521,0.9631901840490797
b30c1eaf-0ccb-4801-98db-3f07a0015909,False,"[(70, 93), (79, 90), (92, 81)]",299,299,70,79,70,70,79,92,92,70,70,92,70,157,"[229.0, 172.0]","[1.0, 0.0, 0.0]",401.0,"[220.1042, 176.8523]","[0.5956, 0.0, 0.4044]",396.9565,"[207.0, 184.0]","[0.0, -0.0, 1.0]",391.0,"[229.0, 172.0]","[1.0, 0.0, 0.0]",401.0,0.9075144508670521,0.9631901840490797
2b721bb4-dbbd-4ddb-9ca1-fcf76111e12f,False,"[(115, 92), (112, 101), (107, 130)]",387,387,115,112,115,115,112,115,112,115,115,107,115,201,"[272.0, 260.9999]","[1.0, 0.0, 0.0]",532.9999,"[273.8965, 255.3106]","[0.3678, 0.6322, 0.0]",529.2071,"[272.0, 261.0]","[1.0, -0.0, 0.0]",533.0,"[272.0, 261.0]","[1.0, 0.0, 0.0]",533.0,0.8481012658227848,0.9710144927536232
2b721bb4-dbbd-4ddb-9ca1-fcf76111e12f,False,"[(92, 115), (101, 112), (130, 107)]",353,353,92,101,92,92,101,92,101,92,92,130,92,201,"[260.9999, 272.0]","[1.0, 0.0, 0.0]",532.9999,"[255.3106, 273.8965]","[0.3678, 0.6322, 0.0]",529.2071,"[261.0, 272.0]","[1.0, -0.0, 0.0]",533.0,"[261.0, 272.0]","[1.0, 0.0, 0.0]",533.0,0.8481012658227848,0.9710144927536232
81edc40d-fd02-4922-aed5-8c6f4de6216b,False,"[(112, 89), (88, 99)]",265,265,88,88,88,88,88,112,88,88,88,112,88,187,"[177.0, 144.0]","[0.0, 1.0]",321.0,"[169.2283, 147.2382]","[0.3238, 0.6762]",316.4665,"[153.7059, 153.7059]","[0.9706, 0.0294]",307.4118,"[177.0, 144.0]","[0.0, 1.0]",321.0,0.9303482587064676,1.0
81edc40d-fd02-4922-aed5-8c6f4de6216b,False,"[(89, 112), (99, 88)]",243,243,99,99,99,99,99,89,99,99,99,89,99,187,"[144.0, 177.0]","[0.0, 1.0]",321.0,"[147.2382, 169.2283]","[0.3238, 0.6762]",316.4665,"[153.7059, 153.7059]","[0.9706, 0.0294]",307.4118,"[144.0, 177.0]","[0.0, 1.0]",321.0,0.9303482587064676,1.0
2543ca13-12b2-47f7-8480-c1f84aaa58fe,False,"[(88, 485), (92, 477)]",331,331,88,92,92,92,92,88,92,88,92,88,92,567,"[239.0, 274.0]","[0.0, 1.0]",513.0,"[240.4421, 271.1158]","[0.3605, 0.6395]",511.5579,"[243.0, 266.0]","[1.0, 0.0]",509.0,"[239.0, 274.0]","[0.0, 1.0]",513.0,0.9895287958115183,0.9964850615114236
2543ca13-12b2-47f7-8480-c1f84aaa58fe,False,"[(485, 88), (477, 92)]",751,751,485,477,477,477,477,485,477,485,477,485,477,567,"[274.0, 239.0]","[0.0, 1.0]",513.0,"[271.1158, 240.4421]","[0.3605, 0.6395]",511.5579,"[266.0, 243.0]","[1.0, 0.0]",509.0,"[274.0, 239.0]","[0.0, 1.0]",513.0,0.9895287958115183,0.9964850615114236
17a62610-93dd-4458-b08d-d856e042a504,False,"[(107, 96), (101, 124)]",255,255,107,107,107,107,107,107,107,107,107,101,107,203,"[148.0, 159.0]","[1.0, 0.0]",307.0,"[149.087, 153.9275]","[0.8188, 0.1812]",303.0145,"[149.9412, 149.9412]","[0.6765, 0.3235]",299.8824,"[148.0, 159.0]","[1.0, 0.0]",307.0,0.9022222222222223,1.0
17a62610-93dd-4458-b08d-d856e042a504,False,"[(96, 107), (124, 101)]",255,255,96,96,96,96,96,96,96,96,96,124,96,203,"[159.0, 148.0]","[1.0, 0.0]",307.0,"[153.9275, 149.087]","[0.8188, 0.1812]",303.0145,"[149.9412, 149.9412]","[0.6765, 0.3235]",299.8824,"[159.0, 148.0]","[1.0, 0.0]",307.0,0.9022222222222223,1.0
