EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
0d9a67c1-b2fc-48ba-9ba6-1646b3ba8591,False,"[(96, 141), (173, 128)]",420,420,96,96,96,96,96,96,96,96,96,173,96,237,"[324.0, 289.0]","[1.0, 0.0]",613.0,"[312.1918, 290.9936]","[0.8466, 0.1534]",603.1854000000001,"[294.0556, 294.0556]","[0.6111, 0.3889]",588.1112,"[324.0, 289.0]","[1.0, 0.0]",613.0,0.7873754152823921,1.0
0d9a67c1-b2fc-48ba-9ba6-1646b3ba8591,False,"[(141, 96), (128, 173)]",430,430,141,141,141,141,141,141,141,141,141,128,141,237,"[289.0, 324.0]","[1.0, 0.0]",613.0,"[290.9936, 312.1918]","[0.8466, 0.1534]",603.1854000000001,"[294.0556, 294.0556]","[0.6111, 0.3889]",588.1112,"[289.0, 324.0]","[1.0, 0.0]",613.0,0.7873754152823921,1.0
7c0f6ae6-9089-4e57-840c-68ba4acbdddb,False,"[(113, 102), (100, 111)]",430,430,100,100,100,100,113,100,100,100,100,113,100,211,"[330.0, 365.0]","[0.0, 1.0]",695.0,"[325.0702, 368.4129]","[0.3792, 0.6208]",693.4830999999999,"[330.0, 365.0]","[-0.0, 1.0]",695.0,"[330.0, 365.0]","[0.0, 1.0]",695.0,0.9813953488372092,1.0
7c0f6ae6-9089-4e57-840c-68ba4acbdddb,False,"[(102, 113), (111, 100)]",476,476,111,111,111,111,102,111,111,111,111,102,111,211,"[365.0, 330.0]","[0.0, 1.0]",695.0,"[368.4129, 325.0702]","[0.3792, 0.6208]",693.4830999999999,"[365.0, 330.0]","[-0.0, 1.0]",695.0,"[365.0, 330.0]","[0.0, 1.0]",695.0,0.9813953488372092,1.0
56ef3658-ceac-4fd7-91ff-33fa10af653c,False,"[(166, 99), (151, 206), (147, 214)]",452,452,166,166,166,166,151,166,166,166,166,147,166,259,"[286.0, 287.0]","[1.0, 0.0, 0.0]",573.0,"[288.5564, 271.5269]","[0.8655, 0.0, 0.1345]",560.0833,"[286.1418, 286.1418]","[0.9925, 0.0, 0.0075]",572.2836,"[286.0, 287.0]","[1.0, 0.0, 0.0]",573.0,0.7174515235457064,0.9773584905660377
56ef3658-ceac-4fd7-91ff-33fa10af653c,False,"[(99, 166), (206, 151), (214, 147)]",386,386,99,99,99,99,206,99,99,99,99,214,99,259,"[287.0, 286.0]","[1.0, 0.0, 0.0]",573.0,"[271.5269, 288.5564]","[0.8655, 0.0, 0.1345]",560.0833,"[286.1418, 286.1418]","[0.9925, 0.0, 0.0075]",572.2836,"[287.0, 286.0]","[1.0, 0.0, 0.0]",573.0,0.7174515235457064,0.9773584905660377
f749949e-f622-4293-ab7f-c2541237e111,False,"[(192, 225), (222, 211)]",452,452,192,222,192,192,222,192,192,192,192,222,192,411,"[260.0, 239.0]","[1.0, 0.0]",499.0,"[250.276, 243.5378]","[0.6759, 0.3241]",493.8138,"[245.6818, 245.6818]","[0.5227, 0.4773]",491.3636,"[260.0, 239.0]","[1.0, 0.0]",499.0,0.9491916859122402,0.9856115107913669
f749949e-f622-4293-ab7f-c2541237e111,False,"[(225, 192), (211, 222)]",464,464,225,211,225,225,211,225,225,225,225,211,225,411,"[239.0, 260.0]","[1.0, 0.0]",499.0,"[243.5378, 250.276]","[0.6759, 0.3241]",493.8138,"[245.6818, 245.6818]","[0.5227, 0.4773]",491.3636,"[239.0, 260.0]","[1.0, 0.0]",499.0,0.9491916859122402,0.9856115107913669
f1dd403a-7f42-404d-8554-72efd259e129,False,"[(102, 125), (135, 112)]",430,430,102,102,102,102,102,102,102,102,102,135,102,227,"[328.0, 351.0]","[1.0, 0.0]",679.0,"[319.3546, 354.4058]","[0.738, 0.262]",673.7604,"[328.0, 351.0]","[1.0, 0.0]",679.0,"[328.0, 351.0]","[1.0, 0.0]",679.0,0.9190283400809717,1.0
f1dd403a-7f42-404d-8554-72efd259e129,False,"[(125, 102), (112, 135)]",476,476,125,125,125,125,125,125,125,125,125,112,125,227,"[351.0, 328.0]","[1.0, 0.0]",679.0,"[354.4058, 319.3546]","[0.738, 0.262]",673.7604,"[351.0, 328.0]","[1.0, 0.0]",679.0,"[351.0, 328.0]","[1.0, 0.0]",679.0,0.9190283400809717,1.0
cc691a06-91f9-4cdf-b90a-eeff032d990e,False,"[(204, 215), (206, 183)]",496,496,206,206,206,206,204,206,206,206,206,204,206,383,"[290.0, 313.0]","[0.0, 1.0]",603.0,"[290.1256, 310.9908]","[0.0628, 0.9372]",601.1164,"[291.3529, 291.3529]","[0.6765, 0.3235]",582.7058,"[290.0, 313.0]","[0.0, 1.0]",603.0,0.9140811455847255,0.9845758354755784
cc691a06-91f9-4cdf-b90a-eeff032d990e,False,"[(215, 204), (183, 206)]",496,496,183,183,183,183,215,183,183,183,183,215,183,383,"[313.0, 290.0]","[0.0, 1.0]",603.0,"[310.9908, 290.1256]","[0.0628, 0.9372]",601.1164,"[291.3529, 291.3529]","[0.6765, 0.3235]",582.7058,"[313.0, 290.0]","[0.0, 1.0]",603.0,0.9140811455847255,0.9845758354755784
bff70d2b-983c-4620-860e-5d93c7da3269,False,"[(139, 150), (128, 151), (145, 122)]",430,430,145,145,145,145,139,128,139,145,145,139,145,267,"[285.0, 330.0]","[0.0, 0.0, 1.0]",615.0,"[291.6377, 318.6769]","[0.0, 0.3905, 0.6095]",610.3145999999999,"[301.6304, 301.6304]","[0.0, 0.9783, 0.0217]",603.2608,"[285.0, 330.0]","[0.0, 0.0, 1.0]",615.0,0.9238754325259516,1.0
bff70d2b-983c-4620-860e-5d93c7da3269,False,"[(150, 139), (151, 128), (122, 145)]",452,452,122,122,122,122,150,151,150,122,122,150,122,267,"[330.0, 285.0]","[0.0, 0.0, 1.0]",615.0,"[318.6769, 291.6377]","[0.0, 0.3905, 0.6095]",610.3145999999999,"[301.6304, 301.6304]","[0.0, 0.9783, 0.0217]",603.2608,"[330.0, 285.0]","[0.0, 0.0, 1.0]",615.0,0.9238754325259516,1.0
