EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
a102b39d-0697-45ba-bf8c-0f85765173c6,True,"[(73, 84), (40, 85), (78, 67)]",90,90,40,78,40,40,73,78,78,40,78,73,40,119,"[30.2778, 14.3421]","[0.0, 0.481, 0.519]",44.6199,"[30.7215, 14.1319]","[0.0, 0.4927, 0.5073]",44.8534,"[19.4643, 19.4643]","[0.0, 0.1964, 0.8036]",38.9286,"[50.0, 5.0]","[0.0, 1.0, 0.0]",55.0,0.7579617834394905,0.952
a102b39d-0697-45ba-bf8c-0f85765173c6,True,"[(84, 73), (85, 40), (67, 78)]",90,90,85,67,85,85,84,67,67,85,67,84,85,119,"[14.3421, 30.2778]","[0.0, 0.481, 0.519]",44.6199,"[14.1319, 30.7215]","[0.0, 0.4927, 0.5073]",44.8534,"[19.4643, 19.4643]","[0.0, 0.1964, 0.8036]",38.9286,"[5.0, 50.0]","[0.0, 1.0, 0.0]",55.0,0.7579617834394905,0.952
64be9538-2993-43a1-9ded-da8e3962ba82,False,"[(73, 106), (82, 93)]",100,100,73,82,82,82,82,73,73,73,73,82,82,161,"[26.9942, 50.0084]","[0.9994, 0.0006]",77.0026,"[23.5588, 54.9706]","[0.6176, 0.3824]",78.5294,"[27.0, 50.0]","[1.0, 0.0]",77.0,"[18.0, 63.0]","[0.0, 1.0]",81.0,0.8994413407821229,0.92
64be9538-2993-43a1-9ded-da8e3962ba82,False,"[(106, 73), (93, 82)]",156,156,106,93,93,93,93,106,106,106,106,93,93,161,"[50.0084, 26.9942]","[0.9994, 0.0006]",77.0026,"[54.9706, 23.5588]","[0.6176, 0.3824]",78.5294,"[50.0, 27.0]","[1.0, 0.0]",77.0,"[63.0, 18.0]","[0.0, 1.0]",81.0,0.8994413407821229,0.92
889fcb29-c4df-4bd4-9b31-762cb5269cfa,False,"[(188, 331), (184, 349)]",310,310,184,188,188,188,188,188,188,188,188,184,188,505,"[122.0, 99.0]","[1.0, 0.0]",221.0,"[122.5946, 96.3243]","[0.8514, 0.1486]",218.9189,"[122.0, 99.0]","[1.0, 0.0]",221.0,"[122.0, 99.0]","[1.0, 0.0]",221.0,0.9474671669793621,0.9730250481695568
889fcb29-c4df-4bd4-9b31-762cb5269cfa,False,"[(331, 188), (349, 184)]",430,430,349,331,331,331,331,331,331,331,331,349,331,505,"[99.0, 122.0]","[1.0, 0.0]",221.0,"[96.3243, 122.5946]","[0.8514, 0.1486]",218.9189,"[99.0, 122.0]","[1.0, 0.0]",221.0,"[99.0, 122.0]","[1.0, 0.0]",221.0,0.9474671669793621,0.9730250481695568
4dde3a16-2fc3-4973-8651-ebbd6c1856ad,True,"[(73, 62), (77, 44)]",90,90,77,73,77,77,73,73,73,77,77,73,77,121,"[13.0, 34.0]","[0.0, 1.0]",47.0,"[14.2308, 28.4615]","[0.3077, 0.6923]",42.6923,"[16.8182, 16.8182]","[0.9545, 0.0455]",33.6364,"[13.0, 34.0]","[0.0, 1.0]",47.0,0.8962962962962963,1.0
4dde3a16-2fc3-4973-8651-ebbd6c1856ad,True,"[(62, 73), (44, 77)]",78,78,44,62,44,44,62,62,62,44,44,62,44,121,"[34.0, 13.0]","[0.0, 1.0]",47.0,"[28.4615, 14.2308]","[0.3077, 0.6923]",42.6923,"[16.8182, 16.8182]","[0.9545, 0.0455]",33.6364,"[34.0, 13.0]","[0.0, 1.0]",47.0,0.8962962962962963,1.0
a22c065f-4cc4-4201-adfd-803c41845061,False,"[(57, 46), (45, 78)]",100,100,45,57,57,57,57,57,57,57,57,45,57,103,"[43.0, 54.0]","[1.0, 0.0]",97.0,"[46.2292, 45.3887]","[0.7309, 0.2691]",91.61789999999999,"[46.0, 46.0]","[0.75, 0.25]",92.0,"[43.0, 54.0]","[1.0, 0.0]",97.0,0.8373983739837398,1.0
a22c065f-4cc4-4201-adfd-803c41845061,False,"[(46, 57), (78, 45)]",100,100,78,46,46,46,46,46,46,46,46,78,46,103,"[54.0, 43.0]","[1.0, 0.0]",97.0,"[45.3887, 46.2292]","[0.7309, 0.2691]",91.61789999999999,"[46.0, 46.0]","[0.75, 0.25]",92.0,"[54.0, 43.0]","[1.0, 0.0]",97.0,0.8373983739837398,1.0
e6d5dacd-0589-4677-9915-21915ba985da,True,"[(40, 85), (53, 64)]",90,90,40,53,53,53,53,53,53,53,53,40,53,117,"[37.0, 25.9999]","[0.0, 1.0]",62.9999,"[40.1657, 20.8862]","[0.2435, 0.7565]",61.0519,"[37.0, 26.0]","[-0.0, 1.0]",63.0,"[37.0, 26.0]","[0.0, 1.0]",63.0,0.936,1.0
e6d5dacd-0589-4677-9915-21915ba985da,True,"[(85, 40), (64, 53)]",90,90,85,64,64,64,64,64,64,64,64,85,64,117,"[25.9999, 37.0]","[0.0, 1.0]",62.9999,"[20.8862, 40.1657]","[0.2435, 0.7565]",61.0519,"[26.0, 37.0]","[-0.0, 1.0]",63.0,"[26.0, 37.0]","[0.0, 1.0]",63.0,0.936,1.0
8f0432d6-593a-44a7-b593-6f52052ece4b,True,"[(99, 54), (66, 55)]",100,100,99,66,66,66,66,66,66,66,66,99,66,121,"[34.0, 23.0]","[0.0, 1.0]",57.0,"[32.6416, 23.0412]","[0.0412, 0.9588]",55.6828,"[23.3235, 23.3235]","[0.3235, 0.6765]",46.647,"[34.0, 23.0]","[0.0, 1.0]",57.0,0.7908496732026143,1.0
8f0432d6-593a-44a7-b593-6f52052ece4b,True,"[(54, 99), (55, 66)]",78,78,54,55,55,55,55,55,55,55,55,54,55,121,"[23.0, 34.0]","[0.0, 1.0]",57.0,"[23.0412, 32.6416]","[0.0412, 0.9588]",55.6828,"[23.3235, 23.3235]","[0.3235, 0.6765]",46.647,"[23.0, 34.0]","[0.0, 1.0]",57.0,0.7908496732026143,1.0
7b856b55-0e6d-46b2-8bfb-f2d44d5317e9,True,"[(99, 66), (81, 70)]",100,100,99,81,81,81,81,81,81,81,81,99,81,151,"[19.0, 64.0]","[0.0, 1.0]",83.0,"[17.9477, 64.2338]","[0.0585, 0.9415]",82.1815,"[19.0, 64.0]","[-0.0, 1.0]",83.0,"[19.0, 64.0]","[0.0, 1.0]",83.0,0.9151515151515152,1.0
7b856b55-0e6d-46b2-8bfb-f2d44d5317e9,True,"[(66, 99), (70, 81)]",134,134,66,70,70,70,70,70,70,70,70,66,70,151,"[64.0, 19.0]","[0.0, 1.0]",83.0,"[64.2338, 17.9477]","[0.0585, 0.9415]",82.1815,"[64.0, 19.0]","[-0.0, 1.0]",83.0,"[64.0, 19.0]","[0.0, 1.0]",83.0,0.9151515151515152,1.0
b2ee9aea-a5b1-4cf9-b2a5-106135ad9733,True,"[(48, 93), (56, 67), (75, 64)]",100,100,48,56,56,56,56,56,56,56,56,48,56,123,"[44.0, 33.0]","[0.0, 1.0, 0.0]",77.0,"[44.6439, 30.9073]","[0.0805, 0.9195, 0.0]",75.5512,"[34.5, 34.5]","[0.0, 0.5, 0.5]",69.0,"[44.0, 33.0]","[0.0, 1.0, 0.0]",77.0,0.8723404255319149,1.0
b2ee9aea-a5b1-4cf9-b2a5-106135ad9733,True,"[(93, 48), (67, 56), (64, 75)]",100,100,93,67,67,67,67,67,67,67,67,93,67,123,"[33.0, 44.0]","[0.0, 1.0, 0.0]",77.0,"[30.9073, 44.6439]","[0.0805, 0.9195, 0.0]",75.5512,"[34.5, 34.5]","[0.0, 0.5, 0.5]",69.0,"[33.0, 44.0]","[0.0, 1.0, 0.0]",77.0,0.8723404255319149,1.0
a246c938-5f32-4d20-b195-145750fa6bf4,False,"[(46, 91), (53, 86), (74, 85)]",100,100,46,74,46,46,74,53,74,46,53,74,46,131,"[47.0, 26.0]","[0.0, 1.0, 0.0]",73.0,"[49.0588, 24.5294]","[0.2941, 0.7059, 0.0]",73.5882,"[26.9545, 26.9545]","[0.0, 0.0455, 0.9545]",53.909,"[54.0, 21.0]","[1.0, 0.0, 0.0]",75.0,0.8238993710691824,0.9562043795620438
a246c938-5f32-4d20-b195-145750fa6bf4,False,"[(91, 46), (86, 53), (85, 74)]",112,112,91,85,91,91,85,86,85,91,86,85,91,131,"[26.0, 47.0]","[0.0, 1.0, 0.0]",73.0,"[24.5294, 49.0588]","[0.2941, 0.7059, 0.0]",73.5882,"[26.9545, 26.9545]","[0.0, 0.0455, 0.9545]",53.909,"[21.0, 54.0]","[1.0, 0.0, 0.0]",75.0,0.8238993710691824,0.9562043795620438
898f4b56-e52e-4203-9c1a-b6fa07ad5b30,False,"[(45, 56), (64, 31)]",90,90,64,45,64,64,45,64,64,64,64,45,64,95,"[26.0, 25.0]","[0.0, 1.0]",51.0,"[31.6406, 17.5781]","[0.2969, 0.7031]",49.2187,"[26.0, 25.0]","[-0.0, 1.0]",51.0,"[26.0, 25.0]","[0.0, 1.0]",51.0,0.9405940594059405,1.0
898f4b56-e52e-4203-9c1a-b6fa07ad5b30,False,"[(56, 45), (31, 64)]",56,56,31,56,31,31,56,31,31,31,31,56,31,95,"[25.0, 26.0]","[0.0, 1.0]",51.0,"[17.5781, 31.6406]","[0.2969, 0.7031]",49.2187,"[25.0, 26.0]","[-0.0, 1.0]",51.0,"[25.0, 26.0]","[0.0, 1.0]",51.0,0.9405940594059405,1.0
9d9d2514-48f6-4c2f-916c-11ff92d549a7,False,"[(128, 183), (132, 99), (167, 90)]",276,276,167,132,132,132,132,132,132,132,132,128,132,231,"[144.0, 133.0]","[0.0, 1.0, 0.0]",277.0,"[139.7569, 134.0911]","[0.0, 0.8788, 0.1212]",273.848,"[135.25, 135.25]","[0.0, 0.75, 0.25]",270.5,"[144.0, 133.0]","[0.0, 1.0, 0.0]",277.0,0.7427652733118971,1.0
