EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
0476326b-5b39-411c-beb3-0726642ed1b0,False,"[(55, 50), (44, 55)]",92,92,44,55,44,44,55,55,55,44,44,55,44,99,"[48.0, 37.0]","[0.0, 1.0]",85.0,"[44.2393, 38.7094]","[0.3419, 0.6581]",82.9487,"[40.4375, 40.4375]","[0.6875, 0.3125]",80.875,"[48.0, 37.0]","[0.0, 1.0]",85.0,0.9428571428571428,1.0
0476326b-5b39-411c-beb3-0726642ed1b0,False,"[(50, 55), (55, 44)]",92,92,55,50,55,55,50,50,50,55,55,50,55,99,"[37.0, 48.0]","[0.0, 1.0]",85.0,"[38.7094, 44.2393]","[0.3419, 0.6581]",82.9487,"[40.4375, 40.4375]","[0.6875, 0.3125]",80.875,"[37.0, 48.0]","[0.0, 1.0]",85.0,0.9428571428571428,1.0
e9d4fa40-5501-42b5-85d3-3ab5f2222b28,False,"[(62, 51), (60, 55)]",102,102,62,60,62,62,60,60,60,62,62,60,62,113,"[40.0, 45.0]","[1.0, 0.0]",85.0,"[40.6977, 43.6047]","[0.6512, 0.3488]",84.3024,"[41.6667, 41.6667]","[0.1667, 0.8333]",83.3334,"[40.0, 45.0]","[1.0, 0.0]",85.0,0.9826086956521739,1.0
e9d4fa40-5501-42b5-85d3-3ab5f2222b28,False,"[(51, 62), (55, 60)]",96,96,51,55,51,51,55,55,55,51,51,55,51,113,"[45.0, 40.0]","[1.0, 0.0]",85.0,"[43.6047, 40.6977]","[0.6512, 0.3488]",84.3024,"[41.6667, 41.6667]","[0.1667, 0.8333]",83.3334,"[45.0, 40.0]","[1.0, 0.0]",85.0,0.9826086956521739,1.0
2e694b36-08b2-4ada-b335-cf81af6caf88,False,"[(62, 57), (65, 54)]",92,92,65,62,62,62,62,62,62,65,62,65,62,119,"[29.5, 29.5]","[0.8333, 0.1667]",59.0,"[28.5484, 30.4516]","[0.5161, 0.4839]",59.0,"[29.5, 29.5]","[0.8333, 0.1667]",59.0,"[27.0, 32.0]","[0.0, 1.0]",59.0,1.0,1.0
2e694b36-08b2-4ada-b335-cf81af6caf88,False,"[(57, 62), (54, 65)]",86,86,54,57,57,57,57,57,57,54,57,54,57,119,"[29.5, 29.5]","[0.8333, 0.1667]",59.0,"[30.4516, 28.5484]","[0.5161, 0.4839]",59.0,"[29.5, 29.5]","[0.8333, 0.1667]",59.0,"[32.0, 27.0]","[0.0, 1.0]",59.0,1.0,1.0
0f41a24e-b778-456b-bf48-962a3839fd5d,True,"[(81, 56), (83, 52)]",126,126,83,81,83,83,81,83,81,83,83,81,83,135,"[43.0, 44.0]","[0.0, 1.0]",87.0,"[43.6567, 42.6866]","[0.3284, 0.6716]",86.3433,"[43.3333, 43.3333]","[0.1667, 0.8333]",86.6666,"[43.0, 44.0]","[0.0, 1.0]",87.0,0.9854014598540146,1.0
0f41a24e-b778-456b-bf48-962a3839fd5d,True,"[(56, 81), (52, 83)]",96,96,52,56,52,52,56,52,56,52,52,56,52,135,"[44.0, 43.0]","[0.0, 1.0]",87.0,"[42.6866, 43.6567]","[0.3284, 0.6716]",86.3433,"[43.3333, 43.3333]","[0.1667, 0.8333]",86.6666,"[44.0, 43.0]","[0.0, 1.0]",87.0,0.9854014598540146,1.0
cef74292-7e39-4788-8787-575a0ae764bb,False,"[(58, 47), (48, 53)]",96,96,58,48,48,48,48,48,48,48,48,58,48,101,"[48.0, 43.0]","[0.0, 1.0]",91.0,"[44.2982, 45.2211]","[0.3702, 0.6298]",89.5193,"[44.875, 44.875]","[0.3125, 0.6875]",89.75,"[48.0, 43.0]","[0.0, 1.0]",91.0,0.9619047619047619,1.0
cef74292-7e39-4788-8787-575a0ae764bb,False,"[(47, 58), (53, 48)]",96,96,47,53,53,53,53,53,53,53,53,47,53,101,"[43.0, 48.0]","[0.0, 1.0]",91.0,"[45.2211, 44.2982]","[0.3702, 0.6298]",89.5193,"[44.875, 44.875]","[0.3125, 0.6875]",89.75,"[43.0, 48.0]","[0.0, 1.0]",91.0,0.9619047619047619,1.0
0458209d-7041-4697-ad03-330834acce78,False,"[(54, 59), (53, 64)]",96,96,53,54,54,54,54,53,53,54,54,53,54,113,"[42.0, 59.0]","[1.0, 0.0]",101.0,"[42.2153, 57.9234]","[0.7847, 0.2153]",100.1387,"[43.0, 54.0]","[-0.0, 1.0]",97.0,"[42.0, 59.0]","[1.0, 0.0]",101.0,0.9658119658119658,1.0
0458209d-7041-4697-ad03-330834acce78,False,"[(59, 54), (64, 53)]",118,118,64,59,59,59,59,64,64,59,59,64,59,113,"[59.0, 42.0]","[1.0, 0.0]",101.0,"[57.9234, 42.2153]","[0.7847, 0.2153]",100.1387,"[54.0, 43.0]","[-0.0, 1.0]",97.0,"[59.0, 42.0]","[1.0, 0.0]",101.0,0.9658119658119658,1.0
2be4c17c-9a43-4f11-8a85-4ad47cc33cb3,False,"[(71, 66), (59, 70)]",96,96,59,59,59,59,71,59,59,59,59,71,59,125,"[37.0, 42.0]","[0.0, 1.0]",79.0,"[34.4629, 42.8457]","[0.2114, 0.7886]",77.3086,"[37.0, 42.0]","[-0.0, 1.0]",79.0,"[37.0, 42.0]","[0.0, 1.0]",79.0,0.9124087591240876,0.9689922480620154
2be4c17c-9a43-4f11-8a85-4ad47cc33cb3,False,"[(66, 71), (70, 59)]",112,112,70,70,70,70,66,70,70,70,70,66,70,125,"[42.0, 37.0]","[0.0, 1.0]",79.0,"[42.8457, 34.4629]","[0.2114, 0.7886]",77.3086,"[42.0, 37.0]","[-0.0, 1.0]",79.0,"[42.0, 37.0]","[0.0, 1.0]",79.0,0.9124087591240876,0.9689922480620154
fecf0e86-dd35-40a5-a5e9-6e92e15512a3,False,"[(116, 111), (121, 110)]",212,212,121,116,116,116,116,116,116,116,116,121,116,227,"[96.0, 95.0]","[1.0, 0.0]",191.0,"[95.1667, 95.1667]","[0.8333, 0.1667]",190.3334,"[95.1667, 95.1667]","[0.8333, 0.1667]",190.3334,"[96.0, 95.0]","[1.0, 0.0]",191.0,0.9826839826839827,1.0
fecf0e86-dd35-40a5-a5e9-6e92e15512a3,False,"[(111, 116), (110, 121)]",206,206,110,111,111,111,111,111,111,111,111,110,111,227,"[95.0, 96.0]","[1.0, 0.0]",191.0,"[95.1667, 95.1667]","[0.8333, 0.1667]",190.3334,"[95.1667, 95.1667]","[0.8333, 0.1667]",190.3334,"[95.0, 96.0]","[1.0, 0.0]",191.0,0.9826839826839827,1.0
6f78adba-c6d0-4f54-87aa-9d1b02b383a1,False,"[(51, 56), (48, 59)]",96,96,48,51,51,51,51,51,51,51,51,48,51,107,"[45.0002, 39.9998]","[0.9999, 0.0001]",85.0,"[46.3636, 38.6364]","[0.5455, 0.4545]",85.0,"[45.0, 40.0]","[1.0, 0.0]",85.0,"[48.0, 37.0]","[0.0, 1.0]",85.0,1.0,1.0
6f78adba-c6d0-4f54-87aa-9d1b02b383a1,False,"[(56, 51), (59, 48)]",96,96,59,56,56,56,56,56,56,56,56,59,56,107,"[39.9998, 45.0002]","[0.9999, 0.0001]",85.0,"[38.6364, 46.3636]","[0.5455, 0.4545]",85.0,"[40.0, 45.0]","[1.0, 0.0]",85.0,"[37.0, 48.0]","[0.0, 1.0]",85.0,1.0,1.0
5f24c8e4-12ae-4f07-acd1-711a940a9d15,False,"[(63, 58), (68, 57)]",92,92,68,63,63,63,63,63,63,63,63,68,63,121,"[29.0, 44.0]","[1.0, 0.0]",73.0,"[28.4291, 44.1142]","[0.8858, 0.1142]",72.54329999999999,"[29.0, 44.0]","[1.0, 0.0]",73.0,"[29.0, 44.0]","[1.0, 0.0]",73.0,0.968,1.0
5f24c8e4-12ae-4f07-acd1-711a940a9d15,False,"[(58, 63), (57, 68)]",102,102,57,58,58,58,58,58,58,58,58,57,58,121,"[44.0, 29.0]","[1.0, 0.0]",73.0,"[44.1142, 28.4291]","[0.8858, 0.1142]",72.54329999999999,"[44.0, 29.0]","[1.0, 0.0]",73.0,"[44.0, 29.0]","[1.0, 0.0]",73.0,0.968,1.0
c0a93af0-e7c0-4e78-bad2-c90fa67459a9,False,"[(96, 85), (93, 88), (86, 91)]",156,156,96,86,86,86,93,86,86,86,86,96,86,175,"[70.0, 65.0]","[0.0, 0.0, 1.0]",135.0,"[66.2832, 67.2301]","[0.3717, 0.0, 0.6283]",133.5133,"[66.875, 66.875]","[0.3125, 0.0, 0.6875]",133.75,"[70.0, 65.0]","[0.0, 0.0, 1.0]",135.0,0.9668508287292817,0.9887005649717514
c0a93af0-e7c0-4e78-bad2-c90fa67459a9,False,"[(85, 96), (88, 93), (91, 86)]",156,156,85,91,91,91,88,91,91,91,91,85,91,175,"[65.0, 70.0]","[0.0, 0.0, 1.0]",135.0,"[67.2301, 66.2832]","[0.3717, 0.0, 0.6283]",133.5133,"[66.875, 66.875]","[0.3125, 0.0, 0.6875]",133.75,"[65.0, 70.0]","[0.0, 0.0, 1.0]",135.0,0.9668508287292817,0.9887005649717514
91edf7d5-47e9-4e5e-bff2-3b108adb8a00,False,"[(58, 53), (54, 59)]",96,96,58,58,58,58,58,58,58,58,58,54,58,111,"[38.0, 43.0]","[1.0, 0.0]",81.0,"[39.6226, 40.566]","[0.5943, 0.4057]",80.18860000000001,"[40.0, 40.0]","[0.5, 0.5]",80.0,"[38.0, 43.0]","[1.0, 0.0]",81.0,0.9823008849557522,1.0
91edf7d5-47e9-4e5e-bff2-3b108adb8a00,False,"[(53, 58), (59, 54)]",96,96,53,53,53,53,53,53,53,53,53,59,53,111,"[43.0, 38.0]","[1.0, 0.0]",81.0,"[40.566, 39.6226]","[0.5943, 0.4057]",80.18860000000001,"[40.0, 40.0]","[0.5, 0.5]",80.0,"[43.0, 38.0]","[1.0, 0.0]",81.0,0.9823008849557522,1.0
539531d8-ae93-4b2a-9237-f57e90560a32,False,"[(51, 56), (47, 58)]",92,92,47,51,47,47,51,51,51,47,47,51,47,105,"[45.0, 34.0]","[0.0, 1.0]",79.0,"[43.4615, 34.7692]","[0.3846, 0.6154]",78.2307,"[41.0, 36.0]","[1.0, 0.0]",77.0,"[45.0, 34.0]","[0.0, 1.0]",79.0,0.9813084112149533,1.0
539531d8-ae93-4b2a-9237-f57e90560a32,False,"[(56, 51), (58, 47)]",92,92,58,56,58,58,56,56,56,58,58,56,58,105,"[34.0, 45.0]","[0.0, 1.0]",79.0,"[34.7692, 43.4615]","[0.3846, 0.6154]",78.2307,"[36.0, 41.0]","[1.0, 0.0]",77.0,"[34.0, 45.0]","[0.0, 1.0]",79.0,0.9813084112149533,1.0
f7751c5e-fa40-4074-8113-80d94e106457,False,"[(65, 44), (62, 47)]",106,106,65,62,65,65,62,62,62,65,62,65,65,109,"[43.9998, 49.0002]","[0.0001, 0.9999]",93.0,"[42.625, 50.375]","[0.4583, 0.5417]",93.0,"[44.0, 49.0]","[-0.0, 1.0]",93.0,"[44.0, 49.0]","[0.0, 1.0]",93.0,1.0,1.0
f7751c5e-fa40-4074-8113-80d94e106457,False,"[(44, 65), (47, 62)]",96,96,44,47,44,44,47,47,47,44,47,44,44,109,"[49.0002, 43.9998]","[0.0001, 0.9999]",93.0,"[50.375, 42.625]","[0.4583, 0.5417]",93.0,"[49.0, 44.0]","[-0.0, 1.0]",93.0,"[49.0, 44.0]","[0.0, 1.0]",93.0,1.0,1.0
