eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
12d99f07-4164-4a78-9b5c-35850f519040,0,0,False,"[(39, 51), (43, 43)]",100,124,27,35,100,42,84,90,39,86,43,86,43,86,43,86,43,90,39,90,39,86,43,86,43,90,39,86,43,86.0,43.0,87.596,41.4039,90.0,39.0,86.0,43.0,0.9333333333333333,0.9767441860465116
12d99f07-4164-4a78-9b5c-35850f519040,0,0,False,"[(51, 39), (43, 43)]",124,100,35,27,124,42,84,90,51,86,43,86,43,86,43,86,43,90,51,90,51,86,43,86,43,90,51,86,43,86.0,43.0,87.596,46.192099999999996,90.0,51.0,86.0,43.0,0.9333333333333333,0.9767441860465116
67d586d3-c4cf-4787-aa23-29cd9f592779,0,0,False,"[(226, 50), (235, 15)]",298,78,63,15,289,235,250,250,235,276,226,250,235,250,235,276,226,250,235,276,226,250,235,250,235,276,226,250,235,250.0,235.0,254.77550000000002,233.3469,250.0,235.0,250.0,235.0,0.9057971014492754,1.0
67d586d3-c4cf-4787-aa23-29cd9f592779,0,0,False,"[(50, 226), (15, 235)]",78,298,15,63,69,15,250,250,15,276,50,250,15,250,15,276,50,250,15,276,50,250,15,250,15,276,50,250,15,250.0,15.0,254.77550000000002,21.428600000000003,250.0,15.0,250.0,15.0,0.9057971014492754,1.0
03a110ce-c2fa-479d-b7dc-35c82b422d1a,0,0,False,"[(31, 43), (40, 40)]",100,124,28,34,100,34,68,74,31,80,40,74,31,74,31,80,40,74,31,74,31,74,31,74,31,80,40,74,31,74.0,31.0,75.28969999999998,32.9346,74.0,31.0,74.0,31.0,0.85,0.918918918918919
03a110ce-c2fa-479d-b7dc-35c82b422d1a,0,0,False,"[(43, 31), (40, 40)]",124,100,34,28,124,34,68,74,43,80,40,74,43,74,43,80,40,74,43,74,43,74,43,74,43,80,40,74,43,74.0,43.0,75.28969999999998,42.35509999999999,74.0,43.0,74.0,43.0,0.85,0.918918918918919
a9214671-26f4-4636-9cb5-117bae5eb88c,1,11,False,"[(75, 53), (44, 66)]",100,134,41,48,100,44,110,110,44,110,44,110,44,110,44,128,75,110,44,110,44,110,44,110,44,128,75,110,44,110.0,44.0,114.04570000000001,50.9676,110.0,44.0,110.0,44.0,0.859375,1.0
a9214671-26f4-4636-9cb5-117bae5eb88c,1,11,False,"[(53, 75), (66, 44)]",134,100,48,41,134,66,110,110,66,110,66,110,66,110,66,128,53,110,66,110,66,110,66,110,66,128,53,110,66,110.0,66.0,114.04570000000001,63.078100000000006,110.0,66.0,110.0,66.0,0.859375,1.0
d9bd4343-3d18-4f93-a352-1f46e43189bc,1,11,False,"[(42, 54), (51, 39)]",112,112,39,39,112,51,90,90,51,90,51,90,51,90,51,96,42,90,51,90,51,90,51,90,51,96,42,90,51,90.0,51.0,92.30930000000001,47.536,93.0,46.5,90.0,51.0,0.9375,1.0
d9bd4343-3d18-4f93-a352-1f46e43189bc,1,11,False,"[(54, 42), (39, 51)]",112,112,39,39,112,39,90,90,39,90,39,90,39,90,39,96,54,90,39,90,39,90,39,90,39,96,54,90,39,90.0,39.0,92.30930000000001,44.773300000000006,93.0,46.5,90.0,39.0,0.9375,1.0
f57a16cd-88fb-4f4e-b9c9-574387ef1de1,0,0,False,"[(27, 39), (35, 23)]",80,56,27,20,80,35,58,58,35,58,35,58,35,58,35,66,27,58,35,58,35,58,35,58,35,66,27,58,35,58.0,35.0,59.89930000000001,33.1007,58.0,35.0,58.0,35.0,0.8787878787878788,1.0
f57a16cd-88fb-4f4e-b9c9-574387ef1de1,0,0,False,"[(39, 27), (23, 35)]",56,80,20,27,56,23,58,58,23,58,23,58,23,58,23,66,39,58,23,58,23,58,23,58,23,66,39,58,23,58.0,23.0,59.89930000000001,26.7986,58.0,23.0,58.0,23.0,0.8787878787878788,1.0
040c234d-2bf8-4017-8433-892d7211c545,1,1,False,"[(38, 26), (31, 43)]",100,112,26,26,100,29,58,64,38,64,38,64,38,64,38,64,38,74,31,64,38,64,38,64,38,74,31,64,38,64.0,38.0,67.39150000000001,35.6259,74.0,31.0,64.0,38.0,0.7837837837837838,0.90625
040c234d-2bf8-4017-8433-892d7211c545,1,1,False,"[(26, 38), (43, 31)]",112,100,26,26,112,29,58,64,26,64,26,64,26,64,26,64,26,74,43,64,26,64,26,64,26,74,43,64,26,64.0,26.0,67.39150000000001,31.765600000000006,74.0,43.0,64.0,26.0,0.7837837837837838,0.90625
5e3728cc-4ebd-468a-a6fd-96f07c6f045a,2,22,False,"[(99, 55), (72, 72)]",122,100,40,53,122,72,144,154,99,144,72,144,72,144,72,144,72,144,72,144,72,144,72,144,72,154,99,144,72,145.0242,74.7653,148.1162,83.1138,149.0,85.5,144.0,72.0,0.935064935064935,1.0
5e3728cc-4ebd-468a-a6fd-96f07c6f045a,2,22,False,"[(55, 99), (72, 72)]",100,122,53,40,100,72,144,154,55,144,72,144,72,144,72,144,72,144,72,144,72,144,72,144,72,154,55,144,72,145.0242,70.2589,148.1162,65.0024,149.0,63.5,144.0,72.0,0.935064935064935,1.0
d2469663-e810-44c5-8381-e34fb1dfe3cb,0,0,False,"[(31, 43), (44, 32)]",80,56,19,20,80,34,68,74,31,74,31,74,31,74,31,74,31,76,44,76,44,76,44,76,44,74,31,74,31,75.998,43.987,75.2667,39.2338,76.0,44.0,74.0,31.0,0.8947368421052632,0.918918918918919
d2469663-e810-44c5-8381-e34fb1dfe3cb,0,0,False,"[(43, 31), (32, 44)]",56,80,20,19,56,34,68,74,43,74,43,74,43,74,43,74,43,76,32,76,32,76,32,76,32,74,43,74,43,75.998,32.010999999999996,75.2667,36.0329,76.0,32.0,74.0,43.0,0.8947368421052632,0.918918918918919
f281ba5a-1042-4a8c-94f3-ae72639c82ab,1,11,False,"[(40, 62), (57, 57)]",100,134,28,26,100,51,80,102,40,114,57,102,40,102,40,114,57,102,40,102,40,102,40,102,40,114,57,102,40,102.0,40.0,104.23740000000001,43.1697,102.0,40.0,102.0,40.0,0.7017543859649122,0.7843137254901961
f281ba5a-1042-4a8c-94f3-ae72639c82ab,1,11,False,"[(62, 40), (57, 57)]",134,100,26,28,134,29,80,102,62,114,57,102,62,102,62,114,57,102,62,102,62,102,62,102,62,114,57,102,62,102.0,62.0,104.23740000000001,61.0677,102.0,62.0,102.0,62.0,0.7017543859649122,0.7843137254901961
cb3fc15e-e1d9-4eca-aa44-40765bef4a0a,2,23,False,"[(96, 130), (100, 122), (115, 93)]",166,178,75,78,166,115,208,208,115,208,115,208,115,208,115,222,100,222,100,222,100,208,115,208,115,226,96,208,115,208.1453,114.8466,214.84120000000001,107.6702,218.8182,103.4091,208.0,115.0,0.9203539823008849,1.0
cb3fc15e-e1d9-4eca-aa44-40765bef4a0a,2,23,False,"[(130, 96), (122, 100), (93, 115)]",178,166,78,75,178,93,208,208,93,208,93,208,93,208,93,222,122,222,122,222,122,208,93,208,93,226,130,208,93,208.1453,93.2987,214.84120000000001,107.171,218.8182,115.4091,208.0,93.0,0.9203539823008849,1.0
b93ed897-8dab-4029-918c-e8e4724e0eb2,1,11,False,"[(60, 48), (57, 57), (56, 68)]",122,134,39,47,122,51,102,108,60,114,57,108,60,108,60,114,57,124,56,114,57,108,60,108,60,124,56,108,60,108.0,60.0,110.42249999999999,58.7887,124.0,56.0,108.0,60.0,0.8225806451612904,0.9444444444444444
b93ed897-8dab-4029-918c-e8e4724e0eb2,1,11,False,"[(48, 60), (57, 57), (68, 56)]",134,122,47,39,134,51,102,108,48,114,57,108,48,108,48,114,57,124,68,114,57,108,48,108,48,124,68,108,48,108.0,48.0,110.42249999999999,51.633799999999994,124.0,68.0,108.0,48.0,0.8225806451612904,0.9444444444444444
a3cc0429-238e-4d7b-bb0c-d4b9827df8f9,0,0,False,"[(43, 43), (51, 39)]",168,144,42,36,168,42,84,90,51,86,43,86,43,86,43,86,43,90,51,86,43,86,43,86,43,90,51,86,43,86.0,43.0,87.49259999999998,45.9851,90.0,51.0,86.0,43.0,0.9333333333333333,0.9767441860465116
a3cc0429-238e-4d7b-bb0c-d4b9827df8f9,0,0,False,"[(43, 43), (39, 51)]",144,168,36,42,144,42,84,90,39,86,43,86,43,86,43,86,43,90,39,86,43,86,43,86,43,90,39,86,43,86.0,43.0,87.49259999999998,41.50749999999999,90.0,39.0,86.0,43.0,0.9333333333333333,0.9767441860465116
de7d797a-ad59-4fe5-990c-23428f76af76,1,1,False,"[(22, 34), (31, 31)]",100,112,19,25,100,25,50,56,22,62,31,56,22,56,22,62,31,56,22,56,22,56,22,56,22,62,31,56,22,56.0,22.0,57.457899999999995,24.186899999999994,56.0,22.0,56.0,22.0,0.8064516129032258,0.8928571428571429
de7d797a-ad59-4fe5-990c-23428f76af76,1,1,False,"[(34, 22), (31, 31)]",112,100,25,19,112,25,50,56,34,62,31,56,34,56,34,62,31,56,34,56,34,56,34,56,34,62,31,56,34,56.0,34.0,57.457899999999995,33.271,56.0,34.0,56.0,34.0,0.8064516129032258,0.8928571428571429
2858471e-49e5-4c0a-9ea6-9a62b4bf4cf9,0,0,False,"[(31, 43), (42, 42)]",100,112,28,34,73,34,68,74,31,84,42,74,31,74,31,84,42,74,31,74,31,74,31,74,31,84,42,74,31,74.0,31.0,74.82240000000002,31.904600000000002,74.0,31.0,74.0,31.0,0.8095238095238095,0.918918918918919
2858471e-49e5-4c0a-9ea6-9a62b4bf4cf9,0,0,False,"[(43, 31), (42, 42)]",112,100,34,28,85,34,68,74,43,84,42,74,43,74,43,84,42,74,43,74,43,74,43,74,43,84,42,74,43,74.0,43.0,74.82240000000002,42.9178,74.0,43.0,74.0,43.0,0.8095238095238095,0.918918918918919
11205596-9948-433e-abd1-9ba79b2e558f,0,0,False,"[(69, 35), (32, 54)]",122,122,32,35,113,32,86,86,32,86,32,86,32,86,32,86,32,86,32,86,32,86,32,86,32,104,69,86,32,86.00999999999999,32.0206,92.2447,44.836299999999994,93.07140000000001,46.535700000000006,86.0,32.0,0.8269230769230769,1.0
11205596-9948-433e-abd1-9ba79b2e558f,0,0,False,"[(35, 69), (54, 32)]",122,122,35,32,113,54,86,86,54,86,54,86,54,86,54,86,54,86,54,86,54,86,54,86,54,104,35,86,54,86.00999999999999,53.9894,92.2447,47.4084,93.07140000000001,46.535700000000006,86.0,54.0,0.8269230769230769,1.0
c071c026-9b58-4682-890c-618a2b17da95,0,0,False,"[(101, 101), (97, 109)]",298,322,97,100,298,100,200,206,97,202,101,202,101,202,101,202,101,206,97,206,97,202,101,202,101,206,97,202,101,202.0,101.0,203.41899999999998,99.58109999999999,206.0,97.0,202.0,101.0,0.970873786407767,0.9900990099009901
c071c026-9b58-4682-890c-618a2b17da95,0,0,False,"[(101, 101), (109, 97)]",322,298,100,97,322,100,200,206,109,202,101,202,101,202,101,202,101,206,109,206,109,202,101,202,101,206,109,202,101,202.0,101.0,203.41899999999998,103.83789999999999,206.0,109.0,202.0,101.0,0.970873786407767,0.9900990099009901
9b9a7cc9-9a28-4d87-9b75-9adc4dac5528,1,11,False,"[(48, 36), (46, 46), (39, 51)]",90,90,27,28,90,39,78,84,48,92,46,84,48,84,48,92,46,92,46,92,46,84,48,84,48,92,46,84,48,84.0,48.0,86.3309,44.5036,87.0,43.5,84.0,48.0,0.8478260869565217,0.9285714285714286
9b9a7cc9-9a28-4d87-9b75-9adc4dac5528,1,11,False,"[(36, 48), (46, 46), (51, 39)]",90,90,28,27,90,39,78,84,36,92,46,84,36,84,36,92,46,92,46,92,46,84,36,84,36,92,46,84,36,84.0,36.0,86.3309,41.8273,87.0,43.5,84.0,36.0,0.8478260869565217,0.9285714285714286
16379f77-6bd0-4d0d-837c-ec77a1cd8e0a,1,1,False,"[(57, 57), (64, 52), (48, 60)]",100,112,36,44,100,51,102,108,48,114,57,108,48,108,48,114,57,108,48,108,48,108,48,108,48,116,64,108,48,108.0001,48.0001,110.4186,52.8372,108.0,48.0,108.0,48.0,0.8793103448275862,0.9444444444444444
