eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
c889e6d4-9d39-4cba-bd36-643bd5e3867d,165,True,"[(166, 782)]",166,782,44,214,166,166,948,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,948,166,1.0,1.0
c889e6d4-9d39-4cba-bd36-643bd5e3867d,165,True,"[(782, 166)]",782,166,214,44,782,782,948,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,948,782,1.0,1.0
5e699b9f-34a4-416c-b478-33417bdabb69,33,False,"[(339, 228)]",628,562,225,192,628,330,561,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,567,339,1.0106951871657754,1.0106951871657754
5e699b9f-34a4-416c-b478-33417bdabb69,33,False,"[(228, 339)]",562,628,192,225,562,231,561,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,567,228,1.0106951871657754,1.0106951871657754
fb17df74-8526-40c0-b5d8-a98223158e60,99,True,"[(100, 78)]",100,78,19,23,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,1.0,1.0
fb17df74-8526-40c0-b5d8-a98223158e60,99,True,"[(78, 100)]",78,100,23,19,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,1.0,1.0
0486427b-53a5-4c82-88ba-863b472dcf80,89,True,"[(188, 288)]",188,288,62,90,188,119,425,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,476,188,1.12,1.12
0486427b-53a5-4c82-88ba-863b472dcf80,89,True,"[(288, 188)]",288,188,90,62,288,306,425,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,476,288,1.12,1.12
520f9a1c-8687-449a-b8e3-e4b0c33f968d,77,True,"[(100, 56)]",100,56,28,15,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,1.0,1.0
520f9a1c-8687-449a-b8e3-e4b0c33f968d,77,True,"[(56, 100)]",56,100,15,28,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,1.0,1.0
