eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
0e3fba35-bbff-4a42-88df-d8923d2d37a3,45,True,"[(208, 108)]",320,122,92,36,320,208,316,316,208,316,208,316,208,316,208,316,208,316,208,316,208,316,208,316,208,316,208,316,208,316.0,208.0,316.0,208.0,316.0,208.0,316.0,208.0,1.0,1.0
88f684ac-78f5-49b0-b553-d778d3903d0b,0,False,"[(59, 159), (76, 142), (63, 151)]",100,222,23,52,100,62,212,218,59,218,76,214,63,214,63,218,76,218,59,214,63,218,59,214,63,218,76,214,63,214.0015,62.9985,218.0,59.0,214.13909999999998,63.4521,214.0,63.0,1.028301886792453,1.009433962264151
88f684ac-78f5-49b0-b553-d778d3903d0b,0,False,"[(159, 59), (142, 76), (151, 63)]",222,100,52,23,222,150,212,218,159,218,142,214,151,214,151,218,142,218,159,214,151,218,159,214,151,218,142,214,151,214.0015,151.003,218.0,159.0,214.13909999999998,150.687,214.0,151.0,1.028301886792453,1.009433962264151
1de44e26-ffa7-4748-8bcb-4e8100a4d1ce,66,True,"[(144, 156)]",144,156,67,70,144,144,300,300,144,300,144,300,144,300,144,300,144,300,144,300,144,300,144,300,144,300,144,300,144,300.0,144.0,300.0,144.0,300.0,144.0,300.0,144.0,1.0,1.0
1de44e26-ffa7-4748-8bcb-4e8100a4d1ce,66,True,"[(156, 144)]",156,144,70,67,156,156,300,300,156,300,156,300,156,300,156,300,156,300,156,300,156,300,156,300,156,300,156,300,156,300.0,156.0,300.0,156.0,300.0,156.0,300.0,156.0,1.0,1.0
19063529-fddc-4289-8bc3-3db0510271bc,143,True,"[(188, 34)]",188,34,82,7,188,188,222,222,188,222,188,222,188,222,188,222,188,222,188,222,188,222,188,222,188,222,188,222,188,222.0,188.0,222.0,188.0,222.0,188.0,222.0,188.0,1.0,1.0
19063529-fddc-4289-8bc3-3db0510271bc,143,True,"[(34, 188)]",34,188,7,82,34,34,222,222,34,222,34,222,34,222,34,222,34,222,34,222,34,222,34,222,34,222,34,222,34,222.0,34.0,222.0,34.0,222.0,34.0,222.0,34.0,1.0,1.0
ec02fbfa-1077-4f5b-b6e0-ed66b7381814,45,True,"[(88, 154), (71, 171)]",100,244,23,77,100,71,242,242,71,242,88,242,88,242,88,242,88,242,71,242,71,242,71,242,71,242,88,242,88,242.0,71.0,242.0,71.0,242.0,75.1429,242.0,71.0,1.0,1.0
ec02fbfa-1077-4f5b-b6e0-ed66b7381814,45,True,"[(154, 88), (171, 71)]",244,100,77,23,244,171,242,242,171,242,154,242,154,242,154,242,154,242,171,242,171,242,171,242,171,242,154,242,154,242.0,171.0,242.0,171.0,242.0,166.8571,242.0,171.0,1.0,1.0
473852e3-b765-4346-934d-a24996205a45,67,True,"[(122, 56)]",122,56,32,33,122,122,178,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178.0,122.0,178.0,122.0,178.0,122.0,178.0,122.0,1.0,1.0
