eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
03347612-1ba4-40a1-b0eb-c44a399a8b04,134,True,"[(100, 100)]",100,100,19,37,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,1.0,1.0
03347612-1ba4-40a1-b0eb-c44a399a8b04,134,True,"[(100, 100)]",100,100,37,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,1.0,1.0
742c051a-60aa-49e9-b698-ae880cbab738,0,True,"[(107, 217), (90, 234)]",122,288,41,75,122,93,318,324,90,324,107,324,107,324,107,324,107,324,90,324,90,324,90,324,90,324,107,324,107,324.0,90.0036,324.0,95.2816,324.0,90.0,324.0,90.0,1.0188679245283019,1.0188679245283019
742c051a-60aa-49e9-b698-ae880cbab738,0,True,"[(217, 107), (234, 90)]",288,122,75,41,288,225,318,324,234,324,217,324,217,324,217,324,217,324,234,324,234,324,234,324,234,324,217,324,217,324.0,233.9964,324.0,228.7184,324.0,234.0,324.0,234.0,1.0188679245283019,1.0188679245283019
520f2db6-4c76-4e8b-85b7-6b02e6ff969d,0,True,"[(100, 464)]",100,464,19,144,100,179,490,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,564,100,1.1510204081632653,1.1510204081632653
520f2db6-4c76-4e8b-85b7-6b02e6ff969d,0,True,"[(464, 100)]",464,100,144,19,464,311,490,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,564,464,1.1510204081632653,1.1510204081632653
d61202cd-d938-48e2-ae59-37b6b8fc50f0,34,True,"[(100, 288)]",100,288,41,72,100,100,388,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,1.0,1.0
d61202cd-d938-48e2-ae59-37b6b8fc50f0,34,True,"[(288, 100)]",288,100,72,41,288,288,388,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,1.0,1.0
293013c2-5438-4953-b5c2-4066a9a86200,110,True,"[(100, 122)]",100,122,19,49,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,1.0,1.0
293013c2-5438-4953-b5c2-4066a9a86200,110,True,"[(122, 100)]",122,100,49,19,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,1.0,1.0
501218f1-4a6a-4657-82e4-49ddf8dd58c4,298,True,"[(100, 12)]",100,12,19,3,100,100,112,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,1.0,1.0
501218f1-4a6a-4657-82e4-49ddf8dd58c4,298,True,"[(12, 100)]",12,100,3,19,12,12,112,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,1.0,1.0
2b18c89c-0780-42e4-a5ed-5b918eb3a5d7,144,True,"[(100, 122)]",100,122,37,27,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,1.0,1.0
2b18c89c-0780-42e4-a5ed-5b918eb3a5d7,144,True,"[(122, 100)]",122,100,27,37,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,1.0,1.0
3d36edef-286e-425a-ab7f-950df405a762,156,True,"[(100, 100)]",100,100,19,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,1.0,1.0
3d36edef-286e-425a-ab7f-950df405a762,156,True,"[(100, 100)]",100,100,19,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,1.0,1.0
b02652d4-142e-44ae-94fb-c104004d153a,122,True,"[(100, 12)]",100,12,40,3,100,100,112,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,1.0,1.0
b02652d4-142e-44ae-94fb-c104004d153a,122,True,"[(12, 100)]",12,100,3,40,12,12,112,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,1.0,1.0
55fbf648-e68c-483d-a9e1-30af379cdf39,44,True,"[(122, 188)]",122,188,41,48,122,143,286,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,310,122,1.083916083916084,1.083916083916084
55fbf648-e68c-483d-a9e1-30af379cdf39,44,True,"[(188, 122)]",188,122,48,41,188,143,286,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,310,188,1.083916083916084,1.083916083916084
bb7e10ed-5d5b-4301-86e3-e8717692a7d2,22,True,"[(298, 772)]",298,772,77,239,298,289,1062,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1070,298,1.0075329566854991,1.0075329566854991
bb7e10ed-5d5b-4301-86e3-e8717692a7d2,22,True,"[(772, 298)]",772,298,239,77,772,773,1062,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1070,772,1.0075329566854991,1.0075329566854991
a5e32b6c-4fb7-457c-894a-2a5d7ed9e3e3,1,True,"[(94, 226)]",100,298,28,64,100,137,318,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,320,94,1.0062893081761006,1.0062893081761006
a5e32b6c-4fb7-457c-894a-2a5d7ed9e3e3,1,True,"[(226, 94)]",298,100,64,28,298,181,318,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,320,226,1.0062893081761006,1.0062893081761006
05bd3eb9-0d28-41ca-a2c4-940de96458b1,56,False,"[(182, 326), (203, 313), (186, 318), (208, 296), (221, 287)]",430,508,130,122,430,190,490,508,182,508,221,504,186,504,186,508,221,504,208,508,221,504,186,504,208,516,203,504,186,504.0,208.0,504.0,200.5075,505.81820000000005,213.9091,504.0,186.0,1.0530612244897959,1.0285714285714285
05bd3eb9-0d28-41ca-a2c4-940de96458b1,56,False,"[(326, 182), (313, 203), (318, 186), (296, 208), (287, 221)]",508,430,122,130,508,300,490,508,326,508,287,504,318,504,318,508,287,504,296,508,287,504,318,504,296,516,313,504,318,504.0,296.0,504.0,303.4925,505.81820000000005,291.9091,504.0,318.0,1.0530612244897959,1.0285714285714285
d100e5a8-7159-4087-808d-61787aae0a0a,122,True,"[(100, 78)]",100,78,19,19,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,1.0,1.0
d100e5a8-7159-4087-808d-61787aae0a0a,122,True,"[(78, 100)]",78,100,19,19,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,1.0,1.0
