eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
db0cfc0f-f48b-4dd0-a043-ec8f6f15580d,122,True,"[(100, 100)]",100,100,23,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
db0cfc0f-f48b-4dd0-a043-ec8f6f15580d,122,True,"[(100, 100)]",100,100,19,23,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
458b90ef-233b-40c9-b61a-48f2029c218c,156,True,"[(100, 56)]",100,56,28,20,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
458b90ef-233b-40c9-b61a-48f2029c218c,156,True,"[(56, 100)]",56,100,20,28,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
1787b5f2-b5f0-40ed-a3d7-544275c97783,44,False,"[(169, 169)]",178,178,39,43,178,169,338,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338.0,169.0,338.0,169.0,338.0,169.0,338.0,169.0,1.0,1.0
1787b5f2-b5f0-40ed-a3d7-544275c97783,44,False,"[(169, 169)]",178,178,43,39,178,169,338,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338,169,338.0,169.0,338.0,169.0,338.0,169.0,338.0,169.0,1.0,1.0
6f1bb659-e6b0-4170-981c-be21c2441bb1,122,True,"[(100, 276)]",100,276,19,60,100,150,322,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376.0,100.0,376.0,100.0,376.0,100.0,376.0,100.0,1.1677018633540373,1.1677018633540373
6f1bb659-e6b0-4170-981c-be21c2441bb1,122,True,"[(276, 100)]",276,100,60,19,276,172,322,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376.0,276.0,376.0,276.0,376.0,276.0,376.0,276.0,1.1677018633540373,1.1677018633540373
cf702d2e-221c-44de-86e7-1e8eeab85bdd,122,True,"[(100, 78)]",100,78,28,24,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
cf702d2e-221c-44de-86e7-1e8eeab85bdd,122,True,"[(78, 100)]",78,100,24,28,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
897552bc-eace-4a56-b779-99db6c62a13e,100,True,"[(100, 816)]",100,816,28,190,100,100,916,916,100,916,100,916,100,916,100,916,100,916,100,916,100,916,100,916,100,916,100,916,100,916.0,100.0,916.0,100.0,916.0,100.0,916.0,100.0,1.0,1.0
897552bc-eace-4a56-b779-99db6c62a13e,100,True,"[(816, 100)]",816,100,190,28,816,816,916,916,816,916,816,916,816,916,816,916,816,916,816,916,816,916,816,916,816,916,816,916,816,916.0,816.0,916.0,816.0,916.0,816.0,916.0,816.0,1.0,1.0
674682bc-bfbf-4b58-8934-15b209554d34,144,True,"[(122, 56)]",122,56,41,20,122,122,178,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178,122,178.0,122.0,178.0,122.0,178.0,122.0,178.0,122.0,1.0,1.0
674682bc-bfbf-4b58-8934-15b209554d34,144,True,"[(56, 122)]",56,122,20,41,56,56,178,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178.0,56.0,178.0,56.0,178.0,56.0,178.0,56.0,1.0,1.0
c5858d9d-e2c8-4272-bd2a-7c859a0b29c2,44,True,"[(188, 178)]",188,178,35,56,188,101,334,366,188,366,188,366,188,366,188,366,188,366,188,366,188,366,188,366,188,366,188,366,188,366.0,188.0,366.0,188.0,366.0,188.0,366.0,188.0,1.095808383233533,1.095808383233533
c5858d9d-e2c8-4272-bd2a-7c859a0b29c2,44,True,"[(178, 188)]",178,188,56,35,178,233,334,366,178,366,178,366,178,366,178,366,178,366,178,366,178,366,178,366,178,366,178,366,178,366.0,178.0,366.0,178.0,366.0,178.0,366.0,178.0,1.095808383233533,1.095808383233533
f6fc74cc-c421-48e5-bbae-327fd62ef85e,0,True,"[(222, 210)]",222,210,61,64,222,223,424,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432.0,222.0,432.0,222.0,432.0,222.0,432.0,222.0,1.0188679245283019,1.0188679245283019
f6fc74cc-c421-48e5-bbae-327fd62ef85e,0,True,"[(210, 222)]",210,222,64,61,210,201,424,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432.0,210.0,432.0,210.0,432.0,210.0,432.0,210.0,1.0188679245283019,1.0188679245283019
4ffce21a-18b0-4fbf-8088-d74ac85b2d2a,110,True,"[(100, 100)]",100,100,28,32,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
4ffce21a-18b0-4fbf-8088-d74ac85b2d2a,110,True,"[(100, 100)]",100,100,32,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
84b86a06-3fcf-4c18-a38e-59c262a688e2,22,True,"[(144, 652)]",144,652,44,170,144,135,788,796,144,796,144,796,144,796,144,796,144,796,144,796,144,796,144,796,144,796,144,796,144,796.0,144.0,796.0,144.0,796.0,144.0,796.0,144.0,1.0101522842639594,1.0101522842639594
84b86a06-3fcf-4c18-a38e-59c262a688e2,22,True,"[(652, 144)]",652,144,170,44,652,653,788,796,652,796,652,796,652,796,652,796,652,796,652,796,652,796,652,796,652,796,652,796,652,796.0,652.0,796.0,652.0,796.0,652.0,796.0,652.0,1.0101522842639594,1.0101522842639594
3a8d5575-1d22-4844-af05-345d35b51caa,66,True,"[(100, 144)]",100,144,23,40,100,104,230,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0608695652173914,1.0608695652173914
3a8d5575-1d22-4844-af05-345d35b51caa,66,True,"[(144, 100)]",144,100,40,23,144,126,230,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0608695652173914,1.0608695652173914
2548b57a-9ba5-4e84-9842-8c0c224cdf3f,121,True,"[(166, 134)]",166,134,31,30,166,166,300,300,166,300,166,300,166,300,166,300,166,300,166,300,166,300,166,300,166,300,166,300,166,300.0,166.0,300.0,166.0,300.0,166.0,300.0,166.0,1.0,1.0
2548b57a-9ba5-4e84-9842-8c0c224cdf3f,121,True,"[(134, 166)]",134,166,30,31,134,134,300,300,134,300,134,300,134,300,134,300,134,300,134,300,134,300,134,300,134,300,134,300,134,300.0,134.0,300.0,134.0,300.0,134.0,300.0,134.0,1.0,1.0
a54dd457-08bb-4720-b5db-705ee10abf26,22,True,"[(91, 147)]",100,156,19,30,100,82,230,238,91,238,91,238,91,238,91,238,91,238,91,238,91,238,91,238,91,238,91,238,91,238.0,91.0,238.0,91.0,238.0,91.0,238.0,91.0,1.0347826086956522,1.0347826086956522
