eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
e867a0b7-8536-49fe-9f3e-70a811d22b23,100,True,"[(144, 166)]",144,166,49,56,144,92,250,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310.0,144.0,310.0,144.0,310.0,144.0,310.0,144.0,1.24,1.24
7629948c-92ce-44c0-a9cd-40d4b2091b41,90,True,"[(100, 56)]",100,56,23,11,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
7629948c-92ce-44c0-a9cd-40d4b2091b41,90,True,"[(56, 100)]",56,100,11,23,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
01f4a6bd-60bd-4d61-99fc-31680cf0b2a9,66,True,"[(100, 56)]",100,56,28,20,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
01f4a6bd-60bd-4d61-99fc-31680cf0b2a9,66,True,"[(56, 100)]",56,100,20,28,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
9f388acb-bbf4-4939-81e1-0b5563978879,78,True,"[(100, 122)]",100,122,32,43,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
9f388acb-bbf4-4939-81e1-0b5563978879,78,True,"[(122, 100)]",122,100,43,32,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
9b6b8db9-170f-480c-87a3-f41dd9f3f072,44,True,"[(100, 782)]",100,782,31,196,100,100,882,882,100,882,100,882,100,882,100,882,100,882,100,882,100,882,100,882,100,882,100,882,100,882.0,100.0,882.0,100.0,882.0,100.0,882.0,100.0,1.0,1.0
9b6b8db9-170f-480c-87a3-f41dd9f3f072,44,True,"[(782, 100)]",782,100,196,31,782,782,882,882,782,882,782,882,782,882,782,882,782,882,782,882,782,882,782,882,782,882,782,882,782,882.0,782.0,882.0,782.0,882.0,782.0,882.0,782.0,1.0,1.0
e07e8d86-6e68-4d1e-b7df-8bba2e7b7889,1,True,"[(68, 168)]",100,210,23,55,100,71,230,236,68,236,68,236,68,236,68,236,68,236,68,236,68,236,68,236,68,236,68,236,68,236.0,68.0,236.0,68.0,236.0,68.0,236.0,68.0,1.0260869565217392,1.0260869565217392
e07e8d86-6e68-4d1e-b7df-8bba2e7b7889,1,True,"[(168, 68)]",210,100,55,23,210,159,230,236,168,236,168,236,168,236,168,236,168,236,168,236,168,236,168,236,168,236,168,236,168,236.0,168.0,236.0,168.0,236.0,168.0,236.0,168.0,1.0260869565217392,1.0260869565217392
b3b15dcf-a674-47ca-ab25-950f2b9a8512,23,True,"[(100, 254)]",100,254,37,123,100,116,298,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354.0,100.0,354.0,100.0,354.0,100.0,354.0,100.0,1.1879194630872483,1.1879194630872483
b3b15dcf-a674-47ca-ab25-950f2b9a8512,23,True,"[(254, 100)]",254,100,123,37,254,182,298,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354.0,254.0,354.0,254.0,354.0,254.0,354.0,254.0,1.1879194630872483,1.1879194630872483
0d86d00f-b029-43f0-8d6d-90cc0a2907bd,67,True,"[(100, 34)]",100,34,19,7,100,100,134,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134.0,100.0,134.0,100.0,134.0,100.0,134.0,100.0,1.0,1.0
0d86d00f-b029-43f0-8d6d-90cc0a2907bd,67,True,"[(34, 100)]",34,100,7,19,34,34,134,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134.0,34.0,134.0,34.0,134.0,34.0,134.0,34.0,1.0,1.0
