eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
e390c1a7-dce1-4e9b-aa63-7e6bdb1e2599,34,True,"[(100, 288)]",100,288,40,86,100,158,316,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,388,100,1.2278481012658229,1.2278481012658229
e390c1a7-dce1-4e9b-aa63-7e6bdb1e2599,34,True,"[(288, 100)]",288,100,86,40,288,158,316,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,388,288,1.2278481012658229,1.2278481012658229
3c10f0eb-34c5-43cf-a5b2-bf7270e34d43,88,True,"[(137, 93)]",144,122,36,36,144,137,230,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,230,137,1.0,1.0
3c10f0eb-34c5-43cf-a5b2-bf7270e34d43,88,True,"[(93, 137)]",122,144,36,36,122,93,230,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,230,93,1.0,1.0
67aef115-a9d7-4145-83e7-b6964bfbb046,78,True,"[(87, 197)]",100,310,23,76,100,87,284,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,284,87,1.0,1.0
67aef115-a9d7-4145-83e7-b6964bfbb046,78,True,"[(197, 87)]",310,100,76,23,310,197,284,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,284,197,1.0,1.0
c372ff77-5740-4a82-ad8a-d675b6f11598,100,True,"[(100, 100)]",100,100,19,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,1.0,1.0
c372ff77-5740-4a82-ad8a-d675b6f11598,100,True,"[(100, 100)]",100,100,19,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,1.0,1.0
9108aed4-b4ee-40c6-bcc4-9f8cea8bed52,99,False,"[(330, 142)]",464,376,126,106,464,321,466,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,472,330,1.0128755364806867,1.0128755364806867
9108aed4-b4ee-40c6-bcc4-9f8cea8bed52,99,False,"[(142, 330)]",376,464,106,126,376,145,466,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,472,142,1.0128755364806867,1.0128755364806867
