eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
27236f38-df5c-45fc-ba21-4b33910392bc,44,False,"[(74, 119), (104, 93)]",200,200,65,61,200,74,193,193,74,197,104,193,74,193,74,197,104,197,104,197,104,193,74,197,104,193,74,193,74,193.0,74.0,195.1692,90.2692,195.02030000000002,89.1526,196.2142,98.1071,1.0207253886010363,1.0
27236f38-df5c-45fc-ba21-4b33910392bc,44,False,"[(119, 74), (93, 104)]",200,200,61,65,200,119,193,193,119,197,93,193,119,193,119,197,93,197,93,197,93,193,119,197,93,193,119,193,119,193.0,119.0,195.1692,104.9,195.02030000000002,105.8677,196.2142,98.1071,1.0207253886010363,1.0
f0274472-9b2e-4107-a778-af328aaccc95,23,False,"[(46, 91), (50, 83), (82, 71)]",100,112,32,22,100,49,131,137,46,153,82,133,50,133,50,153,82,133,50,133,50,133,50,133,50,153,82,133,50,133.0,50.0,133.0018,50.0029,137.93869999999998,57.902,142.5454,65.2727,1.16793893129771,1.015267175572519
f0274472-9b2e-4107-a778-af328aaccc95,23,False,"[(91, 46), (83, 50), (71, 82)]",112,100,22,32,112,82,131,137,91,153,71,133,83,133,83,153,71,133,83,133,83,133,83,133,83,153,71,133,83,133.0,83.0,133.0018,82.99889999999999,137.93869999999998,80.0367,142.5454,77.2727,1.16793893129771,1.015267175572519
536516d9-e358-4b70-a0dd-1a45ea5e4cb3,22,True,"[(166, 78)]",166,78,62,33,166,130,227,244,166,244,166,244,166,244,166,244,166,244,166,244,166,244,166,244,166,244,166,244,166,244.0,166.0,244.0,166.0,244.0,166.0,244.0,166.0,1.0748898678414096,1.0748898678414096
536516d9-e358-4b70-a0dd-1a45ea5e4cb3,22,True,"[(78, 166)]",78,166,33,62,78,97,227,244,78,244,78,244,78,244,78,244,78,244,78,244,78,244,78,244,78,244,78,244,78,244.0,78.0,244.0,78.0,244.0,78.0,244.0,78.0,1.0748898678414096,1.0748898678414096
e57ab2b9-6c0d-4263-8df6-afb1df23fa7f,77,True,"[(464, 78)]",464,78,161,24,464,464,542,542,464,542,464,542,464,542,464,542,464,542,464,542,464,542,464,542,464,542,464,542,464,542.0,464.0,542.0,464.0,542.0,464.0,542.0,464.0,1.0,1.0
e57ab2b9-6c0d-4263-8df6-afb1df23fa7f,77,True,"[(78, 464)]",78,464,24,161,78,78,542,542,78,542,78,542,78,542,78,542,78,542,78,542,78,542,78,542,78,542,78,542,78,542.0,78.0,542.0,78.0,542.0,78.0,542.0,78.0,1.0,1.0
63f212cb-9ba6-4bfc-9bce-046edff80a26,33,False,"[(95, 50), (68, 79), (55, 88)]",100,100,28,28,100,46,137,145,95,147,68,143,55,143,55,147,68,147,68,147,68,143,55,147,68,145,95,143,55,143.0,55.0,143.8092,71.1842,143.9219,73.4367,143.8462,71.9231,1.072992700729927,1.0437956204379562
63f212cb-9ba6-4bfc-9bce-046edff80a26,33,False,"[(50, 95), (79, 68), (88, 55)]",100,100,28,28,100,91,137,145,50,147,79,143,88,143,88,147,79,147,79,147,79,143,88,147,79,145,50,143,88,143.0,88.0,143.8092,72.625,143.9219,70.48519999999999,143.8462,71.9231,1.072992700729927,1.0437956204379562
039900ef-e6aa-4b87-862e-1eaa1f3cca19,1,False,"[(69, 158)]",144,222,58,91,144,72,221,227,69,227,69,227,69,227,69,227,69,227,69,227,69,227,69,227,69,227,69,227,69,227.0,69.0,227.0,69.0,227.0,69.0,227.0,69.0,1.0271493212669682,1.0271493212669682
039900ef-e6aa-4b87-862e-1eaa1f3cca19,1,False,"[(158, 69)]",222,144,91,58,222,149,221,227,158,227,158,227,158,227,158,227,158,227,158,227,158,227,158,227,158,227,158,227,158,227.0,158.0,227.0,158.0,227.0,158.0,227.0,158.0,1.0271493212669682,1.0271493212669682
b68864a0-df78-43cc-b68a-9c821a68969f,23,False,"[(39, 84)]",100,112,19,43,100,39,123,123,39,123,39,123,39,123,39,123,39,123,39,123,39,123,39,123,39,123,39,123,39,123.0,39.0,123.0,39.0,123.0,39.0,123.0,39.0,1.0,1.0
b68864a0-df78-43cc-b68a-9c821a68969f,23,False,"[(84, 39)]",112,100,43,19,112,84,123,123,84,123,84,123,84,123,84,123,84,123,84,123,84,123,84,123,84,123,84,123,84,123.0,84.0,123.0,84.0,123.0,84.0,123.0,84.0,1.0,1.0
3d61aa64-05db-4489-b50d-fddbd67feb26,11,True,"[(75, 42)]",100,78,23,24,100,52,115,117,75,117,75,117,75,117,75,117,75,117,75,117,75,117,75,117,75,117,75,117,75,117.0,75.0,117.0,75.0,117.0,75.0,117.0,75.0,1.017391304347826,1.017391304347826
3d61aa64-05db-4489-b50d-fddbd67feb26,11,True,"[(42, 75)]",78,100,24,23,78,63,115,117,42,117,42,117,42,117,42,117,42,117,42,117,42,117,42,117,42,117,42,117,42,117.0,42.0,117.0,42.0,117.0,42.0,117.0,42.0,1.017391304347826,1.017391304347826
2a6c7408-042d-4738-b835-a8133d7170ee,45,False,"[(62, 95), (103, 70), (111, 66)]",188,210,35,48,188,62,157,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157,62,177,111,157,62,157.0,62.0,157.0,62.0,163.4572,78.5467,159.6666,68.8333,1.127388535031847,1.0
2a6c7408-042d-4738-b835-a8133d7170ee,45,False,"[(95, 62), (70, 103), (66, 111)]",210,188,48,35,210,95,157,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157,95,177,66,157,95,157.0,95.0,157.0,95.0,163.4572,84.9105,159.6666,90.8333,1.127388535031847,1.0
fe8f730d-42d7-45e1-8315-5cad3108c3ce,23,False,"[(110, 65), (82, 93), (86, 75), (99, 66)]",122,156,45,47,122,86,161,175,110,161,86,161,86,161,86,175,82,175,82,175,82,161,86,161,86,175,110,161,86,161.0,86.0,161.0,86.0,161.0933,86.30330000000001,175.0,82.0,1.0869565217391304,1.0
fe8f730d-42d7-45e1-8315-5cad3108c3ce,23,False,"[(65, 110), (93, 82), (75, 86), (66, 99)]",156,122,47,45,156,75,161,175,65,161,75,161,75,161,75,175,93,175,93,175,93,161,75,161,75,175,65,161,75,161.0,75.0,161.0,75.0,161.0933,74.79,175.0,93.0,1.0869565217391304,1.0
e5934bda-d444-4099-a7da-254253561ba4,11,True,"[(90, 12)]",90,12,19,3,90,66,99,102,90,102,90,102,90,102,90,102,90,102,90,102,90,102,90,102,90,102,90,102,90,102.0,90.0,102.0,90.0,102.0,90.0,102.0,90.0,1.0303030303030303,1.0303030303030303
e5934bda-d444-4099-a7da-254253561ba4,11,True,"[(12, 90)]",12,90,3,19,12,33,99,102,12,102,12,102,12,102,12,102,12,102,12,102,12,102,12,102,12,102,12,102,12,102.0,12.0,102.0,12.0,102.0,12.0,102.0,12.0,1.0303030303030303,1.0303030303030303
2f3af230-8559-40de-8b50-3437980637bf,23,True,"[(72, 117), (89, 100), (98, 87)]",100,166,37,75,100,75,183,189,72,185,98,185,98,185,98,189,89,189,72,189,72,189,72,189,72,185,98,185,98,185.0,98.0,188.9993,72.0047,187.8389,79.5466,189.0,72.0,1.0327868852459017,1.010928961748634
2f3af230-8559-40de-8b50-3437980637bf,23,True,"[(117, 72), (100, 89), (87, 98)]",166,100,75,37,166,108,183,189,117,185,87,185,87,185,87,189,100,189,117,189,117,189,117,189,117,185,87,185,87,185.0,87.0,188.9993,116.99459999999999,187.8389,108.2923,189.0,117.0,1.0327868852459017,1.010928961748634
