eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
ba3cf9fa-ae4c-4c38-b9c1-09343e389a1d,0,False,"[(57, 34)]",90,56,32,20,90,48,85,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91.0,57.0,91.0,57.0,91.0,57.0,91.0,57.0,1.0705882352941176,1.0705882352941176
ba3cf9fa-ae4c-4c38-b9c1-09343e389a1d,0,False,"[(34, 57)]",56,90,20,32,56,37,85,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91.0,34.0,91.0,34.0,91.0,34.0,91.0,34.0,1.0705882352941176,1.0705882352941176
254938a9-3263-4640-b51a-b44b361ceac2,22,False,"[(102, 79), (98, 121)]",178,178,79,70,178,93,175,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,219,98,181,102,181.0,102.0,200.0,100.0,181.0,102.0,185.00639999999999,101.5783,1.2514285714285713,1.0342857142857143
254938a9-3263-4640-b51a-b44b361ceac2,22,False,"[(79, 102), (121, 98)]",178,178,70,79,178,82,175,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,219,121,181,79,181.0,79.0,200.0,100.0,181.0,79.0,185.00639999999999,83.4281,1.2514285714285713,1.0342857142857143
5acfb46f-852c-462c-82a0-b9aa7b35aba7,22,False,"[(54, 77)]",90,90,45,28,90,57,125,131,54,131,54,131,54,131,54,131,54,131,54,131,54,131,54,131,54,131,54,131,54,131.0,54.0,131.0,54.0,131.0,54.0,131.0,54.0,1.048,1.048
5acfb46f-852c-462c-82a0-b9aa7b35aba7,22,False,"[(77, 54)]",90,90,28,45,90,68,125,131,77,131,77,131,77,131,77,131,77,131,77,131,77,131,77,131,77,131,77,131,77,131.0,77.0,131.0,77.0,131.0,77.0,131.0,77.0,1.048,1.048
7f03c837-f9f0-494b-a8b9-042b07de7139,56,True,"[(210, 728)]",210,728,74,218,210,416,887,938,210,938,210,938,210,938,210,938,210,938,210,938,210,938,210,938,210,938,210,938,210,938.0,210.0,938.0,210.0,938.0,210.0,938.0,210.0,1.0574971815107101,1.0574971815107101
7f03c837-f9f0-494b-a8b9-042b07de7139,56,True,"[(728, 210)]",728,210,218,74,728,471,887,938,728,938,728,938,728,938,728,938,728,938,728,938,728,938,728,938,728,938,728,938,728,938.0,728.0,938.0,728.0,938.0,728.0,938.0,728.0,1.0574971815107101,1.0574971815107101
39b15ec8-1406-4199-88df-a23f674e516a,0,False,"[(44, 21)]",80,34,17,7,80,35,59,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65.0,44.0,65.0,44.0,65.0,44.0,65.0,44.0,1.1016949152542372,1.1016949152542372
39b15ec8-1406-4199-88df-a23f674e516a,0,False,"[(21, 44)]",34,80,7,17,34,24,59,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65.0,21.0,65.0,21.0,65.0,21.0,65.0,21.0,1.1016949152542372,1.1016949152542372
