eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
1426ae21-034e-4891-acd3-4a394804f67f,67,True,"[(100, 276)]",100,276,19,94,100,100,376,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376.0,100.0,376.0,100.0,376.0,100.0,376.0,100.0,1.0,1.0
1426ae21-034e-4891-acd3-4a394804f67f,67,True,"[(276, 100)]",276,100,94,19,276,276,376,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376.0,276.0,376.0,276.0,376.0,276.0,376.0,276.0,1.0,1.0
5c99a5e9-bbc8-4e44-94cb-e910d112895e,33,False,"[(248, 181), (245, 190), (202, 191)]",364,210,84,51,364,202,393,429,248,393,202,393,202,393,202,393,202,429,248,429,248,393,202,429,248,435,245,393,202,422.1913,239.3,429.0,248.0,393.0,202.0,412.7427,227.2268,1.1068702290076335,1.0
5c99a5e9-bbc8-4e44-94cb-e910d112895e,33,False,"[(181, 248), (190, 245), (191, 202)]",210,364,51,84,210,191,393,429,181,393,191,393,191,393,191,393,191,429,181,429,181,393,191,429,181,435,190,393,191,422.1913,182.8913,429.0,181.0,393.0,191.0,412.7427,185.5159,1.1068702290076335,1.0
2fabaa1c-3956-4193-b3f0-863ab8e433d1,67,True,"[(112, 90)]",112,90,45,36,112,112,202,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202.0,112.0,202.0,112.0,202.0,112.0,202.0,112.0,1.0,1.0
2fabaa1c-3956-4193-b3f0-863ab8e433d1,67,True,"[(90, 112)]",90,112,36,45,90,90,202,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202.0,90.0,202.0,90.0,202.0,90.0,202.0,90.0,1.0,1.0
fd9c08b0-9e3d-4317-a78d-05d2f1a236b6,34,True,"[(74, 173)]",100,232,46,79,100,74,247,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247.0,74.0,247.0,74.0,247.0,74.0,247.0,74.0,1.0,1.0
fd9c08b0-9e3d-4317-a78d-05d2f1a236b6,34,True,"[(173, 74)]",232,100,79,46,232,173,247,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247.0,173.0,247.0,173.0,247.0,173.0,247.0,173.0,1.0,1.0
02319f16-9bf9-428f-bf9c-49a78d1b5082,33,True,"[(61, 116)]",100,166,19,35,100,55,165,177,61,177,61,177,61,177,61,177,61,177,61,177,61,177,61,177,61,177,61,177,61,177.0,61.0,177.0,61.0,177.0,61.0,177.0,61.0,1.0727272727272728,1.0727272727272728
02319f16-9bf9-428f-bf9c-49a78d1b5082,33,True,"[(116, 61)]",166,100,35,19,166,110,165,177,116,177,116,177,116,177,116,177,116,177,116,177,116,177,116,177,116,177,116,177,116,177.0,116.0,177.0,116.0,177.0,116.0,177.0,116.0,1.0727272727272728,1.0727272727272728
