eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
4cbd0cd0-ed7c-4c55-8407-17bdad951cda,1,False,"[(102, 57)]",134,100,54,37,134,93,153,159,102,159,102,159,102,159,102,159,102,159,102,159,102,159,102,159,102,159,102,159,102,159.0,102.0,159.0,102.0,159.0,102.0,159.0,102.0,1.0392156862745099,1.0392156862745099
49b9f354-ee36-43d7-9c6c-f99ea6e536af,165,True,"[(332, 254)]",332,254,107,65,332,407,561,586,332,586,332,586,332,586,332,586,332,586,332,586,332,586,332,586,332,586,332,586,332,586.0,332.0,586.0,332.0,586.0,332.0,586.0,332.0,1.0445632798573976,1.0445632798573976
49b9f354-ee36-43d7-9c6c-f99ea6e536af,165,True,"[(254, 332)]",254,332,65,107,254,154,561,586,254,586,254,586,254,586,254,586,254,586,254,586,254,586,254,586,254,586,254,586,254,586.0,254.0,586.0,254.0,586.0,254.0,586.0,254.0,1.0445632798573976,1.0445632798573976
00d138d7-6b45-4485-beb9-516054d4ccd4,45,True,"[(45, 90)]",90,90,36,27,90,48,129,135,45,135,45,135,45,135,45,135,45,135,45,135,45,135,45,135,45,135,45,135,45,135.0,45.0,135.0,45.0,135.0,45.0,135.0,45.0,1.0465116279069768,1.0465116279069768
00d138d7-6b45-4485-beb9-516054d4ccd4,45,True,"[(90, 45)]",90,90,27,36,90,81,129,135,90,135,90,135,90,135,90,135,90,135,90,135,90,135,90,135,90,135,90,135,90,135.0,90.0,135.0,90.0,135.0,90.0,135.0,90.0,1.0465116279069768,1.0465116279069768
3c8bf513-bbdf-42c1-bcf4-de7eb96dab04,44,True,"[(96, 85), (65, 98)]",144,100,27,54,144,47,149,163,65,181,96,163,65,163,65,181,96,181,96,181,96,163,65,181,96,163,65,163,65,175.39010000000002,86.33850000000001,181.0,96.0,163.0,65.0,181.0,96.0,1.2147651006711409,1.0939597315436242
3c8bf513-bbdf-42c1-bcf4-de7eb96dab04,44,True,"[(85, 96), (98, 65)]",100,144,54,27,100,102,149,163,98,181,85,163,98,163,98,181,85,181,85,181,85,163,98,181,85,163,98,163,98,175.39010000000002,89.05160000000001,181.0,85.0,163.0,98.0,181.0,85.0,1.2147651006711409,1.0939597315436242
91a3c059-125a-463b-96e1-46ea765cc0fe,11,False,"[(114, 81)]",188,100,60,28,188,114,195,195,114,195,114,195,114,195,114,195,114,195,114,195,114,195,114,195,114,195,114,195,114,195.0,114.0,195.0,114.0,195.0,114.0,195.0,114.0,1.0,1.0
91a3c059-125a-463b-96e1-46ea765cc0fe,11,False,"[(81, 114)]",100,188,28,60,100,81,195,195,81,195,81,195,81,195,81,195,81,195,81,195,81,195,81,195,81,195,81,195,81,195.0,81.0,195.0,81.0,195.0,81.0,195.0,81.0,1.0,1.0
96c743a7-3fa0-4ffe-a399-b211a99c813b,1,False,"[(66, 33)]",90,56,18,19,90,66,99,99,66,99,66,99,66,99,66,99,66,99,66,99,66,99,66,99,66,99,66,99,66,99.0,66.0,99.0,66.0,99.0,66.0,99.0,66.0,1.0,1.0
96c743a7-3fa0-4ffe-a399-b211a99c813b,1,False,"[(33, 66)]",56,90,19,18,56,33,99,99,33,99,33,99,33,99,33,99,33,99,33,99,33,99,33,99,33,99,33,99,33,99.0,33.0,99.0,33.0,99.0,33.0,99.0,33.0,1.0,1.0
751aff39-37b1-44ef-bc34-44500a523104,23,False,"[(107, 96), (90, 101), (69, 114)]",122,200,36,68,122,72,177,183,69,191,90,183,69,183,69,203,107,183,69,183,69,183,69,183,69,203,107,183,69,185.6565,75.97319999999999,183.0,69.0,183.0,69.0,183.0,69.0,1.1468926553672316,1.0338983050847457
751aff39-37b1-44ef-bc34-44500a523104,23,False,"[(96, 107), (101, 90), (114, 69)]",200,122,68,36,200,105,177,183,114,191,101,183,114,183,114,203,96,183,114,183,114,183,114,183,114,203,96,183,114,185.6565,109.6833,183.0,114.0,183.0,114.0,183.0,114.0,1.1468926553672316,1.0338983050847457
cb6eb5ad-8754-484e-b7bb-ac3f5306b68d,12,False,"[(55, 66), (46, 91)]",100,156,19,37,100,55,121,137,46,121,55,121,55,121,55,121,55,137,46,121,55,121,55,121,55,137,46,121,55,127.0,51.625,121.00209999999998,54.9988,121.0,55.0,137.0,46.0,1.1322314049586777,1.0
cb6eb5ad-8754-484e-b7bb-ac3f5306b68d,12,False,"[(66, 55), (91, 46)]",156,100,37,19,156,66,121,137,91,121,66,121,66,121,66,121,66,137,91,121,66,121,66,121,66,137,91,121,66,127.0,75.375,121.00209999999998,66.0033,121.0,66.0,137.0,91.0,1.1322314049586777,1.0
