eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
d0df2d1c-43b7-430e-9c75-91493ffb30ce,0,True,"[(332, 100)]",332,100,108,37,332,243,387,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432.0,332.0,432.0,332.0,432.0,332.0,432.0,332.0,1.1162790697674418,1.1162790697674418
21352499-4b7f-42b9-a147-d8d505320a65,123,True,"[(100, 100)]",100,100,28,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
21352499-4b7f-42b9-a147-d8d505320a65,123,True,"[(100, 100)]",100,100,19,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
5ddb995e-5936-4f74-afe6-8633a87f5b78,33,True,"[(100, 122)]",100,122,28,36,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
5ddb995e-5936-4f74-afe6-8633a87f5b78,33,True,"[(122, 100)]",122,100,36,28,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
ccc49f4b-3a8f-4afc-bd7d-45f5182ae2f0,133,True,"[(100, 56)]",100,56,28,20,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
ccc49f4b-3a8f-4afc-bd7d-45f5182ae2f0,133,True,"[(56, 100)]",56,100,20,28,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
97d5c0fe-2325-4f6a-b9cf-18d8c913e911,123,True,"[(100, 100)]",100,100,28,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
97d5c0fe-2325-4f6a-b9cf-18d8c913e911,123,True,"[(100, 100)]",100,100,28,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
86676284-201a-4926-8c22-dc22c5959359,33,True,"[(122, 266)]",122,266,23,77,122,124,381,388,122,388,122,388,122,388,122,388,122,388,122,388,122,388,122,388,122,388,122,388,122,388.0,122.0,388.0,122.0,388.0,122.0,388.0,122.0,1.0183727034120735,1.0183727034120735
86676284-201a-4926-8c22-dc22c5959359,33,True,"[(266, 122)]",266,122,77,23,266,257,381,388,266,388,266,388,266,388,266,388,266,388,266,388,266,388,266,388,266,388,266,388,266,388.0,266.0,388.0,266.0,388.0,266.0,388.0,266.0,1.0183727034120735,1.0183727034120735
2f9e0c92-c22f-46be-8f5a-29d37e5796a3,121,True,"[(100, 100)]",100,100,19,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
2f9e0c92-c22f-46be-8f5a-29d37e5796a3,121,True,"[(100, 100)]",100,100,28,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
9223e6ab-b8c9-48b5-a3ce-141910654c8b,123,True,"[(100, 122)]",100,122,37,34,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
9223e6ab-b8c9-48b5-a3ce-141910654c8b,123,True,"[(122, 100)]",122,100,34,37,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
ea636a80-7630-47dc-af52-4945ab4f96c4,133,True,"[(100, 100)]",100,100,28,37,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
ea636a80-7630-47dc-af52-4945ab4f96c4,133,True,"[(100, 100)]",100,100,37,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
