eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
b23de550-4a29-44b8-8bdd-88dc3af861bb,12,True,"[(100, 320)]",100,320,32,94,100,124,347,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,1.2103746397694524,1.2103746397694524
b23de550-4a29-44b8-8bdd-88dc3af861bb,12,True,"[(320, 100)]",320,100,94,32,320,223,347,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,1.2103746397694524,1.2103746397694524
78cb4df4-3574-4889-885d-fa122e44c74d,11,False,"[(92, 125)]",100,134,32,42,100,92,217,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,217,92,1.0,1.0
78cb4df4-3574-4889-885d-fa122e44c74d,11,False,"[(125, 92)]",134,100,42,32,134,125,217,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,217,125,1.0,1.0
f4ab6752-7b63-440b-a480-4c727df332dd,33,True,"[(100, 122)]",100,122,32,23,100,91,215,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,1.0325581395348837,1.0325581395348837
f4ab6752-7b63-440b-a480-4c727df332dd,33,True,"[(122, 100)]",122,100,23,32,122,124,215,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,1.0325581395348837,1.0325581395348837
bf1ebf46-9cd0-4bd3-857e-d32664b234a2,67,True,"[(100, 178)]",100,178,28,43,100,139,245,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,278,100,1.1346938775510205,1.1346938775510205
bf1ebf46-9cd0-4bd3-857e-d32664b234a2,67,True,"[(178, 100)]",178,100,43,28,178,106,245,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,278,178,1.1346938775510205,1.1346938775510205
ade6c185-9a7d-447d-a625-1c46d84187f1,22,True,"[(442, 100)]",442,100,144,27,442,442,542,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,1.0,1.0
ade6c185-9a7d-447d-a625-1c46d84187f1,22,True,"[(100, 442)]",100,442,27,144,100,100,542,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,1.0,1.0
2b7e13d2-06a5-4b92-bee1-a2f5dba7ba81,0,True,"[(76, 187)]",100,222,23,52,100,79,257,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,263,76,1.0233463035019454,1.0233463035019454
