eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
8aa47b89-51b0-404d-828a-a9ee0fea981c,33,False,"[(61, 27), (54, 54), (36, 58)]",90,90,18,26,90,52,82,88,61,108,54,88,61,88,61,108,54,108,54,108,54,88,61,88,61,108,54,88,61,90.9086,48.8809,88.0,61.0,90.61680000000001,50.0968,91.6428,45.8214,1.3170731707317074,1.0731707317073171
6305082f-0277-43fa-b7b2-748c108523f2,11,False,"[(58, 58), (88, 54)]",144,78,27,24,144,58,116,142,88,116,58,116,58,116,58,116,58,142,88,142,88,116,58,116,58,142,88,116,58,124.406,67.6992,116.0,58.0,116.0,58.0,142.0,88.0,1.2241379310344827,1.0
6305082f-0277-43fa-b7b2-748c108523f2,11,False,"[(58, 58), (54, 88)]",78,144,24,27,78,58,116,142,54,116,58,116,58,116,58,116,58,142,54,142,54,116,58,116,58,142,54,116,58,124.406,56.7068,116.0,58.0,116.0,58.0,142.0,54.0,1.2241379310344827,1.0
e9f08bc0-7eeb-450d-a108-d5386861a5d0,0,True,"[(91, 113), (77, 121), (93, 93)]",100,122,28,30,100,93,186,198,77,186,93,186,93,186,93,186,93,204,91,204,91,186,93,186,93,198,77,186,93,191.02519999999998,86.2996,186.0,93.0,189.5893,88.2143,192.0,85.0,1.096774193548387,1.0
e9f08bc0-7eeb-450d-a108-d5386861a5d0,0,True,"[(113, 91), (121, 77), (93, 93)]",122,100,30,28,122,93,186,198,121,186,93,186,93,186,93,186,93,204,113,204,113,186,93,186,93,198,121,186,93,191.02519999999998,104.7256,186.0,93.0,189.5893,101.375,192.0,107.0,1.096774193548387,1.0
70ffc80c-2af7-48a0-9128-2adbe756a5d4,34,False,"[(106, 72), (39, 73)]",134,122,30,30,134,42,106,112,39,112,39,112,39,112,39,178,106,112,39,112,39,112,39,112,39,178,106,112,39,113.82,40.8476,112.0,39.0,112.0,39.0,156.647,84.3235,1.679245283018868,1.0566037735849056
70ffc80c-2af7-48a0-9128-2adbe756a5d4,34,False,"[(72, 106), (73, 39)]",122,134,30,30,122,64,106,112,73,112,73,112,73,112,73,178,72,112,73,112,73,112,73,112,73,178,72,112,73,113.82,72.9724,112.0,73.0,112.0,73.0,156.647,72.3235,1.679245283018868,1.0566037735849056
ef24f03a-9600-4a51-819e-a7d929eb7bb5,34,False,"[(65, 43), (52, 52)]",100,100,27,34,100,52,104,108,65,104,52,104,52,104,52,104,52,104,52,104,52,104,52,104,52,108,65,104,52,105.4731,56.7877,104.0,52.0,104.0,52.0,104.0,52.0,1.0384615384615385,1.0
ef24f03a-9600-4a51-819e-a7d929eb7bb5,34,False,"[(43, 65), (52, 52)]",100,100,34,27,100,52,104,108,43,104,52,104,52,104,52,104,52,104,52,104,52,104,52,104,52,108,43,104,52,105.4731,48.6854,104.0,52.0,104.0,52.0,104.0,52.0,1.0384615384615385,1.0
be05e5f8-cb91-49ba-ae7a-a4e0c6351f9f,34,True,"[(90, 122)]",90,122,18,45,90,109,196,212,90,212,90,212,90,212,90,212,90,212,90,212,90,212,90,212,90,212,90,212,90,212.0,90.0,212.0,90.0,212.0,90.0,212.0,90.0,1.0816326530612246,1.0816326530612246
be05e5f8-cb91-49ba-ae7a-a4e0c6351f9f,34,True,"[(122, 90)]",122,90,45,18,122,87,196,212,122,212,122,212,122,212,122,212,122,212,122,212,122,212,122,212,122,212,122,212,122,212.0,122.0,212.0,122.0,212.0,122.0,212.0,122.0,1.0816326530612246,1.0816326530612246
7e3410e4-da8f-43bc-b645-e3084afae7f4,34,False,"[(168, 68), (160, 72)]",178,122,38,31,178,159,230,236,168,232,160,232,160,232,160,232,160,232,160,232,160,232,160,232,160,236,168,232,160,232.57150000000001,161.1429,232.0,160.0,232.0,160.0,232.0,160.0,1.0260869565217392,1.008695652173913
7e3410e4-da8f-43bc-b645-e3084afae7f4,34,False,"[(68, 168), (72, 160)]",122,178,31,38,122,71,230,236,68,232,72,232,72,232,72,232,72,232,72,232,72,232,72,232,72,236,68,232,72,232.57150000000001,71.4286,232.0,72.0,232.0,72.0,232.0,72.0,1.0260869565217392,1.008695652173913
72ca54b9-1c97-4ec2-9d62-40270192d33d,33,False,"[(53, 31), (61, 27)]",90,90,27,18,90,52,82,88,61,84,53,84,53,84,53,84,53,84,53,84,53,84,53,84,53,88,61,84,53,84.908,54.816,84.0,53.0,84.0,53.0,84.0,53.0,1.0731707317073171,1.024390243902439
72ca54b9-1c97-4ec2-9d62-40270192d33d,33,False,"[(31, 53), (27, 61)]",90,90,18,27,90,30,82,88,27,84,31,84,31,84,31,84,31,84,31,84,31,84,31,84,31,88,27,84,31,84.908,30.092,84.0,31.0,84.0,31.0,84.0,31.0,1.0731707317073171,1.024390243902439
d4182b98-4b2b-43fe-b9d4-f933a8d04774,11,False,"[(64, 42)]",100,56,37,29,100,64,106,106,64,106,64,106,64,106,64,106,64,106,64,106,64,106,64,106,64,106,64,106,64,106.0,64.0,106.0,64.0,106.0,64.0,106.0,64.0,1.0,1.0
d4182b98-4b2b-43fe-b9d4-f933a8d04774,11,False,"[(42, 64)]",56,100,29,37,56,42,106,106,42,106,42,106,42,106,42,106,42,106,42,106,42,106,42,106,42,106,42,106,42,106.0,42.0,106.0,42.0,106.0,42.0,106.0,42.0,1.0,1.0
a5ed6b43-0ee8-490a-bf21-24097d8971ae,12,False,"[(54, 88)]",122,134,27,39,122,57,136,142,54,142,54,142,54,142,54,142,54,142,54,142,54,142,54,142,54,142,54,142,54,142.0,54.0,142.0,54.0,142.0,54.0,142.0,54.0,1.0441176470588236,1.0441176470588236
a5ed6b43-0ee8-490a-bf21-24097d8971ae,12,False,"[(88, 54)]",134,122,39,27,134,79,136,142,88,142,88,142,88,142,88,142,88,142,88,142,88,142,88,142,88,142,88,142,88,142.0,88.0,142.0,88.0,142.0,88.0,142.0,88.0,1.0441176470588236,1.0441176470588236
374ddf1a-92f9-477c-932f-4e8cfcecc636,1,False,"[(76, 98)]",122,178,63,80,122,76,174,174,76,174,76,174,76,174,76,174,76,174,76,174,76,174,76,174,76,174,76,174,76,174.0,76.0,174.0,76.0,174.0,76.0,174.0,76.0,1.0,1.0
374ddf1a-92f9-477c-932f-4e8cfcecc636,1,False,"[(98, 76)]",178,122,80,63,178,98,174,174,98,174,98,174,98,174,98,174,98,174,98,174,98,174,98,174,98,174,98,174,98,174.0,98.0,174.0,98.0,174.0,98.0,174.0,98.0,1.0,1.0
3a9f96a9-3429-4e1f-be4d-7a0474f36062,0,False,"[(300, 24), (295, 31)]",332,56,125,15,332,291,318,324,300,326,295,324,300,324,300,326,295,324,300,326,295,324,300,324,300,326,295,324,300,324.7637,298.09069999999997,324.0,300.0,324.0,300.0,324.0,300.0,1.0251572327044025,1.0188679245283019
