eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
f18f3fbd-fc2d-4cb9-8e2a-18657a746763,122,True,"[(804, 144)]",804,144,279,36,804,804,948,948,804,948,804,948,804,948,804,948,804,948,804,948,804,948,804,948,804,948,804,948,804,948.0,804.0,948.0,804.0,948.0,804.0,948.0,804.0,1.0,1.0
03d6a899-9f18-4bc2-9910-4911814acfc4,66,True,"[(90, 90)]",90,90,35,36,90,90,180,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180.0,90.0,180.0,90.0,180.0,90.0,180.0,90.0,1.0,1.0
03d6a899-9f18-4bc2-9910-4911814acfc4,66,True,"[(90, 90)]",90,90,36,35,90,90,180,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180.0,90.0,180.0,90.0,180.0,90.0,180.0,90.0,1.0,1.0
74877b22-413d-4a8e-8a0e-512abc0689ad,89,True,"[(100, 56)]",100,56,41,20,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
74877b22-413d-4a8e-8a0e-512abc0689ad,89,True,"[(56, 100)]",56,100,20,41,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
7a8d8fbb-7330-4b0a-92a8-975dac222fde,89,True,"[(144, 12)]",144,12,45,3,144,144,156,156,144,156,144,156,144,156,144,156,144,156,144,156,144,156,144,156,144,156,144,156,144,156.0,144.0,156.0,144.0,156.0,144.0,156.0,144.0,1.0,1.0
7a8d8fbb-7330-4b0a-92a8-975dac222fde,89,True,"[(12, 144)]",12,144,3,45,12,12,156,156,12,156,12,156,12,156,12,156,12,156,12,156,12,156,12,156,12,156,12,156,12,156.0,12.0,156.0,12.0,156.0,12.0,156.0,12.0,1.0,1.0
c832fcec-e176-4862-923b-a13339d8d800,12,False,"[(94, 193), (85, 196)]",100,288,32,88,100,88,275,281,85,287,94,281,85,281,85,287,94,281,85,281,85,281,85,281,85,287,94,281,85,281.0,85.0,281.0,85.0,281.0,85.0,281.3,85.45,1.0436363636363637,1.0218181818181817
c832fcec-e176-4862-923b-a13339d8d800,12,False,"[(193, 94), (196, 85)]",288,100,88,32,288,187,275,281,196,287,193,281,196,281,196,287,193,281,196,281,196,281,196,281,196,287,193,281,196,281.0,196.0,281.0,196.0,281.0,196.0,281.3,195.85,1.0436363636363637,1.0218181818181817
920520cb-f75a-4dc1-82e8-38824461cde1,44,True,"[(100, 12)]",100,12,31,3,100,100,112,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112.0,100.0,112.0,100.0,112.0,100.0,112.0,100.0,1.0,1.0
