eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
5beb1165-897d-465f-8dd6-d921c9869207,56,True,"[(100, 78)]",100,78,31,31,100,61,166,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,1.072289156626506,1.072289156626506
5beb1165-897d-465f-8dd6-d921c9869207,56,True,"[(78, 100)]",78,100,31,31,78,105,166,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,1.072289156626506,1.072289156626506
677129e7-d892-4380-a6d6-7b3a25477cc7,11,True,"[(100, 12)]",100,12,22,3,100,100,112,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,1.0,1.0
677129e7-d892-4380-a6d6-7b3a25477cc7,11,True,"[(12, 100)]",12,100,3,22,12,12,112,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,1.0,1.0
e2cf5e7f-f338-49d3-a639-9dd05467e28e,0,True,"[(80, 12)]",80,12,19,3,80,62,90,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,1.0222222222222221,1.0222222222222221
e2cf5e7f-f338-49d3-a639-9dd05467e28e,0,True,"[(12, 80)]",12,80,3,19,12,28,90,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,1.0222222222222221,1.0222222222222221
ff9f5cda-78ee-41e0-8fc6-22907ad74478,44,False,"[(76, 120)]",166,166,49,49,166,80,182,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,196,76,1.0769230769230769,1.0769230769230769
ff9f5cda-78ee-41e0-8fc6-22907ad74478,44,False,"[(120, 76)]",166,166,49,49,166,102,182,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,196,120,1.0769230769230769,1.0769230769230769
df96f5b9-c872-400b-a056-a39c01e8ce25,44,True,"[(109, 87), (71, 115)]",122,188,41,52,122,101,180,186,71,196,109,186,71,186,71,196,109,186,71,186,71,186,71,186,71,196,109,186,71,186.0023,71.0087,188.7117,81.3046,186.0,71.0,186.0,71.0,1.0888888888888888,1.0333333333333334
df96f5b9-c872-400b-a056-a39c01e8ce25,44,True,"[(87, 109), (115, 71)]",188,122,52,41,188,79,180,186,115,196,87,186,115,186,115,196,87,186,115,186,115,186,115,186,115,196,87,186,115,186.0023,114.9936,188.7117,107.4071,186.0,115.0,186.0,115.0,1.0888888888888888,1.0333333333333334
