eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
334158a3-1773-4247-8cdc-f6ba0b032c05,0,False,"[(155, 155), (163, 151)]",354,342,154,148,174,154,308,314,163,310,155,310,155,310,155,310,155,314,163,310,155,310,155,310,155,314,163,310,155,310.0,155.0,311.37,157.7401,311.25,157.5,314.0,163.0,1.0194805194805194,1.0064935064935066
334158a3-1773-4247-8cdc-f6ba0b032c05,0,False,"[(155, 155), (151, 163)]",342,354,148,154,162,154,308,314,151,310,155,310,155,310,155,310,155,314,151,310,155,310,155,310,155,314,151,310,155,310.0,155.0,311.37,153.6299,311.25,153.75,314.0,151.0,1.0194805194805194,1.0064935064935066
e6dc027e-ce2d-4458-a4aa-41b040979864,0,False,"[(32, 32)]",100,112,32,32,73,32,64,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64.0,32.0,64.0,32.0,64.0,32.0,64.0,32.0,1.0,1.0
e6dc027e-ce2d-4458-a4aa-41b040979864,0,False,"[(32, 32)]",112,100,32,32,85,32,64,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64.0,32.0,64.0,32.0,64.0,32.0,64.0,32.0,1.0,1.0
2f2a28e1-0be3-4d84-9e64-c70a3edab326,12,False,"[(31, 19)]",100,100,22,19,100,22,44,50,31,50,31,50,31,50,31,50,31,50,31,50,31,50,31,50,31,50,31,50,31,50.0,31.0,50.0,31.0,50.0,31.0,50.0,31.0,1.1363636363636365,1.1363636363636365
2f2a28e1-0be3-4d84-9e64-c70a3edab326,12,False,"[(19, 31)]",100,100,19,22,100,22,44,50,19,50,19,50,19,50,19,50,19,50,19,50,19,50,19,50,19,50,19,50,19,50.0,19.0,50.0,19.0,50.0,19.0,50.0,19.0,1.1363636363636365,1.1363636363636365
8a3ab859-f28c-431c-82b0-0ea8d003d832,12,False,"[(44, 32), (28, 40)]",90,78,27,31,90,31,62,68,28,68,28,68,28,68,28,76,44,76,44,76,44,68,28,68,28,76,44,68,28,68.0,28.0,71.2208,34.4416,68.00489999999999,28.0098,76.0,44.0,1.2258064516129032,1.096774193548387
8a3ab859-f28c-431c-82b0-0ea8d003d832,12,False,"[(32, 44), (40, 28)]",78,90,31,27,78,31,62,68,40,68,40,68,40,68,40,76,32,76,32,76,32,68,40,68,40,76,32,68,40,68.0,40.0,71.2208,36.7792,68.00489999999999,39.9951,76.0,32.0,1.2258064516129032,1.096774193548387
4d2c6e03-2ed5-4e68-bda6-60d48fb170c8,12,True,"[(66, 44), (40, 62)]",100,122,37,41,100,40,102,102,40,102,40,102,40,102,40,110,66,102,40,102,40,102,40,102,40,110,66,102,40,102.0,40.0,104.7799,49.0347,102.0035,40.0115,102.0,40.0,1.0784313725490196,1.0
4d2c6e03-2ed5-4e68-bda6-60d48fb170c8,12,True,"[(44, 66), (62, 40)]",122,100,41,37,122,62,102,102,62,102,62,102,62,102,62,110,44,102,62,102,62,102,62,102,62,110,44,102,62,102.0,62.0,104.7799,55.7452,102.0035,61.992,102.0,62.0,1.0784313725490196,1.0
