eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
847a5663-480c-428c-b770-7fb0a93778e5,133,True,"[(100, 122)]",100,122,32,31,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
847a5663-480c-428c-b770-7fb0a93778e5,133,True,"[(122, 100)]",122,100,31,32,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
50a06ea3-6f00-4f32-bdac-68cc3ec84b09,145,True,"[(100, 100)]",100,100,27,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
50a06ea3-6f00-4f32-bdac-68cc3ec84b09,145,True,"[(100, 100)]",100,100,19,27,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
bbdf0faf-e34e-4a9c-a748-59d127d2f3c5,231,True,"[(188, 188)]",188,188,71,44,188,188,376,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376.0,188.0,376.0,188.0,376.0,188.0,376.0,188.0,1.0,1.0
bbdf0faf-e34e-4a9c-a748-59d127d2f3c5,231,True,"[(188, 188)]",188,188,44,71,188,188,376,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376,188,376.0,188.0,376.0,188.0,376.0,188.0,376.0,188.0,1.0,1.0
640d589f-2400-4e80-8e30-03572176cc0d,45,True,"[(100, 210)]",100,210,37,43,100,100,310,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.0,1.0
640d589f-2400-4e80-8e30-03572176cc0d,45,True,"[(210, 100)]",210,100,43,37,210,210,310,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.0,1.0
73e58434-9d84-4e9f-b1d1-31692e83e697,99,True,"[(100, 122)]",100,122,19,32,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
73e58434-9d84-4e9f-b1d1-31692e83e697,99,True,"[(122, 100)]",122,100,32,19,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
2f2b1378-d8d3-4a94-ac45-2a895471a4de,122,True,"[(100, 254)]",100,254,19,77,100,100,354,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354,100,354.0,100.0,354.0,100.0,354.0,100.0,354.0,100.0,1.0,1.0
2f2b1378-d8d3-4a94-ac45-2a895471a4de,122,True,"[(254, 100)]",254,100,77,19,254,254,354,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354,254,354.0,254.0,354.0,254.0,354.0,254.0,354.0,254.0,1.0,1.0
03e57d69-93a7-4174-810a-9b9fb48eb214,155,True,"[(332, 266)]",332,266,80,63,332,165,473,598,332,598,332,598,332,598,332,598,332,598,332,598,332,598,332,598,332,598,332,598,332,598.0,332.0,598.0,332.0,598.0,332.0,598.0,332.0,1.2642706131078225,1.2642706131078225
03e57d69-93a7-4174-810a-9b9fb48eb214,155,True,"[(266, 332)]",266,332,63,80,266,308,473,598,266,598,266,598,266,598,266,598,266,598,266,598,266,598,266,598,266,598,266,598,266,598.0,266.0,598.0,266.0,598.0,266.0,598.0,266.0,1.2642706131078225,1.2642706131078225
5fee9cec-4466-47ff-8ba4-e519b16f8c22,155,True,"[(100, 166)]",100,166,32,58,100,100,266,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266.0,100.0,266.0,100.0,266.0,100.0,266.0,100.0,1.0,1.0
5fee9cec-4466-47ff-8ba4-e519b16f8c22,155,True,"[(166, 100)]",166,100,58,32,166,166,266,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266.0,166.0,266.0,166.0,266.0,166.0,266.0,166.0,1.0,1.0
e93297ad-f990-4fe8-a963-521212f7dad5,111,True,"[(100, 210)]",100,210,27,70,100,100,310,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.0,1.0
e93297ad-f990-4fe8-a963-521212f7dad5,111,True,"[(210, 100)]",210,100,70,27,210,210,310,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.0,1.0
4b3c62f5-cbf0-4af4-9a7d-c35ee9aab854,145,True,"[(122, 100)]",122,100,32,19,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
4b3c62f5-cbf0-4af4-9a7d-c35ee9aab854,145,True,"[(100, 122)]",100,122,19,32,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
